9134ed313fa15017fd79d9e193c6aedc57c21512e2367e77742af006caea55c5,cfd04685f970be8a3642b198c5571410f947ba712b32d28dfa2db1c6faab391b,8e09d36efb87b08b29a85cac62ed1b8572fc9d1ca0a5e356a368df4c069c0979,f30e237fdb00da761f2f1126325a98ae805abd5e61d882e171f0d6ac6ff4f645,171fd7cc62e6ed490067c1d6717963c0e51e9a4b59949e1847a3ba55ecab4eab,5df85e7440a31bdfb4405499be3b59c7fc942ff3abdb1a25734815db4b191a46,de1c023880744d5079c15e2ececa734ba7d4e8e265daa7471c186dafacb6c247,099aeadf9ab18af0a2e55976dae36d851f454a965948d62812bb092940f859b3
"1","0","1","為什麼會發\n生這種事？","2030/01/01 01:00:00","2020/12/18 05:00:00","5023000","0"
"2","0","2","竟然說不出\n日安這句話","2030/01/01 01:00:00","2020/12/18 05:00:00","5023001","0"
"3","0","3","搞砸了！","2030/01/01 01:00:00","2020/12/18 05:00:00","5023002","0"
"4","0","4","優妮是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"5","0","5","克蘿依是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"6","0","6","琪愛兒是\n這樣的人","2030/01/01 01:00:00","2020/12/19 05:00:00","5023002","0"
"7","0","7","知性的\n優妮","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"8","0","8","溫柔的\n克蘿依","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"9","0","9","令人崇拜的\n琪愛兒","2030/01/01 01:00:00","2020/12/20 05:00:00","5023003","0"
"10","0","10","特別講座的\n練習","2030/01/01 01:00:00","2020/12/21 05:00:00","5023003","0"
"11","0","11","終於來了\n特別講座","2030/01/01 01:00:00","2020/12/21 05:00:00","5023004","0"
"12","0","12","真不愧是BB團的團長！","2030/01/01 01:00:00","2020/12/21 05:00:00","5023005","0"
"13","0","13","曼德拉草\n造成大混亂","2030/01/01 01:00:00","2020/12/21 05:00:00","5023006","0"
"14","0","14","最終日","2030/01/01 01:00:00","2020/12/25 16:00:00","5023007","0"
"15","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
"16","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
"17","1","0","","2030/01/01 01:00:00","2020/12/25 16:00:00","5023000","0"
