a5917e260f7c9dc8fcf0f4782eeeab3122f8691943378409157afd977a4dd9d7,8a73700deb95399f5798d2ed48142ffcca50ae62e1541c2efea5e6aef65b881d,c951c6bc08b75c3242db3e2620ff0805c9d5eeaf24cea4eeaf827c22e85a5925,86ac834fd5a51f079ada96872243b60b587de792a9a5380d75b84ce4107b72e3,317396ac8419b6d55645a07254cc1a4edb68d0549ffe327a6ccca75915586d47,5b470be1e88f725f97a5d6fd77cb38c3900c9c8dc77c8469cb04a3943e6d772d
"2","26202","50000","1","50000","1"
"2","90013","10","2","10","1"
"2","26203","0","3","1","1"
"2","26202","55000","4","55000","2"
"2","90013","10","5","10","2"
"2","26203","0","6","1","2"
"2","26202","60000","7","60000","3"
"2","90013","10","8","10","3"
"2","26203","0","9","1","3"
"2","26202","65000","10","65000","4"
"2","90013","10","11","10","4"
"2","26203","0","12","1","4"
"2","26202","70000","13","70000","5"
"2","90013","10","14","10","5"
"2","26203","0","15","1","5"
"2","26202","75000","16","75000","6"
"2","90013","10","17","10","6"
"2","26203","0","18","1","6"
"2","26202","80000","19","80000","7"
"2","90013","10","20","10","7"
"2","26203","0","21","1","7"
"2","26202","85000","22","85000","8"
"2","90013","10","23","10","8"
"2","26203","0","24","1","8"
