d28626e612407eb8818894f54b011dfaa0c7ffbb28f3bb1ad3bc2d7869d59663,d295741340f84231e57cbd69e032ef827ca7cd5d63feee284914a7a53f4588bf,4b60a66e41d60ead29374698fd78a6f06598209cbb99edf0da33ba0a5a3374ad,27b39fa9a450f88ca4fe846ae18d6a471c0e2786588bc67e767e2a8d2bb259f6,7395e4581341c1e6a76ad2c39ce671fc65907fc3c2d7cee9d4197e10e58ea61c,d686852ae7e1cd1a6b779413a8a060f582cfd53728b754c3aae37a5927caf1d6,ce855d8574f14b6fb9197dc7941eed924e238311a4e3bcf327517f663bab9444,146bc32d5d4a1fad8cdff86dab55876f1120376ed3ee34e6058090bfa89be696,1df6016337f9678188a0c15c7bb45bd04a2700e90786a2cd1acfda6c6645e7dc
"5","8","22","6","53003","10001","1","-1","7"
"5","4","22","6","53002","10002","1","-1","7"
"4","6","22","5","53003","10101","1","5","6"
"4","5","22","5","53002","10102","1","5","6"
"3","5","22","4","53003","10201","1","4","5"
"3","5","22","4","53002","10202","1","4","5"
"3","4","22","3","53003","10301","1","3","4"
"3","3","22","3","53002","10302","1","3","4"
"2","3","22","2","53003","10401","1","2","3"
"2","2","22","2","53002","10402","1","2","3"
"1","2","22","1","53003","10501","1","1","2"
"1","1","22","1","53002","10502","1","1","2"
"1","2","22","0","53002","10601","1","0","1"
"5","8","22","6","53003","10701","2","-1","7"
"5","4","22","6","53002","10702","2","-1","7"
"4","6","22","5","53003","10801","2","5","6"
"4","5","22","5","53002","10802","2","5","6"
"3","5","22","4","53003","10901","2","4","5"
"3","5","22","4","53002","10902","2","4","5"
"3","4","22","3","53003","11001","2","3","4"
"3","3","22","3","53002","11002","2","3","4"
"2","3","22","2","53003","11101","2","2","3"
"2","2","22","2","53002","11102","2","2","3"
"1","2","22","1","53003","11201","2","1","2"
"1","1","22","1","53002","11202","2","1","2"
"1","2","22","0","53002","11301","2","0","1"
"5","8","22","6","53003","11401","3","-1","7"
"5","4","22","6","53002","11402","3","-1","7"
"4","6","22","5","53003","11501","3","5","6"
"4","5","22","5","53002","11502","3","5","6"
"3","5","22","4","53003","11601","3","4","5"
"3","5","22","4","53002","11602","3","4","5"
"3","4","22","3","53003","11701","3","3","4"
"3","3","22","3","53002","11702","3","3","4"
"2","3","22","2","53003","11801","3","2","3"
"2","2","22","2","53002","11802","3","2","3"
"1","2","22","1","53003","11901","3","1","2"
"1","1","22","1","53002","11902","3","1","2"
"1","2","22","0","53002","12001","3","0","1"
"5","8","22","6","53003","12101","4","-1","7"
"5","4","22","6","53002","12102","4","-1","7"
"4","6","22","5","53003","12201","4","5","6"
"4","5","22","5","53002","12202","4","5","6"
"3","5","22","4","53003","12301","4","4","5"
"3","5","22","4","53002","12302","4","4","5"
"3","4","22","3","53003","12401","4","3","4"
"3","3","22","3","53002","12402","4","3","4"
"2","3","22","2","53003","12501","4","2","3"
"2","2","22","2","53002","12502","4","2","3"
"1","2","22","1","53003","12601","4","1","2"
"1","1","22","1","53002","12602","4","1","2"
"1","2","22","0","53002","12701","4","0","1"
"5","8","22","6","53003","12801","5","-1","7"
"5","4","22","6","53002","12802","5","-1","7"
"4","6","22","5","53003","12901","5","5","6"
"4","5","22","5","53002","12902","5","5","6"
"3","5","22","4","53003","13001","5","4","5"
"3","5","22","4","53002","13002","5","4","5"
"3","4","22","3","53003","13101","5","3","4"
"3","3","22","3","53002","13102","5","3","4"
"2","3","22","2","53003","13201","5","2","3"
"2","2","22","2","53002","13202","5","2","3"
"1","2","22","1","53003","13301","5","1","2"
"1","1","22","1","53002","13302","5","1","2"
"1","2","22","0","53002","13401","5","0","1"
