f3c5704fb33f65d21372f0674e3d97b221300026ad8b0b1a2967ec2aba74cdd5,9601d36da2dd6925a8cff3a56236df7a32c76c07e9481a0def938aa8dd628afc,88b598ef21edfcc73ca46b88bb91c4b1093afcc6153c0ee0785dc8256b743970,b6d20c8a2b0d446b96588dfed4ab22fa7d44913398e9a6c1ee7b622ec1195826,b2a0ea4553f855f63d4725b1cdb068eaa9f7d68527e0dbe1ba62440324bb889e,fb5135531eaf91d9610464e101987383469a78ec8e6fcb5b95e0f6bde01d5e40,9d51300e830ce767fb9ff325024936081a8708134089189aec8052461738e012,d796d2e406d35596e22bce49c31e78187f40026e76953ab78064ae4e09b83f3a,236a0fe125ebcdb47cb4191fad291039c324afe34f3a7d56e86e9aaffced8f1c,f1467ef64d3a22cb50d03e4cbd986b1dcd93d82d076e44215bb9ec0578f85158,3dcd9b871f339b9ca98e30b59260ff7edddcb0fbc2f11c5adfb5b462933cd90f,78b81ac2521c61ea6e2356eb0e02b4eb6ed1d82981b0b016e3c9c84220acc79d
"0","0","0","0","0","0","1","0","0","0","0","0"
"3","1","0","0","0","2","11002","1","0","0","0","800"
"1","1","0","0","0","1","12001","1","0","0","0","500"
"1","1","0","0","0","1","12002","1","0","0","0","700"
"1","1","0","0","0","2","13001","1","0","0","0","600"
"1","1","0","0","0","2","13002","1","0","0","0","700"
"1","1","0","0","0","2","14002","1","0","0","0","600"
"3","1","0","0","0","2","21001","2","0","0","0","900"
"0","2","0","0","0","0","22001","8000","0","0","0","0"
"99","3","0","1","0","1","23001","5","0","0","0","1"
"99","3","0","1","0","1","23002","7","0","0","0","1"
"0","5","0","1","0","4","25001","0","0","0","0","3"
"0","5","1","0","0","1","25002","0","0","0","0","0"
"0","5","0","1","0","4","25003","1","0","0","0","3"
"0","5","1","0","0","1","25004","1","0","0","0","0"
"0","6","40","0","0","0","26001","76","0","0","0","37"
"0","7","1","0","0","0","27001","2","0","0","0","1"
"0","7","1","0","0","0","27002","3","0","0","0","1"
"0","8","0","0","0","0","28001","0","0","0","0","0"
