c0648beab3d32a06518b2a71f1822f096f69d40c62490879c3d37e90db68608f,a8ddaaa81b32b4ff2d2c41e29456da87790091c8af5e7795085448ca5f43e980,714b993a255ddd256ada1ae0b80b57a4f8696af1b3f5fe187e15bdbb2bcabfd0,25f39f2f42a419c93d6d7d16d3bc6b2054ce44ce47007a04756c194cd7625b37,4e6f3a24c83504d0616a1b9691c583ac940abc9305f24deeb587ee019c9589b5
"53001","10001","22","1","10001001"
"53004","10001","22","1","10001002"
"53007","10001","22","1","10001003"
"53010","10001","22","1","10001004"
"53013","10001","22","1","10001005"
"53016","10001","22","1","10001006"
"53019","10001","22","1","10001007"
"53022","10001","22","1","10001008"
"53002","10001","22","1","10001009"
"53005","10001","22","1","10001010"
"53008","10001","22","1","10001011"
"53011","10001","22","1","10001012"
"53014","10001","22","1","10001013"
"53017","10001","22","1","10001014"
"53020","10001","22","1","10001015"
"53023","10001","22","1","10001016"
"53001","10002","22","1","10002001"
"53002","10002","22","1","10002002"
"53005","10002","22","1","10002003"
"53008","10002","22","1","10002004"
"53011","10002","22","1","10002005"
"53014","10002","22","1","10002006"
"53017","10002","22","1","10002007"
"53020","10002","22","1","10002008"
"53023","10002","22","1","10002009"
"53003","10002","22","1","10002010"
"53006","10002","22","1","10002011"
"53009","10002","22","1","10002012"
"53012","10002","22","1","10002013"
"53015","10002","22","1","10002014"
"53018","10002","22","1","10002015"
"53021","10002","22","1","10002016"
"53024","10002","22","1","10002017"
"53002","10003","22","1","10003001"
"53002","10003","22","2","10003002"
"53003","10003","22","1","10003003"
"53003","10003","22","2","10003004"
"53003","10003","22","3","10003005"
"53006","10003","22","1","10003006"
"53009","10003","22","1","10003007"
"53012","10003","22","1","10003008"
"53015","10003","22","1","10003009"
"53018","10003","22","1","10003010"
"53021","10003","22","1","10003011"
"53024","10003","22","1","10003012"
"53006","10003","22","2","10003013"
"53009","10003","22","2","10003014"
"53012","10003","22","2","10003015"
"53015","10003","22","2","10003016"
"53018","10003","22","2","10003017"
"53021","10003","22","2","10003018"
"53024","10003","22","2","10003019"
"53006","10003","22","3","10003020"
"53009","10003","22","3","10003021"
"53012","10003","22","3","10003022"
"53015","10003","22","3","10003023"
"53018","10003","22","3","10003024"
"53021","10003","22","3","10003025"
"53024","10003","22","3","10003026"
