54ad6be5ca5f7ef55f7771fbd08bfec18c03ff91b1bc8209dafbdc98018b8268,deb78914b4de473884c45ffcd2a7bac15dee7a2d93a2dbabd76858aa389182a2,3705949a2bedd6fb5f919c87e6e475f693d30770f0bbbe8bb1a0c65a56fcb2d3,56492004e07b6c9aefc0ea5f62f0d3e41d14a1a943cb9fb96a30671af1540c51,01fa5333c181a39f5ac1bb22beeeb24831fbe9ba0df9af7b5dc145a5c55ee23c,bcdcf09d292818834f1e0d3f1b12db7bcd29bb9d4355782e283b3e86bfe98c79,d1b62e151f778b0557aa141394447d9d9f3d65ca1c978b1fab44db046d18ef03,f38d86fd4b413e0eadb66a0fbfd200d596345905452da05c625d0101510d64b9,e8c9dcaa4113afaf9690208a334508cb7c6840eedbab1f8972f3b73978b92f82
"0","1","100101","0","1001","10000","全難易度合計取得10000分","1001","100101"
"0","1","100102","0","1001","30000","全難易度合計取得30000分","1001","100102"
"0","1","100103","0","1001","50000","全難易度合計取得50000分","1001","100103"
"0","1","100104","0","1001","70000","全難易度合計取得70000分","1001","100104"
"0","1","100105","1","1001","90000","全難易度合計取得90000分","1001","100105"
"0","1","100106","1","1001","105000","全難易度合計取得105000分","1001","100106"
"0","1","100107","1","1001","120000","全難易度合計取得120000分","1001","100107"
"0","1","100108","1","1001","135000","全難易度合計取得135000分","1001","100108"
"1","1","100109","2","1002","0","在NORMAL1難易度戰鬥1次","1001","100109"
"1","1","100110","2","1003","0","在NORMAL2難易度戰鬥1次","1001","100110"
"1","1","100111","2","1004","0","在NORMAL3難易度戰鬥1次","1001","100111"
"1","1","100112","3","1001","10000","在NORMAL難易度取得10000分","1001","100112"
"1","1","100113","3","1001","20000","在NORMAL難易度取得20000分","1001","100113"
"1","1","100114","3","1001","30000","在NORMAL難易度取得30000分","1001","100114"
"2","1","100115","4","1002","0","在HARD1難易度戰鬥1次","1001","100115"
"2","1","100116","4","1003","0","在HARD2難易度戰鬥1次","1001","100116"
"2","1","100117","4","1004","0","在HARD3難易度戰鬥1次","1001","100117"
"2","1","100118","5","1001","15000","在HARD難易度取得15000分","1001","100118"
"2","1","100119","5","1001","30000","在HARD難易度取得30000分","1001","100119"
"2","1","100120","5","1001","45000","在HARD難易度取得45000分","1001","100120"
"3","1","100121","6","1002","0","在EXTRA1難易度戰鬥1次","1001","100121"
"3","1","100122","6","1003","0","在EXTRA2難易度戰鬥1次","1001","100122"
"3","1","100123","6","1004","0","在EXTRA3難易度戰鬥1次","1001","100123"
"3","1","100124","7","1001","20000","在EXTRA難易度取得20000分","1001","100124"
"3","1","100125","7","1001","40000","在EXTRA難易度取得40000分","1001","100125"
"3","1","100126","7","1001","60000","在EXTRA難易度取得60000分","1001","100126"
"0","1","100201","0","1001","10000","全難易度合計取得10000分","1002","100201"
"0","1","100202","0","1001","30000","全難易度合計取得30000分","1002","100202"
"0","1","100203","0","1001","50000","全難易度合計取得50000分","1002","100203"
"0","1","100204","0","1001","70000","全難易度合計取得70000分","1002","100204"
"0","1","100205","1","1001","90000","全難易度合計取得90000分","1002","100205"
