79eae08696fe37bb40ff6b34e6110f20d00d8ccd918f3a47b10a5e7126d939a7,ce5c710f5a4a8b925b7afc84f1be89f06b18ef3fdcdfc471d7dcf724340d6c9c,e33e3c8b223cbcf002858599060e6bab75891d67977b0d2ea36ec400ae1653b6,f0e23bd1b5b08797ee15e4e924611def89b9e9d49a1ec105ff96527164a2bc12,88b4ed9fa4cb57fb0d93ea1a7eb917ec62651a7c7ddf4a2a97800a155d3d7cb1,23530f3548ac43e5e1b5fd37822f1762921d52331de11b7527e5cd66ed732fe3,ca961aea3b264aabd912b95dd879246c2c16f42018bc71211bdfb37380ce7990,502ff5d5cea51011c9d2c81d2060589749594ac91c2e1f95ed269b7f7dd651b4,417dd086365a64bdfe7fc2db7f61b52ddb4560bba1f7e93ab3ad18a77665857d,63b9d02b29da9b2c5f3ce80412c27cbfbd1640c2f369c313cbfa931ae8bc2661,70a571d7ad4caaf7144e8d9b8c09ccf0ef1f9232336f9b710625ed2f54b1617a,eb819d7c3a284e4a42aeebc7f0fa773b916f58d652665458afc0f22fcd37128c,ae0389d915ff25cd48b27af1bacf0c210d0b0445bb7b933c684086387547879e,f627a366d17ea72a19b9fcbb2b38eb0d6b2f113790f06e1c83f3a2caace9fd96,06476a51bd0b69e54fa5e947cf285941545595e05096859a8144d4dade54b6a9,8c2b92545c8447431dc01dbbcef7aac0578c2b7391d62c022a71fcb59c689a14,f06ffc8af1a54446efbc16072ea8b5988f8070bb3be073802f7025ba780f58a8,edeb370411c9d87af56f91c5fa2e4728fdc78588ac8480130779eeffd4dfbe30
"1","12","1","91002","8","0","2","2","94002","20003","5","5","0","150","150000","22003","20","0"
"2","12","6","91002","8","0","2","2","94002","20003","2","9","0","145","100000","22003","15","0"
"3","12","10","91002","8","0","2","2","94002","20003","5","19","0","140","80000","22002","11","0"
"4","12","20","91002","8","0","2","2","94002","20003","5","29","0","130","80000","22002","10","0"
"5","12","30","91002","8","0","2","2","94002","20003","4","39","0","120","70000","22002","9","0"
"6","12","40","91002","8","0","2","2","94002","20003","4","49","0","110","70000","22002","8","0"
"7","12","50","91002","8","0","2","2","94002","20003","3","99","0","100","60000","22002","7","0"
"8","12","100","91002","8","0","2","2","94002","20003","2","499","0","80","40000","22002","2","0"
"9","12","500","91002","8","0","2","2","94002","20002","1","999","0","50","20000","22002","7","0"
"10","12","1000","91002","8","0","2","2","94002","20002","3","4999","0","20","16000","22001","4","0"
"11","12","5000","91002","8","0","2","2","94002","20002","2","9999","0","15","9000","22001","3","0"
"12","12","10000","91002","8","0","2","2","94002","20001","1","11999","0","10","4000","22001","8","0"
"13","12","12000","91002","8","0","2","2","94002","20001","1","13999","0","5","3000","22001","7","0"
"14","12","14000","91002","8","0","2","2","94002","20001","1","14999","0","4","2000","22001","6","0"
"15","12","15000","91002","8","0","2","2","94002","20001","1","30000","0","3","1800","22001","5","0"
