3bc52a59f3a750f85329ce29deab24089230047f52d866140ea17410dc77b25b,3f3c1c0661bfe0715a5349298bda7af0e039539d8dccd2b7a5d0f8a3fbc6aeb4,2b249f3abf16f074a65860450e2ce9b4964b8ecfac1f68ca08d1daea2b25b3f4,7a7d2a6938e41d1bd5630ad04533a784cd8429c3d66a783409012a39eeeafc6e,5d0dafc227d264c631d8a90d0994fe21a97653a5a407c3207dea937b47af0d92,31fbf7504fe2a0bc7a7879092afa0468bbfe93d60573aeff12544ee78e4c9eb2,4a9f7dca33ed58f097bebbfcf686da4fd217168315aa02673f9a2c7c9b7b76c8,85338c5a0f3fc6668f53d9fe80357d7bd484dcf9c54456f02cc2436aca5ba695,74c823c013304f3d532f1ae6faff1e9dcba5eddc1c56a3ea32fe4d53ae38b85e,2d21496944bf7f55f69cfd644b16139251f5a4cf49444bbbd5bd8fd074f868b4,e78335ed0641901b89e78dd5fd81c159507448490311e4c4834612187cf526ae
"2.2","30","5","-250","52","talk_sad","12001","1","0","12","1"
"0","1","6","0","1","","12002","1","0","12","1"
"1","50","5","0","29","black","12003","0","0","12","0"
"0","1","6","0","1","","12004","1","0","12","0"
"","","91","","","","12005","","","12","0"
"0.2","1","6","1","1","","12006","1","0","12","1"
"0.2","1","6","1","1","","12007","1","0","12","0"
"","0.3","2","2","-250","","12008","-20","","12","1"
"","0.3","2","2","0","","12009","0","","12","0"
"","","93","","","","12010","0","","12","0.6"
"","0","21","","0","","12011","vo_asb_0121","","12","vo_asb"
"0","1","11","1","10","0","12012","回想起來，\n我甚至連伴手禮都沒帶……","0","12","1"
"","0","91","","0","","12013","","","12","0"
"0.2","","3","","1","","12014","guts2_talk_shy","","12","1"
"","0","21","","0","","12015","vo_asb_0122","","12","vo_asb"
"0","1","11","1","10","0","12016","下次拜訪的時候必定……！","0","12","1"
"","0","91","","0","","12017","","","12","0"
"0.2","","3","","1","","12018","sad_talk_surprise","","12","1"
"","0","21","","0","","12019","vo_asb_0123","","12","vo_asb"
"0","1","11","1","10","0","12020","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","0","12","1"
"","0","91","","0","","12021","","","12","0"
"0.3","","3","","1","","12022","surprise_talk_dere","","12","1"
"","0","21","","0","","12023","vo_asb_0124","","12","vo_asb"
"0","1","11","1","10","0","12024","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","0","12","1"
"","0","91","","0","","12025","","","12","0"
"0.4","sad_idle_red_riri","3","1","0","","12026","sad_talk_riri_in","0","12","1"
"","0","21","","0","","12027","vo_asb_0125","","12","vo_asb"
"0","1","11","1","10","0","12028","……一起……挑伴手禮……\n……臉紅。","0","12","1"
"","0","91","","0","","12029","","","12","0"
"","","101","","","","12030","","","12","12031"
"0.3","1","6","0","1","","12031","1","0","12","1"
"0.3","1","6","0","1","","12032","1","0","12","0"
"","0.3","2","1","-250","","12033","-120","","12","1"
"","0.3","2","1","0","","12034","-100","","12","0"
"","","22","","","","12035","0","","12","0"
"","","93","","","","12036","0","","12","0.4"
"2.2","20","5","-230","17","riri_idle_look_shy","13001","1","0","13","1"
"2.2","-140","5","-255","19","clear_idle_look_shy","13002","2","0","13","2"
"2.2","270","5","-245","18","idle_look_precia","13003","3","1","13","3"
"0","1","6","0","1","","13004","1","0","13","1"
"0","1","6","0","1","","13005","1","0","13","2"
"0","1","6","0","1","","13006","1","0","13","3"
"0","0","31","1","0","","13007","100","","13","1"
"","","35","","","","13008","0","","13","100"
"1","50","5","0","16","black","13009","0","0","13","0"
"0","1","6","0","1","","13010","1","0","13","0"
"","","91","","","","13011","","","13","0"
"","","93","","","","13012","0","","13","0.1"
"0.2","1","6","1","1","","13013","1","0","13","1"
"0.2","1","6","1","1","","13014","1","0","13","2"
"0.2","1","6","1","1","","13015","1","0","13","3"
"0.2","1","6","1","1","","13016","1","0","13","0"
"","0.3","2","2","-230","","13017","-30","","13","1"
"","0.3","2","2","-255","","13018","-190","","13","2"
