1a9a901a50d964e3135044b1d6de935cbbef12d5e5c02abc7431dc86ae791a7f,598396722ed862df3410d4ec265825507eb78e48a6cac303c6ab026613e10280,4def469fd1ea6114a3e6099fdeadea6bc277bf0b329fd970815fcbbb5a0cd754,c7a9cdeb6aa2f7c9e40edcea0138dbb6a67c177421c7269c1b18f5a2a7ea2b59,c88550f93856ec6599ee21c96e787319fdfe0875b4efa335f57bde7e6f28d228,138881f81a27a7140df56eb5ef8a5ed11bf32aafe4c3f958b8486fbee133f76a,790dc1e02a844df79c93a2496736266f073cd2af599373f247463b0bcf8d0f38,38fa724514a16fe71a5872510ed778077905767c79cdc81f7e2ce4ebabed9cab
"1","3050100","10101020","1","24","0","1","0"
"1","4010200","0","2","24","0","2","0"
"1","3030200","10401020","3","24","0","3","0"
"1","3050200","10401020","4","24","0","4","0"
"1","3040200","10401020","5","24","0","5","0"
"1","3020200","10401020","6","24","0","6","0"
"1","4010300","0","7","24","0","7","0"
"1","3030100","10101020","8","24","0","101","0"
"1","3010201","0","9","24","0","102","0"
"1","3020201","0","10","24","0","103","0"
"1","3010301","0","11","24","0","104","0"
"1","3030301","0","12","24","0","105","0"
"1","3040301","0","13","24","0","106","0"
"1","3050301","0","14","24","0","107","0"
"1","3020301","0","15","24","0","108","0"
"1","3030300","10401050","16","24","0","109","0"
"1","3040300","10401050","17","24","0","110","0"
"1","3050300","10401050","18","24","0","111","0"
"1","3020300","10401050","19","24","0","112","0"
"1","3010100","10101020","20","24","0","201","0"
"1","3020100","10101020","21","24","0","202","0"
"1","3030100","10101020","22","24","0","203","0"
"1","3040100","10101020","23","24","0","204","0"
"1","3050100","10101020","24","24","0","205","0"
"1","3010200","10101020","25","24","0","206","0"
"1","3020200","10101020","26","24","0","207","0"
"1","3030200","10101020","27","24","0","208","0"
"1","3040200","10101020","28","24","0","209","0"
"1","3050200","10101020","29","24","0","210","0"
"1","1010301","0","30","24","0","401","112"
"1","1020301","0","31","24","0","402","203"
"1","1030301","0","32","24","0","403","306"
"1","1040301","0","33","24","0","404","401"
"1","1050301","0","34","24","0","405","508"
"1","1020301","20101050","35","24","0","406","209"
"1","1030301","20101050","36","24","0","407","306"
"1","1040301","20101050","37","24","0","408","407"
"1","1050301","20101050","38","24","0","409","501"
"1","0","0","39","15","11001337","600","0"
"150","0","0","40","8","91002","600","0"
"1","0","0","41","15","11001338","700","0"
"150","0","0","42","8","91002","799","0"
"1","0","0","43","15","11001339","800","0"
"1","0","0","44","24","0","999","0"
