0fd35d398abc1d93db9c6598dd97b83f8fa3b1529958fbfe67322e14905b4371,a150ea28ba6fb70c3bf13ee6f45163e07f29d9b1cc8f00bf06126d72511e1247,e4c4d30ffb720425cf6d8a306810c3f9e8dfcd0fe8eedbedeb77a59c94f2b05c,dfae0fe44c8e578c31413e38c1e48d1fb1a6c13d32ffe151f2225b064b16802d,f0dd018465132d2dbd0f2703bd5ccc2cc88ecd9ace191954ebc32250c6dbd230
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10101","1"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10102","1"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10201","2"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10202","2"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10203","2"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10204","2"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10205","2"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10301","3"
"def_lower_limit","防禦力（不可降低）提升","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","10302","3"
"damage_cut","全傷害降低","將所有怪物承受的傷害減少一定數值。","10303","3"
"damage_up","造成傷害提升","提升所有怪物所造成的傷害。","10304","3"
"def_up","防禦力提升","提升所有怪物的物理/魔法防禦力。","10305","3"
"critical_down","降低暴擊","降低所有角色的物理/魔法暴擊率。","10306","3"
"damage_limit","傷害值衰減","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","10401","4"
