9dfd9dea4d4ad2bf64ebba09bbec98fa4cd0612e9783d40775861665574c58c3,0735380062d7862f0c5e0b5728cab9a2b14a28569e3f64a75f4d51f409017d43,5bf62781720b2b2e5d5b16a3332c5c2fd1a205f06c470c0ebb8fd5e9ffec2d2c,d05e5bf3399f5c779db0386b344b4259b027f4886eb50e577776935e61fd5ee6,6962b1a3d1dd7e7bb0d6f174488860d7780df6382c4f3d58a728a56b5e8a3bb1,45373c3921d6e33fc18657ce9a824dbcf1dff4d1778a2c36c011d945193282e7,fa5bd6903dbc1a87b596d54032aee197cbe50b5fdeae22e4a6da36d1c0e68e9b,d33a1491ecf6f948f2937fcc5cecb686bb215dd78907d246594af15a6f14126d,b56130036d673d0cf934371876f0923b1f714006300b8499d598f4a4a7ca6635,f9eba10d41101504085816b944353b7d2ab75afa2e20067d175c0b448227088e,92eedf7f2726ecca076747749a936513e64319fe47dc9cb5ea888acff07a43f0
"","1001","","23","","","","se_travel_finish_assemble","se_travel","1010010001","0"
"-275","1001","-160","1","0","1.46","travel_exdrama_r_100_run","1000001","1","1010010002","1"
"-575","1001","-200","1","0","1.46","travel_exdrama_r_100_run","1000002","1","1010010003","2"
"-750","1001","-250","1","0","1.46","travel_exdrama_r_100_run","1000003","1","1010010004","3"
"575","1001","-175","1","1","1.46","travel_exdrama_r_100_run","1000004","1","1010010005","4"
"750","1001","-250","1","1","1.46","travel_exdrama_r_100_run","1000005","1","1010010006","5"
"1","1001","0","2","","","","-100","1000001","1010010007","-160"
"1","1001","0","2","","","","-275","1000002","1010010008","-200"
"1","1001","0","2","","","","-450","1000003","1010010009","-250"
"1","1001","0","2","","","","275","1000004","1010010010","-175"
"1","1001","0","2","","","","450","1000005","1010010011","-250"
"0","1001","0","93","","","","0","1","1010010012","0"
"","1001","0","3","0","0.2","","travel_exdrama_r_100_raiseup","1000001","1010010013","0"
"","1001","0","3","0","0","","travel_exdrama_r_100_idle","1000002","1010010014","1"
"","1001","0","3","0","0","","travel_exdrama_r_100_idle","1000003","1010010015","1"
"","1001","0","3","0","0","","travel_exdrama_r_100_idle","1000004","1010010016","1"
