a44b94d056e5edfe1bd344db9b0a6c16bed589d6e57ceed91b0cce12c43f941c,7c01eb9bac946fa68ade7fc463c5b62a9bda48e7d1b7684a283a73bb5799f879,38d6d2d6bbc5fd99fdc1b1995d1f0d685b9f7d148e210a507d683dc2104234dc,9d860e2b4ed14e008292587cdca547217f39b46a2d4f80896d3cbf7c83b1b005,4306caccdff5ca5c921f29daa9660b741ac2b1877363278c4a8f9dba03c07971,c289cd4b04db4c41aa6893d6ff339bbdd41b2b2e52c2e525d48ee136f2b60aae,2ee75edd686f41b21fe8aa86f8d71f6fd72da6dc6b7723d136a67d7c3bd55f9c,cda26dd6408632df96ee79209e7f7117a3c717a1a331504f596835ef4e0ac596
"11011","0","掩護者職階的\n隨機印記×2\n＋始源盧幣×200","192801","想讓掩護者\n成為夥伴！","21_role_tank","11011","0"
"11012","0","治療者職階的\n隨機印記×2\n＋始源盧幣×200","192801","想讓治療者\n成為夥伴！","22_role_healer","11012","0"
"11021","0","增幅者職階的\n隨機印記×2\n＋始源盧幣×200","192801","想讓增幅者\n成為夥伴！","23_role_booster","11021","0"
"11022","0","增益者職階的\n隨機印記×2\n＋始源盧幣×200","192801","想讓增益者\n成為夥伴！","24_role_buffer","11022","0"
"11031","0","減益者職階的\n隨機印記×2\n＋始源盧幣×200","192901","想讓減益者\n成為夥伴！","25_role_debuffer","11031","0"
"11032","0","妨礙者職階的\n隨機印記×2\n＋始源盧幣×200","192901","想讓妨礙者\n成為夥伴！","26_role_jammer","11032","0"
"11041","0","攻擊者職階的\n隨機印記×2\n＋始源盧幣×200","192901","想讓攻擊者\n成為夥伴！","27_role_attacker","11041","0"
"11042","0","破防者職階的\n隨機印記×2\n＋始源盧幣×200","192901","想讓破防者\n成為夥伴！","28_role_breaker","11042","0"
"11051","0","挑戰戰鬥格子（NORMAL）\n的敵人\n＋始源盧幣×200","100501","試試身手吧！","41_matsuri_guts","11051","0"
"11052","0","挑戰戰鬥格子（EXTREME）\n的敵人\n＋始源盧幣×300","107101","與強敵間的戰鬥令人興奮！","42_chris_cool","11052","0"
