0f0e4197df8e1a70567dadbca665cce270f36126fb6fec943225709315d0d723,22c7b844c1e708cd84e89063e24682ce26d983c88eaefee602e95adcae410a10,9c2f7320082b1c39905a7b1be1619be9e3f059ee4ebf65a684a75bca72c1b572,7cf23d8574c33eab8bca40ae8481b6f284184f8fa5f0aa1110b7224c256dbb1a,7796019bbd3461b79cb5f1600fd4ad2fdaf97b1f369f44725142b08582a9b812,f6cefddc020f63b656efe48c698b043c3c778a843dd00bb5f90c930d843214ac,26c88e326d0f2dd0aebbd986e7f8f18b0bbd8404e98da3e17f7b08ae90739bc4,c1e121e47841dd256e9cc2273ab53eff2901d6715a35ed21114fe123c42ea76d,b74ec1f8424589b5502cd17ade17dca08f59e8dcbee3a1a5494c587236acdd2e,3db52104525c3d57abf0e9385d81833c5e60937052b1f7c682ea7cd92aeef03c,c9c1e2881745d76928f395e5aa12b472d65f943e03dca7cb43f0d81ef9390535,c13222d0a8b202dad8a5a91f8ee69b8db1abb3da32c3e76215254b2b8533d79e,a97899ae1de018cbe80da365dd8a5a4705f7dd6ff49577805ea4bcb0c077f313,9e9d26338d9097b270370ec97164cc23db96a67049291d15d74e24ab222ea771,0e059d9f61648c9ba34c7c321812796e7c82ebfe26252e36a9c773129e5d8e3f,5b868bb8c1c67d14008272724e2581c77d95e167fc9182b2d65e681e541d3726,be5bdc1a3a4b774ee0cc11f73acc9452ad1fe081514dd6e85890963d33060cf6,5614457432276a3ec9229ac33a873b444b0b8d60f406513a0ca02c45aa1567b8
"5","20003","0","2","8","150","150000","12","22003","91002","5","20","0","2","1","94002","1","0"
"9","20003","0","2","8","145","100000","12","22003","91002","2","15","0","2","6","94002","2","0"
"19","20003","0","2","8","140","80000","12","22002","91002","5","11","0","2","10","94002","3","0"
"29","20003","0","2","8","130","80000","12","22002","91002","5","10","0","2","20","94002","4","0"
"39","20003","0","2","8","120","70000","12","22002","91002","4","9","0","2","30","94002","5","0"
"49","20003","0","2","8","110","70000","12","22002","91002","4","8","0","2","40","94002","6","0"
"99","20003","0","2","8","100","60000","12","22002","91002","3","7","0","2","50","94002","7","0"
"499","20003","0","2","8","80","40000","12","22002","91002","2","2","0","2","100","94002","8","0"
"999","20002","0","2","8","50","20000","12","22002","91002","1","7","0","2","500","94002","9","0"
"4999","20002","0","2","8","20","16000","12","22001","91002","3","4","0","2","1000","94002","10","0"
"9999","20002","0","2","8","15","9000","12","22001","91002","2","3","0","2","5000","94002","11","0"
"11999","20001","0","2","8","10","4000","12","22001","91002","1","8","0","2","10000","94002","12","0"
"13999","20001","0","2","8","5","3000","12","22001","91002","1","7","0","2","12000","94002","13","0"
"14999","20001","0","2","8","4","2000","12","22001","91002","1","6","0","2","14000","94002","14","0"
"30000","20001","0","2","8","3","1800","12","22001","91002","1","5","0","2","15000","94002","15","0"
