001bce7028237f8acc35a69632f40d9703b5fc7d643814b5cfad9888fb686a69,1bba1083d5aab0db938caa6e7713d96b492be1ac2350ae569556dc4b0ef4e851,aafbf28c79e00e1bbfab5381bd399188efb77fcc53b27a09d9e7d9dacab93c49,64e5ca389c1d4a6b202f5c9e65047191f84172bca55d09e7ae8c1e92871ffc6b,5bfe809af3483cc4e90fda2446634bf4550d066db0246a96f72308dabb21cd37,23ad3ecd76868bb939c5ebd58a11a74edaf4ab1536646cc7caf5d80c9472a967,d60ba0abc840c1a6e72a5be93e4a9bb96edc2072c73e52dd9ae37867fd2dede3,d8e5d5180b075093447e8cf4f2b08c50d7fafbbbe14dcd22d30ac40a1bab67cd,54f1b0ace813dc635b57e565d8b095e38178e235b9519d75950a13ca21f6fee6,d7f4d901bf674f4aec2a5db5ae721b98cbf6886ea604f0f828a864eb42bb1926,4488d12adc70a5205b57dd42e466782cb29737f0b5615cccef8e4a3cb73f0069
"0","91002","只有兩人的元旦日出","0","8","5128071","10157107","0","2","25","10128"
"5128071","91002","新家的必備條件","0","8","5128072","0","0","2","25","10128"
"5128072","91002","其實比誰都還要","0","8","5128073","0","0","2","25","10128"
"5128073","91002","想要一家人\n一起珍惜的事","0","8","5128074","0","0","2","25","10128"
"5128074","91002","誓約的諾言","0","8","5128075","0","0","2","50","10128"
"0","91002","染血的訂婚通知","0","8","5128081","10157107","0","3","25","10128"
"5128081","91002","漂泊之人的尋家路","0","8","5128082","0","0","3","25","10128"
"5128082","91002","珍愛時光","0","8","5128083","0","0","3","25","10128"
"5128083","91002","東國的\n家族文化","0","8","5128084","0","0","3","25","10128"
"5128084","91002","傳達真誠的愛","0","8","5128085","0","0","3","50","10128"
"5128075","0","口頭約定是禍端","0","0","5128091","0","5128085","4","0","10128"
"5128091","0","不容退讓的家庭味道","11001271","0","5128092","0","0","4","0","10128"
"0","0","夢境說書人的邀請","0","0","5128161","10157107","0","1","0","10128"
