ed6c2e41bcf920076b19d2b344c999960e87e0325e6853b20bc7c3efaf13866d,93aa48b1eb42d8e580f17452d1a3c4e7b355384550a626f836717d8b821b5ff9,afd07ee974b5c778b66bfd697654b13646df9cc80b23a8ce31ce27acaab3322b,5d6cb727ffcc5c50d83e6deed334de8506f1eee6136495e0b75d0570a773c56e,24463dbf0e18bd3279dba7c362bcc4a32177c87d719801f193aafba736a51bed,bbd24c9faeb490b943b9fd6c831a411c09048170e9d240743bf171a21e28a3ae,c66e2afa510de707586da870bab38fd982b295269e8c3d2be3c951942d0ba7ef,d0eb3218b33a27830eda0e4409b13941220235ba2c21c5f813f99fa5a8d695db,0e5c390d000677f9391a9dc59fce2a4a7938700db7afee7f6f82b6a3c6f81390,599cf8694cd2d96e59bd07186a62d92f8f6efe3232ea06fd9518623623acfe90,0aa62c14515e80cdb4576376e8f71d12edfebe34040c5a1f87861adcc0f605c7,499511b7f759e61621050c5a50223ac61bc5c10dd38e6a9bcf0e295fa0374103,17c688b802c174761c04d8a998ef91b27487164cdcfc0cde6de86c6cdf28ffee,d5d41b409ac2137bb9a7d660c861e3927870dd957829c8ca67fd1577c70e4afd,d3ccd3a73e74e61e9b3168dfe58e1deacd60e2bf84cd1cae0d16a453b67166a7,1eab9864fba39123700e1520f93af278939fae4b01271659b8229c7f8e9bc4c1,de4c755cfe765180ac152d0cba7cde933c88d0892e2cc88dee2b3e82a8c87dc6,9ee30bf655bf9b822ac1a141005b1061c1af58f0991e08aab24a31cf49dbc81b,da3e445980386624798557dfd7738dd22899d69056fae4a9d2ededaf16eb5804,8d575b0762d25e003e5bcd79ef16891ec26da8d86aa9c893a8a58d01d7e501be,1ea0b38fe9921aa370ba2f0eee6e02cc61d33e024d4c13bb768f6d63b2c57f90,d590b0cc64631ab29c6b31ddb67d5c410e4571756d1c4e7d52c5508d32b9d136,2318e52a6a23f144d6b4abda4740a06ad9025a48cf1dc9ac2a58940180180946,825510b7477ebf480bcce9440479de87eed9eda12b9197cfdd88f07e6a4b71bb
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10010101","0","0","0","0","100101","1","1","0","0","0","1002"
"1","0","1001","1001","1001","0","10","1","0","0","3","1002","10020101","0","1","0","0","100201","1","1","0","0","0","1002"
"1001","0","1","0","1001","0","8","0","0","0","4","1","10030101","0","1002","0","0","100301","1002","1","0","0","0","1"
"0","0","0","0","1001","0","4","0","0","0","1","0","10030102","0","0","0","0","100301","1","1002","0","0","0","1"
"1","0","1001","0","1001","0","7","0","0","0","3","1001","10040101","0","0","0","0","100401","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10050101","0","0","0","0","100501","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","9","1001","0","0","3","1002","10060101","0","1","0","0","100601","1","1","0","0","0","1002"
"1","0","1","0","1","0","9","1002","0","0","6","1002","10070101","0","1001","0","0","100701","1001","1","0","0","0","1"
"1002","0","1","1002","1002","0","10","1","0","0","3","1","10080101","0","1001","0","0","100801","1","1001","0","0","0","1001"
"1","0","1001","0","1","0","7","0","0","0","3","1001","10090101","0","0","0","0","100901","1001","1","0","0","0","1001"
"1","0","1001","1","1001","0","10","1002","0","0","3","1","10100101","0","1","0","0","101001","1","1002","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10110101","0","0","0","0","101101","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10120101","0","0","0","0","101201","1","1","0","0","0","1002"
"1002","0","1","0","1002","0","7","0","0","0","3","1","10130101","0","0","0","0","101301","1","1001","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10140101","0","0","0","0","101401","1","1","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10150101","0","0","0","0","101501","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10160101","0","0","0","0","101601","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","9","1001","0","0","5","1","10170101","0","1","0","0","101701","1","1001","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10180101","0","0","0","0","101801","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10200101","0","0","0","0","102001","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10210101","0","0","0","0","102101","1","1","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10220101","0","0","0","0","102201","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10230101","0","0","0","0","102301","1","1","0","0","0","1002"
"1001","0","1","0","1001","0","8","0","0","0","3","1","10250101","0","1001","0","0","102501","1","1002","0","0","0","1002"
"1001","0","1002","1001","1002","0","12","1","1002","0","4","1","10260101","0","1","0","1","102601","1","1001","0","0","0","1001"
"1002","0","1","0","1002","0","8","0","0","0","3","1","10270101","0","1001","0","0","102701","1","1002","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10280101","0","0","0","0","102801","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","9","1001","0","0","3","1002","10290101","0","1","0","0","102901","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10300101","0","0","0","0","103001","1","1","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10310101","0","0","0","0","103101","1","1","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10320101","0","0","0","0","103201","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10330101","0","0","0","0","103301","1","1","0","0","0","1002"
"1001","0","1","0","1","0","8","0","0","0","4","1","10340101","0","1002","0","0","103401","1002","1","0","0","0","1002"
"1","0","1002","1","1001","0","12","1","1001","0","3","1001","10360101","0","1001","0","1002","103601","1","1002","0","0","0","1002"
"1","0","1002","1","1001","0","10","1001","0","0","3","1001","10370101","0","1001","0","0","103701","1","1002","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10380101","0","0","0","0","103801","1","1","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10400101","0","0","0","0","104001","1","1","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10420101","0","0","0","0","104201","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10430101","0","0","0","0","104301","1","1","0","0","0","1002"
"1","0","1002","1","1002","0","12","1","1001","0","3","1001","10440101","0","1001","0","1002","104401","1","1002","0","0","0","1001"
"1","0","1","0","1002","0","9","1002","0","0","3","1002","10450101","0","1001","0","0","104501","1","1001","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10460101","0","0","0","0","104601","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10470101","0","0","0","0","104701","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10480101","0","0","0","0","104801","1","1","0","0","0","1002"
"1","1001","1","1","1001","0","13","1","1","0","3","1002","10490101","0","1001","0","1002","104901","1","1","0","0","0","1002"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10500101","0","0","0","0","105001","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10510101","0","0","0","0","105101","1","1","0","0","0","1002"
"1","0","1002","0","1","0","7","0","0","0","2","1002","10520101","0","0","0","0","105201","1002","1","0","0","0","1001"
"1002","0","0","0","1","0","6","0","0","0","4","1","10530101","0","0","0","0","105301","1002","1","0","0","0","1001"
"1002","0","1","1","1","0","11","1002","0","0","4","1","10540101","0","1","0","1001","105401","1002","1","0","0","0","1001"
"1","0","1","0","1002","0","8","0","0","0","3","1001","10550101","0","1002","0","0","105501","1","1","0","0","0","1001"
"1","0","1","0","1002","0","9","1002","0","0","3","1002","10560101","0","1001","0","0","105601","1","1001","0","0","0","1001"
"1","0","1002","0","1002","0","7","0","0","0","3","1001","10570101","0","0","0","0","105701","1","1","0","0","0","1001"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10580101","0","0","0","0","105801","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","9","0","0","0","3","1002","10590101","0","0","0","0","105901","1","1","0","0","0","1002"
"1","0","1001","0","1001","0","7","0","0","0","3","1002","10600101","0","0","0","0","106001","1","1","0","0","0","1002"
"1001","0","1","0","1001","0","9","1001","0","0","3","1","10610101","0","1002","0","0","106101","1","1002","0","0","0","1002"
