5bbb679135a9554831fed790d22e61a5c7156d49d06c38490f6dd8a525fc9e88,dd21b64091734801a1532269841ec4c92c726b71f7cc32f0c597f0a2066798c2,38e65fa1b71c30aedfd562e92aa6d4fc4d2d643feb5d6a5a2c6eb94eea683dbf,62fdf7ba7223ccba83a8f8f5b242736dfc7bdfc3a71860aa7a5e048dd0bba4ec,0e2f0a794ea92c7b4bd315211212bfd394f39e62dbad0e6fbd3e167a3123afec,ea76c66e86a6f8d9e7c7b93c107c656858129f081ed160f79771edad42836743,3d6c0b8fd0bd08d02cc9b8d2c40a7028ceb6d7cfe7c9c4e117b8171aebb83130,bc365e53094c3e9a19ad893809df144f829f7009df5c5eb728a6845241e1028a,04770883a9bb0e383f8d3efeb221a198c9df48c577498075ee31a27280f5b170
"20021","5","1002","1","1001","0","達成公主騎士RANK 5","129","1001"
"20021","10","1002","1","1002","0","達成公主騎士RANK 10","129","1002"
"20021","30","1002","1","1003","0","達成公主騎士RANK 30","129","1003"
"20021","50","1002","1","1004","0","達成公主騎士RANK 50","129","1004"
"20021","100","1002","1","1005","0","達成公主騎士RANK 100","129","1005"
"20021","150","1002","1","1006","0","達成公主騎士RANK 150","129","1006"
"20021","200","1002","1","1007","0","達成公主騎士RANK 200","129","1007"
"20021","250","1002","1","1008","0","達成公主騎士RANK250","129","1007"
"20021","300","1002","1","1009","0","達成公主騎士RANK300","129","1007"
"20021","450","1002","1","1010","0","達成公主騎士RANK450","129","1007"
"20021","520","1002","1","1011","0","達成公主騎士RANK520","129","1007"
"20022","50","1003","2","2001","1","讓火屬性的屬性等級提升到50","129","2001"
"20022","100","1003","2","2002","1","讓火屬性的屬性等級提升到100","129","2002"
"20022","150","1003","2","2003","1","讓火屬性的屬性等級提升到150","129","2003"
"20022","200","1003","2","2004","1","讓火屬性的屬性等級提升到200","129","2004"
"20022","250","1003","2","2005","1","讓火屬性的屬性等級提升到250","129","2005"
"20022","300","1003","2","2006","1","讓火屬性的屬性等級提升到300","129","2006"
"20022","350","1003","2","2007","1","讓火屬性的屬性等級提升到350","129","2007"
"20022","400","1003","2","2008","1","讓火屬性的屬性等級提升到400","129","2008"
"20022","450","1003","2","2009","1","讓火屬性的屬性等級提升到450","129","2009"
"20022","500","1003","2","2010","1","讓火屬性的屬性等級提升到500","129","2010"
"20022","550","1003","2","2011","1","讓火屬性的屬性等級提升到550","129","2011"
"20022","600","1003","2","2012","1","讓火屬性的屬性等級提升到600","129","2012"
"20022","650","1003","2","2013","1","讓火屬性的屬性等級提升到650","129","2013"
"20022","700","1003","2","2014","1","讓火屬性的屬性等級提升到700","129","2014"
"20022","750","1003","2","2015","1","讓火屬性的屬性等級提升到750","129","2015"
"20022","800","1003","2","2016","1","讓火屬性的屬性等級提升到800","129","2015"
"20022","900","1003","2","2017","1","讓火屬性的屬性等級提升到900","129","2015"
"20022","1000","1003","2","2018","1","讓火屬性的屬性等級提升到1000","129","2015"
"20022","50","1003","3","3001","2","讓水屬性的屬性等級提升到50","129","2001"
"20022","100","1003","3","3002","2","讓水屬性的屬性等級提升到100","129","2002"
"20022","150","1003","3","3003","2","讓水屬性的屬性等級提升到150","129","2003"
"20022","200","1003","3","3004","2","讓水屬性的屬性等級提升到200","129","2004"
"20022","250","1003","3","3005","2","讓水屬性的屬性等級提升到250","129","2005"
"20022","300","1003","3","3006","2","讓水屬性的屬性等級提升到300","129","2006"
"20022","350","1003","3","3007","2","讓水屬性的屬性等級提升到350","129","2007"
"20022","400","1003","3","3008","2","讓水屬性的屬性等級提升到400","129","2008"
"20022","450","1003","3","3009","2","讓水屬性的屬性等級提升到450","129","2009"
"20022","500","1003","3","3010","2","讓水屬性的屬性等級提升到500","129","2010"
"20022","550","1003","3","3011","2","讓水屬性的屬性等級提升到550","129","2006"
"20022","600","1003","3","3012","2","讓水屬性的屬性等級提升到600","129","2007"
"20022","650","1003","3","3013","2","讓水屬性的屬性等級提升到650","129","2008"
"20022","700","1003","3","3014","2","讓水屬性的屬性等級提升到700","129","2009"
"20022","750","1003","3","3015","2","讓水屬性的屬性等級提升到750","129","2010"
"20022","800","1003","3","3016","2","讓水屬性的屬性等級提升到800","129","2015"
"20022","900","1003","3","3017","2","讓水屬性的屬性等級提升到900","129","2015"
"20022","1000","1003","3","3018","2","讓水屬性的屬性等級提升到1000","129","2015"
"20022","50","1003","4","4001","3","讓風屬性的屬性等級提升到50","129","2001"
"20022","100","1003","4","4002","3","讓風屬性的屬性等級提升到100","129","2002"
"20022","150","1003","4","4003","3","讓風屬性的屬性等級提升到150","129","2003"
"20022","200","1003","4","4004","3","讓風屬性的屬性等級提升到200","129","2004"
"20022","250","1003","4","4005","3","讓風屬性的屬性等級提升到250","129","2005"
"20022","300","1003","4","4006","3","讓風屬性的屬性等級提升到300","129","2006"
"20022","350","1003","4","4007","3","讓風屬性的屬性等級提升到350","129","2007"
"20022","400","1003","4","4008","3","讓風屬性的屬性等級提升到400","129","2008"
"20022","450","1003","4","4009","3","讓風屬性的屬性等級提升到450","129","2009"
"20022","500","1003","4","4010","3","讓風屬性的屬性等級提升到500","129","2010"
"20022","550","1003","4","4011","3","讓風屬性的屬性等級提升到550","129","2006"
"20022","600","1003","4","4012","3","讓風屬性的屬性等級提升到600","129","2007"
"20022","650","1003","4","4013","3","讓風屬性的屬性等級提升到650","129","2008"
"20022","700","1003","4","4014","3","讓風屬性的屬性等級提升到700","129","2009"
"20022","750","1003","4","4015","3","讓風屬性的屬性等級提升到750","129","2010"
"20022","800","1003","4","4016","3","讓風屬性的屬性等級提升到800","129","2015"
"20022","900","1003","4","4017","3","讓風屬性的屬性等級提升到900","129","2015"
"20022","1000","1003","4","4018","3","讓風屬性的屬性等級提升到1000","129","2015"
"20022","50","1003","5","5001","4","讓光屬性的屬性等級提升到50","129","2001"
"20022","100","1003","5","5002","4","讓光屬性的屬性等級提升到100","129","2002"
"20022","150","1003","5","5003","4","讓光屬性的屬性等級提升到150","129","2003"
"20022","200","1003","5","5004","4","讓光屬性的屬性等級提升到200","129","2004"
"20022","250","1003","5","5005","4","讓光屬性的屬性等級提升到250","129","2005"
"20022","300","1003","5","5006","4","讓光屬性的屬性等級提升到300","129","2006"
"20022","350","1003","5","5007","4","讓光屬性的屬性等級提升到350","129","2007"
"20022","400","1003","5","5008","4","讓光屬性的屬性等級提升到400","129","2008"
"20022","450","1003","5","5009","4","讓光屬性的屬性等級提升到450","129","2009"
"20022","500","1003","5","5010","4","讓光屬性的屬性等級提升到500","129","2010"
"20022","550","1003","5","5011","4","讓光屬性的屬性等級提升到550","129","2006"
"20022","600","1003","5","5012","4","讓光屬性的屬性等級提升到600","129","2007"
"20022","650","1003","5","5013","4","讓光屬性的屬性等級提升到650","129","2008"
"20022","700","1003","5","5014","4","讓光屬性的屬性等級提升到700","129","2009"
"20022","750","1003","5","5015","4","讓光屬性的屬性等級提升到750","129","2010"
"20022","800","1003","5","5016","4","讓光屬性的屬性等級提升到800","129","2015"
"20022","900","1003","5","5017","4","讓光屬性的屬性等級提升到900","129","2015"
"20022","1000","1003","5","5018","4","讓光屬性的屬性等級提升到1000","129","2015"
"20022","50","1003","6","6001","5","讓闇屬性的屬性等級提升到50","129","2001"
"20022","100","1003","6","6002","5","讓闇屬性的屬性等級提升到100","129","2002"
"20022","150","1003","6","6003","5","讓闇屬性的屬性等級提升到150","129","2003"
"20022","200","1003","6","6004","5","讓闇屬性的屬性等級提升到200","129","2004"
"20022","250","1003","6","6005","5","讓闇屬性的屬性等級提升到250","129","2005"
"20022","300","1003","6","6006","5","讓闇屬性的屬性等級提升到300","129","2006"
"20022","350","1003","6","6007","5","讓闇屬性的屬性等級提升到350","129","2007"
"20022","400","1003","6","6008","5","讓闇屬性的屬性等級提升到400","129","2008"
"20022","450","1003","6","6009","5","讓闇屬性的屬性等級提升到450","129","2009"
"20022","500","1003","6","6010","5","讓闇屬性的屬性等級提升到500","129","2010"
"20022","550","1003","6","6011","5","讓闇屬性的屬性等級提升到550","129","2006"
"20022","600","1003","6","6012","5","讓闇屬性的屬性等級提升到600","129","2007"
"20022","650","1003","6","6013","5","讓闇屬性的屬性等級提升到650","129","2008"
"20022","700","1003","6","6014","5","讓闇屬性的屬性等級提升到700","129","2009"
"20022","750","1003","6","6015","5","讓闇屬性的屬性等級提升到750","129","2010"
"20022","800","1003","6","6016","5","讓闇屬性的屬性等級提升到800","129","2015"
"20022","900","1003","6","6017","5","讓闇屬性的屬性等級提升到900","129","2015"
"20022","1000","1003","6","6018","5","讓闇屬性的屬性等級提升到1000","129","2015"
"20023","10","1004","7","7001","0","完成強化10個節點","129","7001"
"20023","20","1004","7","7002","0","完成強化20個節點","129","7002"
"20023","30","1004","7","7003","0","完成強化30個節點","129","7003"
"20023","40","1004","7","7004","0","完成強化40個節點","129","7004"
"20023","50","1004","7","7005","0","完成強化50個節點","129","7005"
"20023","60","1004","7","7006","0","完成強化60個節點","129","7006"
"20023","70","1004","7","7007","0","完成強化70個節點","129","7007"
"20023","80","1004","7","7008","0","完成強化80個節點","129","7008"
"20023","90","1004","7","7009","0","完成強化90個節點","129","7009"
"20023","100","1004","7","7010","0","完成強化100個節點","129","7010"
"20023","110","1004","7","7011","0","完成強化110個節點","129","7011"
"20023","120","1004","7","7012","0","完成強化120個節點","129","7012"
"20023","130","1004","7","7013","0","完成強化130個節點","129","7013"
"20023","140","1004","7","7014","0","完成強化140個節點","129","7014"
"20023","150","1004","7","7015","0","完成強化150個節點","129","7015"
"20023","160","1004","7","7016","0","完成強化160個節點","129","7016"
"20023","170","1004","7","7017","0","完成強化170個節點","129","7017"
"20023","180","1004","7","7018","0","完成強化180個節點","129","7018"
"20023","190","1004","7","7019","0","完成強化190個節點","129","7019"
"20023","200","1004","7","7020","0","完成強化200個節點","129","7020"
"20023","210","1004","7","7021","0","完成強化210個節點","129","7021"
"20023","222","1004","7","7022","0","完成強化222個節點","129","7022"
"20023","250","1004","7","7023","0","完成強化250個節點","129","7022"
"20023","275","1004","7","7024","0","完成強化275個節點","129","7022"
"20023","300","1004","7","7025","0","完成強化300個節點","129","7022"
"20023","325","1004","7","7026","0","完成強化325個節點","129","7022"
"20023","350","1004","7","7027","0","完成強化350個節點","129","7022"
"20023","375","1004","7","7028","0","完成強化375個節點","129","7022"
"20023","400","1004","7","7029","0","完成強化400個節點","129","7022"
"20023","430","1004","7","7030","0","完成強化430個節點","129","7022"
"20023","500","1004","7","7031","0","完成強化500個節點","129","7022"
"20023","550","1004","7","7032","0","完成強化550個節點","129","7022"
"20023","600","1004","7","7033","0","完成強化600個節點","129","7022"
"20023","638","1004","7","7034","0","完成強化638個節點","129","7022"
"20024","5","1005","8","8001","0","完成強化5個節點","129","8001"
