3bfb356aa72ecd194327550bedee9c5c2f549b93285c386c62256fd22f8f782e,07a334c3a0c87cd487f3363c4af6e11ca7323e62db0ecb109f4c44ebb9434d78,b1abb8c28cab3aedc04d4aa0621b4279897a551a291bfdd23b153a238a2a41b0,ed8c341f81081f627633d44fcd4100083e8dbfbb47f0226df056d7751b66fcba,633f7845d3c19d786fd078d521400caaaf98a6bd8372281ef880c5a1bf25a939,5bdbe91ae60fd786d8b6e37c00edf5a40f7cfc76ed49ba3118071755ca86f446,8d5374a37dcd6772cbcb139a86e6fe4df32000258f5dc63aa6f6fc82b037353f
"3","0","0","獲得料理活動","0","1","1"
"1","0","0","獲得骰子活動1","0","2","2"
"2","0","0","獲得骰子活動2","0","3","2"
"0","1","3","跳過計算回合數","0","4","3"
"100","0","2","里程+100%","1","5","4"
"100","0","2","小遊戲里程+100%","1","6","5"
"300","0","3","商店打折活動","1","7","6"
"300","0","3","商店打折活動","1","8","6"
"0","2","3","跳過計算回合數1","0","98001","3"
"0","1","3","跳過計算回合數1","0","98011","3"
"0","2","3","跳過計算回合數2","0","98012","3"
