9a0afd77fa6a83893ea9ef3b873911dd4f8425dc45ed34af0a651c2be568f855,67eef002f96f61fda1412ac4fc8b0b17cff1101e51e1435f3b1a589b9d64ea27,ba16dfa1214565f162871f3c3b3573601392a149adb5c4e1de6a0e2389da61be,973b589ab3c412228bce41533ce339115986c59dbd45ff03b3b4aea92034c8b6,5d69ae3a33df351b90cae683fd8035b4b6d32eab54ea495ab7faaa0e6446941a,4ff42b600af4c7180960d6e3e73010e5242175ac17ec4ec1226364ad6f11d64f,8263e2b38ddb18bb3e8ea6e9f63b6f921b4af881282793bb80b8f8a8b552c586,e8d43fa33a8505339decbd0d29dcffbca68911400537b127cc13e11490ca9c1c,74a0a74fa53938ac4e43b9c4383f40fad595f802e38f5e765d5c8b10abe98b9c,f47378d227322e325ea6d6492c9892114bc434a4217dcacbd95d0d1fa1fbd867,89481b74272b1e5b049b85a64264cac3e82043e8f4f584abe7ef01fc401622b8
"10011","5","1000","0","1","1","1","1","1","0","0"
"10012","2","2000","0","2","2","0","2","2","0","1"
"10013","5","2000","0","2","3","0","3","3","0","1"
"10014","8","2000","0","2","4","0","4","4","0","1"
"10015","2","3000","0","3","5","0","5","5","0","2"
"10016","5","3000","0","3","6","0","6","6","0","3"
"10017","8","3000","0","3","7","0","7","7","0","4"
"10018","2","4000","0","4","8","0","8","8","0","5"
"10019","5","4000","0","4","9","0","9","9","0","6"
"10020","8","4000","0","4","10","0","10","10","0","7"
"10021","5","10000","10","5","11","1","11","11","9","8"
"10022","2","8000","0","6","12","0","12","12","0","11"
"10023","5","8000","0","6","13","0","13","13","0","11"
"10024","8","8000","0","6","14","0","14","14","0","11"
"10025","2","10000","0","7","15","0","15","15","0","12"
"10026","5","10000","0","7","16","0","16","16","0","13"
"10027","8","10000","0","7","17","0","17","17","0","14"
"10028","2","12000","0","8","18","0","18","18","0","15"
"10029","5","12000","0","8","19","0","19","19","0","16"
"10028","8","12000","0","8","20","0","20","20","0","17"
"10030","5","20000","20","9","21","1","21","21","19","18"
"10012","2","10000","0","10","22","0","22","22","0","21"
"10013","5","10000","0","10","23","0","23","23","0","21"
"10014","8","10000","0","10","24","0","24","24","0","21"
"10015","2","12000","0","11","25","0","25","25","0","22"
"10016","5","12000","0","11","26","0","26","26","0","23"
"10017","8","12000","0","11","27","0","27","27","0","24"
"10018","2","14000","0","12","28","0","28","28","0","25"
"10019","5","14000","0","12","29","0","29","29","0","26"
"10020","8","14000","0","12","30","0","30","30","0","27"
"10032","5","20000","30","13","31","1","31","31","29","28"
"10022","2","12000","0","14","32","0","32","32","0","31"
"10023","5","12000","0","14","33","0","33","33","0","31"
"10024","8","12000","0","14","34","0","34","34","0","31"
"10025","2","14000","0","15","35","0","35","35","0","32"
"10026","5","14000","0","15","36","0","36","36","0","33"
"10027","8","14000","0","15","37","0","37","37","0","34"
"10028","2","16000","0","16","38","0","38","38","0","35"
"10029","5","16000","0","16","39","0","39","39","0","36"
"10028","8","16000","0","16","40","0","40","40","0","37"
"10033","5","30000","40","17","41","1","41","41","39","38"
