a4de29c506139b729c3489668744261e290b6ef99415898e8ccc44a8d63866c0,dda5fc8250b1d2ce55efea2997ba9ae440b200b714539480ca2037a04a98135c,5e57f3e1df8ae3a009867d649b234bbd5f0b8267b8e464de6c3a6eaab5a258fc,cd664f06d49817aab46b11d2e37b4e12c8113d42b8e786f66571fe164bb6197c,1b2229820824a0e471cfb20d09d452f61a3cb3cde0b5b813c0719ec3a607ad9a
"10101","13","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","1","水屬性獎勵提升"
"10102","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","1","風屬性獎勵提升"
"10103","damage_limit","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","1","傷害值衰減"
"10104","def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","1","防禦力（不可降低）提升"
"10201","13","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","2","水屬性獎勵提升"
"10202","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","2","風屬性獎勵提升"
"10203","damage_limit","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","2","傷害值衰減"
"10204","def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","2","防禦力（不可降低）提升"
"10205","damage_cut","將所有怪物承受的傷害減少一定數值。","2","全傷害降低"
"10206","damage_up","提升所有怪物所造成的傷害。","2","造成傷害提升"
"10207","def_up","提升所有怪物的物理/魔法防禦力。","2","防禦力提升"
"10301","13","編組４位以上的水屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","3","水屬性獎勵提升"
"10302","14","編組４位以上的風屬性角色時，會強化角色的屬性獎勵。水屬性和風屬性以外的屬性獎勵無效。","3","風屬性獎勵提升"
"10303","damage_limit","使所有怪物在一次行動中受到的傷害值衰減。傷害值上升得越高，衰減率也會隨之上升。","3","傷害值衰減"
"10304","def_lower_limit","中幅度提升所有怪物的物理/魔法防禦力。此效果不會受到物理/魔法防禦力下降的影響。","3","防禦力（不可降低）提升"
"10305","damage_cut","將所有怪物承受的傷害減少一定數值。","3","全傷害降低"
"10306","damage_up","提升所有怪物所造成的傷害。","3","造成傷害提升"
"10307","def_up","提升所有怪物的物理/魔法防禦力。","3","防禦力提升"
"10308","life_steal_down","降低所有角色的ＨＰ吸收。","3","降低ＨＰ吸收"
"10309","tp_down_cut","所有怪物為減少降低ＴＰ的狀態。","3","減少降低ＴＰ"
"10310","hp_recovery_down","降低所有角色的ＨＰ恢復量。","3","降低ＨＰ恢復量"
