07d700cfad2cd254c5d60f2e384761e1b78948b446fa6f13cfaebb6c0f69dad5,43e832b082e76477e5af71d03471289ebf0e9f1385af240a3cd767d849f3049e,3879eedbae860e81a9345f70a9637128fa45b5b24a2e82e8780ceb2815f411a7,723d02c95202ee51b1e8414ad52f4f72d4cb0004b49be070aa984765f2ca890b,12029eaa2b3c160ab8596821c00874ff0ce7c2fbb302ee7f8064c12c6e45fee0
"990001","-7","-4.5","30010001","1"
"990001","12","-21.5","30010003","1"
"990001","-3","-21.5","30010004","1"
"1","-5.8","-21.6","30010007","1"
"1","-4.4","-21.6","30010008","1"
"1","-16.7","-8.6","30010029","1"
"1","-7","-13","30010038","1"
"990002","-5.5","2.9","30010047","1"
"1","-8.9","-17.6","30010055","1"
"1","-6.6","-19","30010056","1"
"1","-5","-18.4","30010060","1"
"3","0.6","-20.4","30010061","1"
"3","-3.9","-17.2","30010062","1"
"1","-4.1","-14.9","30010063","1"
"1","2.2","-17","30010066","1"
"1","2.2","-18.5","30010068","1"
"1","2.2","-15.4","30010070","1"
"3","-9.6","-21.7","30010071","1"
"1","-11.9","-21.6","30010073","1"
"3","-12","-20","30010074","1"
"3","-1.9","-21.7","30010077","1"
"3","-4.9","-13.8","30010079","1"
"2","-17","-3.6","30010081","1"
"2","-15","-4.7","30010083","1"
"3","-13.9","-16.8","30010085","1"
"3","-7.1","-11.5","30010089","1"
"2","-8.1","-8.7","30010091","1"
"2","-5.7","-8.7","30010094","1"
"2","-16.3","-4.7","30010100","1"
"2","-13.8","-0.2","30010104","1"
"2","-13.9","2.3","30010106","1"
"2","-15.2","1","30010107","1"
"2","-16.6","2.1","30010109","1"
"2","-16.5","-0.1","30010110","1"
"2","-20","-2","30010112","1"
"2","-20","-0.8","30010113","1"
"2","-20","2","30010115","1"
"2","-20","3.7","30010116","1"
"3","-19.9","0.6","30010117","1"
"3","-18.2","-2.9","30010119","1"
"3","-19.5","-3","30010120","1"
"991002","-15","-2.5","30010125","1"
"991001","-16.7","-2.5","30010126","1"
"991001","-8.5","-21.4","30010130","1"
"3","-18.4","4.8","30010134","1"
"3","-17","5.8","30010136","1"
"2","-17.1","6.9","30010137","1"
"3","-17","8","30010138","1"
"2","-17","9.5","30010139","1"
"2","-13.5","5.3","30010145","1"
"2","-12.1","5.3","30010146","1"
"3","-15.5","8.7","30010147","1"
"2","-14.3","8.8","30010148","1"
"3","-13","8.8","30010149","1"
"2","-12.3","10.2","30010150","1"
"2","-10.8","8.4","30010152","1"
"2","-10.7","10.2","30010155","1"
"1","-6.2","-16.1","30010156","1"
"2","-7.3","6.8","30010160","1"
"3","-6.4","7.9","30010161","1"
"1","-6","6.4","30010162","1"
"3","-6","2","30010163","1"
"1","-6","4.6","30010164","1"
"1","-2.8","3","30010166","1"
"1","-2.2","5.3","30010168","1"
"3","-0.5","5.3","30010169","1"
"1","-4.9","-12.2","30010170","1"
"3","-4.9","-10.9","30010171","1"
"1","-3.8","8","30010173","1"
"2","-2.6","8.7","30010174","1"
"1","-1.5","8","30010175","1"
"2","-0.3","8.7","30010176","1"
"1","0.9","7.9","30010177","1"
"2","-1.9","3.3","30010178","1"
"2","-1.6","-0.8","30010181","1"
"1","1","0.4","30010182","1"
"2","2.4","0.4","30010183","1"
"1","3.6","0.4","30010184","1"
"1","6.4","1.3","30010186","1"
"3","8","1.3","30010187","1"
"1","9.5","1.3","30010188","1"
"2","5.4","4.9","30010189","1"
"1","6.4","5.8","30010190","1"
"2","7.5","4.9","30010191","1"
"2","8.6","5.8","30010192","1"
"1","3.8","5.7","30010193","1"
"3","11.1","0.4","30010194","1"
"2","14","0.2","30010195","1"
"3","15","1.4","30010196","1"
"2","14.1","2.4","30010197","1"
"1","15.1","3.5","30010198","1"
"2","14","4.3","30010199","1"
"1","12","6.3","30010200","1"
"2","10.3","6.3","30010201","1"
"1","12.1","-2.8","30010202","1"
"3","9.1","-1.7","30010203","1"
"1","9","-3","30010204","1"
"3","9","-4.7","30010205","1"
"2","15.9","-1.7","30010206","1"
"2","16.8","-3.2","30010207","1"
"2","15.8","-4.5","30010208","1"
"3","13.1","-2.8","30010209","1"
"1","10.2","-8.8","30010210","1"
"2","10.1","-7.5","30010211","1"
"1","10","-5.9","30010212","1"
"3","15.1","-8.7","30010213","1"
"3","16.2","-7.6","30010214","1"
"3","15.3","-6.3","30010215","1"
"1","15.9","-10.4","30010216","1"
"3","16.9","-11.6","30010217","1"
"1","15.9","-13","30010218","1"
"2","11.1","-11.6","30010219","1"
"3","11.1","-10.1","30010220","1"
"3","13.9","-14.3","30010221","1"
"1","15","-15.5","30010222","1"
"3","14.3","-17.3","30010223","1"
"1","15","-18.4","30010224","1"
"1","11.1","-17.8","30010225","1"
"3","11.1","-18.9","30010226","1"
"1","11","-21.6","30010227","1"
"2","9.7","-21.6","30010228","1"
"1","8.5","-21.6","30010229","1"
"1","7","-21.6","30010230","1"
"3","5.5","-21.7","30010231","1"
"1","4","-21.7","30010232","1"
"3","2.2","-20.4","30010233","1"
"2","6","-19.3","30010234","1"
"2","5.3","-18.2","30010235","1"
"2","6","-16.8","30010236","1"
"1","2.2","-11.8","30010237","1"
"1","7","-9.5","30010238","1"
"3","5.9","-9","30010239","1"
"1","4.9","-9.5","30010240","1"
"3","2.1","-10.3","30010241","1"
"1","2.1","-8.5","30010242","1"
"1","0.6","-18.7","30010243","1"
"3","5.2","-13.4","30010244","1"
"3","4","-12.6","30010245","1"
"991004","-16.6","6","30010246","1"
"991002","-15.1","5.5","30010247","1"
"991002","12.3","-2.5","30010251","1"
"991001","11.7","-2.5","30010252","1"
"991002","12.2","-7.5","30010253","1"
"991001","11.8","-7.5","30010254","1"
"991001","11.4","-13.2","30010255","1"
"991003","12.7","-13.7","30010256","1"
"991001","6.5","-21.5","30010257","1"
"991002","6.8","-12.6","30010259","1"
"991001","5.2","-12.6","30010260","1"
"991002","-1.5","-11.5","30010261","1"
"991001","-2.5","-11.5","30010262","1"
"991004","6.4","-20.2","30010263","1"
"991002","-1.8","-16.6","30010264","1"
"991001","-2.2","-16.6","30010265","1"
"2","-9.3","8.5","30010267","1"
"1","-12","-18.6","30010268","1"
"991002","-10.1","-17.6","30010269","1"
"991001","-11.7","-17.7","30010270","1"
"991003","-14.3","-12.6","30010271","1"
"991004","-14.3","-11.2","30010272","1"
"3","-13.9","-15.4","30010274","1"
"3","-13.8","-14.1","30010275","1"
"991003","-12.2","-8.1","30010276","1"
"991004","-12.2","-7.7","30010277","1"
"1","-15.3","-8.6","30010278","1"
"1","-19.9","-11.9","30010279","1"
"3","-19.9","-10.7","30010280","1"
"1","-19.9","-9.2","30010281","1"
"3","-19.9","-8","30010282","1"
"1","-18.6","-13.4","30010283","1"
"1","-16.2","-13.6","30010284","1"
"3","-14.9","-13.7","30010285","1"
"3","-12.9","-9.6","30010286","1"
"2","-11.7","-9.6","30010287","1"
"2","-10.4","-9.6","30010288","1"
"1","-7","-8.8","30010289","1"
"2","-1","-3.6","30010290","1"
"2","-1","-5","30010291","1"
"991002","1.8","2.5","30010292","1"
"991003","0.5","2.5","30010293","1"
"2","10.5","-22.7","30020001","2"
"2","9","-23","30020004","2"
"2","6","-23","30020005","2"
"2","7.5","-22.7","30020006","2"
"991001","6.3","-19.1","30020008","2"
"991002","7.8","-19.1","30020009","2"
"2","5.5","-21.5","30020010","2"
"1","13.5","-22.7","30020011","2"
"3","15","-23.5","30020012","2"
"990001","17.1","-22.5","30020013","2"
"1","16.3","-22.7","30020014","2"
"3","18.4","-22.7","30020015","2"
"1","19.7","-23.5","30020016","2"
"3","21.3","-22.7","30020017","2"
"2","10.5","-20","30020018","2"
"1","12.5","-19.8","30020019","2"
"1","15","-19.8","30020020","2"
"1","15","-15","30020024","2"
"1","18.6","-17.8","30020027","2"
"1","17.5","-19.8","30020029","2"
"1","15","-17","30020030","2"
"3","16","-16.4","30020031","2"
"2","4","-20.3","30020032","2"
"2","3.5","-18.9","30020033","2"
"2","4","-17.5","30020034","2"
"2","9","-15.7","30020035","2"
"2","-2","-23.8","30020043","2"
"2","-4","-23.8","30020044","2"
"1","-5","-23","30020045","2"
"2","-4","-19","30020047","2"
"2","-4","-17","30020048","2"
"1","-1.3","-15.7","30020050","2"
"2","-1.7","-13.4","30020051","2"
"2","-3.5","-13.5","30020052","2"
"2","-7","-13.1","30020053","2"
"2","-9.2","-13.6","30020054","2"
"2","-9","-14.9","30020055","2"
"1","-7","-21.1","30020056","2"
"1","-8.8","-22.7","30020062","2"
"1","-12","-22.7","30020063","2"
"3","-5","-21.1","30020065","2"
"3","-7","-23","30020066","2"
"3","-10.5","-23.2","30020067","2"
"2","-10","-16","30020068","2"
"2","-12","-15.3","30020069","2"
"2","-13.5","-18.1","30020070","2"
"2","-13.5","-16.4","30020071","2"
"3","-14.5","-22.7","30020072","2"
"3","-17.1","-22.7","30020073","2"
"991004","-8.2","-19","30020074","2"
"990001","-16","-22.5","30020076","2"
"1","-19.5","-22.7","30020077","2"
"1","-21.5","-22.7","30020078","2"
"3","-23.5","-22","30020079","2"
"3","-23.5","-20.2","30020080","2"
"1","-25","-18.8","30020083","2"
"3","-25","-17.6","30020084","2"
"3","-25","-16","30020085","2"
"1","-25","-14","30020086","2"
"2","-19.7","-16.1","30020087","2"
"2","-19.3","-14.8","30020088","2"
"3","-24.5","-12.7","30020089","2"
"1","-23.5","-11.5","30020090","2"
"3","-19.4","-13.1","30020091","2"
"1","-20","-11.5","30020092","2"
"3","-25","-9.6","30020093","2"
"1","-25","-8","30020094","2"
"3","-25","-6.2","30020095","2"
"2","-18.5","-9.4","30020096","2"
"2","-17","-8.5","30020097","2"
"2","-18.5","-7.4","30020098","2"
"2","-17","-6.8","30020099","2"
"1","-23.7","-4","30020100","2"
"1","-21.6","-2","30020101","2"
"1","-19.5","-2","30020102","2"
"1","-17.7","-2","30020103","2"
"3","-16.1","-3.4","30020104","2"
"3","-15","-4","30020105","2"
"3","-16.2","-10.8","30020106","2"
"3","-15","-11.3","30020107","2"
"3","-13.7","-10.8","30020108","2"
"1","-10.5","-6","30020109","2"
"1","-9.3","-5","30020110","2"
"3","-11.9","-5.1","30020111","2"
"3","-8.3","-6","30020112","2"
"3","-12","-10.4","30020113","2"
"1","-10.8","-11.8","30020114","2"
"1","-9","-11.8","30020115","2"
"3","-7","-10","30020116","2"
"2","3.9","-8","30020119","2"
