b78a064a00edc38a5725cc592b379f66f331a4220757ab948435ff1377b06251,7c29e67816e8b8e3c6bb17e8a4c412771bc07369e28aa639bf056af5877dd302,f76a23122ed8f0c5173aad9e86a3667a586539634cf170b37a1d4e9f288114cb,f78ff32f25c4341f508de555aa5542b6007223f46ec944fca3e6f89cf6a6cfac,cf933d6f3f34ccc478556a3a47a338edf0d0139af84021ec23df255729568a44,6f91238c4ec1426d3f86b0aaf56ffb4864748c0db781b54c17c5cb973e935e36,40afef8909bd1aaf39e02a96e12a68c991215ef9a64291d0a4fdfbcac391c019,e91e91a0c92b36c50d1b1f8744a0c04a3b31d121fa55bbd030192aa4baca1b21,c3853705277372fd2a6dc8978904816d69544df6a9cac1beb9a652dd92c96389,2db5933fa83778954d2e1a3755b24406a29542b51da814129fa7faa7a46cdf32,d47b8f30b3389228f1173d9a85fd865c2b193ca7ef19aa0cd7bdc6fda54adc38,1da7a396ac78fbf57556219603144a18ec6ba49230ba2b135d84cbf5648851cb
"92407","90","1","92407120","500000000","924073101","0","924071100","92407110","924072101","1","1"
"92407","90","1","92407130","1000000000","924073102","92407110","924071200","92407120","924072102","2","2"
"92407","90","1","92407140","1500000000","924073103","92407120","924071300","92407130","924072103","3","3"
"92407","90","1","0","0","924073104","92407130","924071400","92407140","924072104","4","3"
"92407","90","1","92407220","500000000","924073201","0","924072100","92407210","924072201","1","1"
"92407","90","1","92407230","1000000000","924073202","92407210","924072200","92407220","924072202","2","2"
"92407","90","1","92407240","1500000000","924073203","92407220","924072300","92407230","924072203","3","3"
"92407","90","1","0","0","924073204","92407230","924072400","92407240","924072204","4","3"
"92407","90","1","92407320","500000000","924073301","0","924073100","92407310","924072301","1","1"
"92407","90","1","92407330","1000000000","924073302","92407310","924073200","92407320","924072302","2","2"
"92407","90","1","92407340","1500000000","924073303","92407320","924073300","92407330","924072303","3","3"
"92407","90","1","0","0","924073304","92407330","924073400","92407340","924072304","4","3"
"92408","90","1","92408120","500000000","924083101","0","924081100","92408110","924082101","1","1"
"92408","90","1","92408130","1000000000","924083102","92408110","924081200","92408120","924082102","2","2"
"92408","90","1","92408140","1500000000","924083103","92408120","924081300","92408130","924082103","3","3"
