e8abe84008bace5b6abae3df2221662d8455056afcc89824eb1fd00e6d2b1285,07fe82521389c79e888e93c613db2885cc73ac8e1a83cc5fd25009432002c3d2,47c92fdb98f959ad2488b5256863ec9051313968497511fa6fe28cb746e1bf1b,51d87f74c2721bbe8ede99b3cb5ba65e977eb1b59b3d46865949d1c333c4840c,c779abfded361676e0334c2ec03eaea75f0b2edfcbed0080911f0f90b12cdb52,a6dcc42514b1a6de69beac5243ddb9970d6f35bbfec521ebf6b16a6c79a1b333,9c3b36005f4feb64c164bf5fd3d6e12a2d747f037e6e65bb4954ca5d0afa9425,f4e2cf8e0dec3ace79b35ebe68da9a359d60c9c18e0e25c51efaeac56953a42e,bd2f34202a2e1aff8c0447ad66254e08cb87c3b71c1871e44498298587bd5022,f2cd3c4ab1cc8d04312244d302eff36889c8fac8305577c40cb58fdce4261344,32610ab0df055f6f80ae026df69d573b9a0d9c35a53fa425a10cf371b30b3764
"-68","1","42","20011","101","105811","0.8","travel_topdrama_r_2000_idle_smile","1200110001","1","1"
"-68","1","-42","20011","102","106011","0.8","travel_topdrama_r_2000_idle_sad_shy","1200110002","0","1"
"-75","0","0","20011","110","0","1","mana","1200110003","0","5"
"","0","","20011","","","","","1200110004","","91"
"","10","","20011","","0","","","1200110005","","93"
"","1200110005","","20011","","","","","1200110006","","101"
"","0","","20011","0","none","0","","1200110007","","3"
"","0","","20011","","","","","1200110008","","91"
"","105811","","20012","","103","","","1200120001","","13"
"","106011","","20012","","104","","","1200120002","","13"
"1","105811","travel_topdrama_r_2000_talk_smile_loop","20012","0","travel_topdrama_r_2000_talk_smile_in","0.2","","1200120003","","3"
"","vo_travel_talk","0","20012","0","vo_travel_talk_20001_00","","","1200120004","","21"
"1","105811","1","20012","10","小凱留也有好好享受冒險嗎？\n調味料還有非常多，\n發現新種魔物的話要告訴我唷♪","0","0","1200120005","0","11"
"","0","","20012","","","","","1200120006","","91"
"","105811","","20012","1","travel_topdrama_r_2000_idle_smile","0.2","","1200120007","","3"
"1","106011","","20012","1","travel_topdrama_r_2000_talk_anger_shy","0.2","","1200120008","","3"
"","vo_travel_talk","0","20012","0","vo_travel_talk_20001_01","","","1200120009","","21"
"1","106011","1","20012","10","妳啊，通通都搞錯了啊！\n我們要找的是寶物，\n魔物也不是食材啊！","0","0","1200120010","0","11"
"","0","","20012","","","","","1200120011","","91"
"","106011","","20012","1","travel_topdrama_r_2000_idle_sad_shy","0.2","","1200120012","","3"
"1","105811","travel_topdrama_r_2000_talk_smile_loop","20012","0","travel_topdrama_r_2000_talk_smile_in","0.2","","1200120013","","3"
"","vo_travel_talk","0","20012","0","vo_travel_talk_20001_02","","","1200120014","","21"
"1","105811","1","20012","10","好了好了，別這樣說嘛。\n如果完成了新的魔物料理的話，\n我也會分給小凱留的啦♪","0","0","1200120015","0","11"
"","0","","20012","","","","","1200120016","","91"
"","105811","","20012","1","travel_topdrama_r_2000_idle_smile","0.2","","1200120017","","3"
"","","","20012","","","","","1200120018","","112"
"","0","","20012","","","","","1200120019","","91"
"-68","1","42","20021","101","100211","0.8","travel_topdrama_r_2000_idle_normal","1200210001","1","1"
"-68","1","-42","20021","102","100111","0.8","travel_topdrama_r_2002_sitting_loop","1200210002","0","1"
"-68","3","-42","20021","100","3","0.8","travel_topdrama_r_2002_sitting_loop","1200210003","0","5"
"-75","0","0","20021","110","0","1","mana","1200210004","0","5"
"","0","","20021","","","","","1200210005","","91"
"","10","","20021","","0","","","1200210006","","93"
"","1200210006","","20021","","","","","1200210007","","101"
"","0","","20021","0","none","0","","1200210008","","3"
"","0","","20021","","","","","1200210009","","91"
"","100211","","20022","","103","","","1200220001","","13"
"","100111","","20022","","104","","","1200220002","","13"
"1","100211","","20022","1","travel_topdrama_r_2000_talk_normal","0.2","","1200220003","","3"
"","vo_travel_talk","0","20022","0","vo_travel_talk_20002_00","","","1200220004","","21"
"1","100211","1","20022","10","嗯，這樣應該就沒問題了。\n傷口應該都癒合了，\n還有哪裡會痛嗎？","0","0","1200220005","0","11"
"","0","","20022","","","","","1200220006","","91"
"","100211","","20022","1","travel_topdrama_r_2000_idle_normal","0.2","","1200220007","","3"
"","vo_travel_talk","0","20022","0","vo_travel_talk_20002_01","","","1200220008","","21"
"1","100111","1","20022","10","沒問題了，謝謝妳！\n果然在長途的旅程中，\n優衣的魔法非常可靠呢♪","0","0","1200220009","0","11"
"","0","","20022","","","","","1200220010","","91"
"1","100211","travel_topdrama_r_2000_talk_wish_loop_joy","20022","0","travel_topdrama_r_2000_talk_wish_in_joy","0.2","","1200220011","","3"
"","vo_travel_talk","0","20022","0","vo_travel_talk_20002_02","","","1200220012","","21"
"1","100211","1","20022","10","不用客氣♪\n雖然不要受傷最好的，但有\n困難的時候不用客氣儘管跟我說唷？","0","0","1200220013","0","11"
"","0","","20022","","","","","1200220014","","91"
"","100211","","20022","1","travel_topdrama_r_2000_idle_wish_joy","0.2","","1200220015","","3"
"","","","20022","","","","","1200220016","","112"
"","0","","20022","","","","","1200220017","","91"
"-68","1","-42","20031","101","100411","0.8","travel_topdrama_r_2000_idle_doya","1200310001","0","1"
"-68","1","42","20031","102","102011","0.8","travel_topdrama_r_2000_idle_normal","1200310002","1","1"
"-75","0","0","20031","110","0","1","mana","1200310003","0","5"
"","0","","20031","","","","","1200310004","","91"
"","10","","20031","","0","","","1200310005","","93"
"","1200310005","","20031","","","","","1200310006","","101"
"","0","","20031","0","none","0","","1200310007","","3"
"","0","","20031","","","","","1200310008","","91"
"","100411","","20032","","103","","","1200320001","","13"
"","102011","","20032","","104","","","1200320002","","13"
"1","100411","travel_topdrama_r_2000_talk_doya_loop","20032","0","travel_topdrama_r_2000_talk_doya_in","0.2","","1200320003","","3"
"","vo_travel_talk","0","20032","0","vo_travel_talk_20003_00","","","1200320004","","21"
"1","100411","1","20032","10","冒險的準備是非常重要的！\n所以為了不要迷路\n把指南針給帶來了～♪","0","0","1200320005","0","11"
"","0","","20032","","","","","1200320006","","91"
"","100411","","20032","1","travel_topdrama_r_2000_idle_doya","0.2","","1200320007","","3"
"1","102011","travel_topdrama_r_2000_talk_wish_loop","20032","0","travel_topdrama_r_2000_talk_wish_in","0.2","","1200320008","","3"
"","vo_travel_talk","0","20032","0","vo_travel_talk_20003_01","","","1200320009","","21"
"1","102011","1","20032","10","禊好厲害呀～♪\n這個指南針一直轉來轉去的，\n要怎麼看方向呀～？","0","0","1200320010","0","11"
"","0","","20032","","","","","1200320011","","91"
"","102011","","20032","1","travel_topdrama_r_2000_idle_wish","0.2","","1200320012","","3"
"1","100411","travel_topdrama_r_2000_talk_sad_loop_surprise2","20032","0","travel_topdrama_r_2000_talk_sad_in_surprise2","0.2","","1200320013","","3"
"","vo_travel_talk","0","20032","0","vo_travel_talk_20003_02","","","1200320014","","21"
"1","100411","1","20032","10","咦？轉來轉去？\n……啊～！？惡作劇要用的磁鐵，\n不小心放在同一個口袋裡了～！","0","0","1200320015","0","11"
"","0","","20032","","","","","1200320016","","91"
"","100411","","20032","1","travel_topdrama_r_2000_idle_sad_surprise2","0.2","","1200320017","","3"
"","","","20032","","","","","1200320018","","112"
"","0","","20032","","","","","1200320019","","91"
"-68","1","42","20041","101","105311","0.8","travel_topdrama_r_2000_idle_normal","1200410001","1","1"
"-68","1","-42","20041","102","104511","0.8","travel_topdrama_r_2000_idle_wish","1200410002","0","1"
"-75","0","0","20041","110","0","1","mana","1200410003","0","5"
"","0","","20041","","","","","1200410004","","91"
"","10","","20041","","0","","","1200410005","","93"
"","1200410005","","20041","","","","","1200410006","","101"
"","0","","20041","0","none","0","","1200410007","","3"
"","0","","20041","","","","","1200410008","","91"
"","105311","","20042","","103","","","1200420001","","13"
"","104511","","20042","","104","","","1200420002","","13"
"1","105311","travel_topdrama_r_2000_talk_surprise_loop_sad","20042","0","travel_topdrama_r_2000_talk_surprise_in_sad","0.2","","1200420003","","3"
"","vo_travel_talk","0","20042","0","vo_travel_talk_20004_00","","","1200420004","","21"
"1","105311","1","20042","10","怎、怎麼了空花！？\n臉紅通通的，還出了這麼多汗……\n是有哪裡不舒服的嘛！？","0","0","1200420005","0","11"
"","0","","20042","","","","","1200420006","","91"
"","105311","","20042","1","travel_topdrama_r_2000_idle_surprise_sad","0.2","","1200420007","","3"
"1","104511","","20042","1","travel_topdrama_r_2000_talk_wish_loop","0.2","","1200420008","","3"
"","vo_travel_talk","0","20042","0","vo_travel_talk_20004_01","","","1200420009","","21"
"1","104511","1","20042","10","現在要去的地方有從未見過\n的可怕魔物，與其對峙空花一定\n會受到前所未有的凌虐……♪","0","0","1200420010","0","11"
"","0","","20042","","","","","1200420011","","91"
"","104511","","20042","1","travel_topdrama_r_2000_idle_wish","0.2","","1200420012","","3"
"1","105311","travel_topdrama_r_2000_talk_doya_loop_sad","20042","0","travel_topdrama_r_2000_talk_doya_in_sad","0.2","","1200420013","","3"
"","vo_travel_talk","0","20042","0","vo_travel_talk_20004_02","","","1200420014","","21"
"1","105311","1","20042","10","啊，平常的妄想啊。\n整個白擔心了的感覺，\n拜託妳集中進行任務啊！","0","0","1200420015","0","11"
"","0","","20042","","","","","1200420016","","91"
"","105311","","20042","1","travel_topdrama_r_2000_idle_doya_sad","0.2","","1200420017","","3"
"","","","20042","","","","","1200420018","","112"
"","0","","20042","","","","","1200420019","","91"
"-68","1","-42","20051","101","100911","0.8","travel_topdrama_r_2000_idle_thinking","1200510001","0","1"
