f554f3ced25ff319e1d009d7db70579d6ec7c48c045c759d93b437e4fdd4f3c0,7ce41bb306b7ba939bacb1bc3f6fe175d89a17bccbab359b9dffe8a876166de7,da5104f5c74935ab739cda0178238a8b3d2b326348dd856eeefc26febdc6b7cc,1ea2e9185d9c2842fb65f5cfb604b906a654666c2dbabb4d05c261a1fa24f8a6,31eb6ac59105b0ffdf7d2269164dd0a21fd3ac335bc54ac78821a00c5d2b80f2,e2efedd156e4e1b8684cd22bef822450c24f954b19f05354e568cd9a14b5a5ed,37d544ddf09b21cab7fea70efa78553c7f8733f4f6ec6ed8cf0d8be1b93e20ca,2c54b52a2b34531e4a01a0d4c2d3b398edefe4e5cc6f11244c2d7bda6b4bcee8,67ccbca2b1820f2fe03a688bd67dfd872c22e40a38d2c4020c528bdab40601f9,36c6139326346352bcf28db575a80c3304e49e157faf08d82f4fb90e36d0b608
"1","1","10","12000","90001","0","90043","10000","30000","0"
"2","2","20","24000","90002","0","90047","10000","30000","0"
"3","3","20","24000","90002","0","90047","10000","30000","0"
"4","4","20","24000","90002","0","90047","10000","30000","0"
"5","5","20","24000","90002","0","90047","10000","30000","0"
"6","6","20","24000","90002","0","90047","10000","30000","0"
"7","7","20","24000","90002","0","90047","10000","30000","0"
"8","8","20","24000","90002","0","90047","10000","30000","0"
"9","9","20","24000","90002","0","90047","10000","30000","0"
"10","10","20","24000","90002","0","90047","10000","30000","1"
"11","11","40","48000","90003","90011","90051","10000","30000","2"
"12","12","40","48000","90003","90011","90051","10000","30000","3"
"13","13","40","48000","90003","90011","90051","10000","30000","4"
"14","14","40","48000","90003","90011","90051","10000","30000","5"
"15","15","40","48000","90003","90011","90051","10000","30000","6"
"16","16","40","48000","90003","90011","90051","10000","30000","7"
"17","17","40","48000","90003","90011","90051","10000","30000","8"
"18","18","40","48000","90003","90011","90051","10000","30000","9"
"19","19","40","48000","90003","90011","90051","10000","30000","10"
"20","20","40","48000","90003","90011","90051","10000","30000","11"
"21","21","60","72000","90004","90015","90055","10000","30000","12"
"22","22","60","72000","90004","90015","90055","10000","30000","13"
"23","23","60","72000","90004","90015","90055","10000","30000","14"
"24","24","60","72000","90004","90015","90055","10000","30000","15"
"25","25","60","72000","90004","90015","90055","10000","30000","16"
"26","26","60","72000","90004","90015","90055","10000","30000","17"
"27","27","60","72000","90004","90015","90055","10000","30000","18"
"28","28","60","72000","90004","90015","90055","10000","30000","19"
"29","29","60","72000","90004","90015","90055","10000","30000","20"
"30","30","60","72000","90004","90015","90055","10000","30000","21"
"31","31","80","96000","90005","90015","90059","10000","30000","22"
"32","32","80","96000","90005","90015","90059","10000","30000","23"
"33","33","80","96000","90005","90015","90059","10000","30000","24"
"34","34","80","96000","90005","90015","90059","10000","30000","25"
"35","35","80","96000","90005","90015","90059","10000","30000","26"
"36","36","80","96000","90005","90015","90059","10000","30000","27"
"37","37","80","96000","90005","90015","90059","10000","30000","28"
"38","38","80","96000","90005","90015","90059","10000","30000","29"
"39","39","80","96000","90005","90015","90059","10000","30000","30"
"40","40","80","96000","90005","90015","90059","10000","30000","31"
"41","41","120","144000","90005","90017","90063","10000","30000","33"
"42","42","120","144000","90005","90017","90063","10000","30000","35"
"43","43","120","144000","90005","90017","90063","10000","30000","37"
"44","44","120","144000","90005","90017","90063","10000","30000","39"
"45","45","120","144000","90005","90017","90063","10000","30000","41"
"46","46","120","144000","90005","90017","90063","10000","30000","43"
"47","47","120","144000","90005","90017","90063","10000","30000","45"
"48","48","120","144000","90005","90017","90063","10000","30000","47"
"49","49","120","144000","90005","90017","90063","10000","30000","49"
"50","50","120","144000","90005","90017","90063","10000","30000","51"
"51","51","150","180000","90006","90019","90067","10000","30000","53"
"52","52","150","180000","90006","90019","90067","10000","30000","55"
"53","53","150","180000","90006","90019","90067","10000","30000","57"
"54","54","150","180000","90006","90019","90067","10000","30000","59"
"55","55","150","180000","90006","90019","90067","10000","30000","61"
"56","56","150","180000","90006","90019","90067","10000","30000","63"
"57","57","150","180000","90006","90019","90067","10000","30000","65"
"58","58","150","180000","90006","90019","90067","10000","30000","67"
"59","59","150","180000","90006","90019","90067","10000","30000","69"
"60","60","150","180000","90006","90019","90067","10000","30000","71"
"61","61","180","216000","90007","90021","90071","10000","30000","74"
"62","62","180","216000","90007","90021","90071","10000","30000","77"
"63","63","180","216000","90007","90021","90071","10000","30000","80"
"64","64","180","216000","90007","90021","90071","10000","30000","83"
"65","65","180","216000","90007","90021","90071","10000","30000","86"
"66","66","180","216000","90007","90021","90071","10000","30000","89"
"67","67","180","216000","90007","90021","90071","10000","30000","92"
"68","68","180","216000","90007","90021","90071","10000","30000","95"
"69","69","180","216000","90007","90021","90071","10000","30000","98"
"70","70","180","216000","90007","90021","90071","10000","30000","101"
