b2d6b5d58084f75d47bc4062290eb6e003a174da2152073e9ad983a3b07499fc,a1b3728534c0343496716420936c38a8332bce2c0e2c1fded042697449b68c63,e159d5faca26629d6eabe330173fa136f7bcce6e19fcf5ff10444056ab2de831,36dee771f17b4d93c560e6101ba91ed19b066688ba7fa44f3c631213e038f554,f701443513e519baefb5cfa35acd1acf002d7b0391318058f38e5bec168e7d5d,d97c2ab90cf351b0e97c62601ce83ce544b8ef30dc67b5108dd50847ba25e3d9,df1ba7de71ef981256de6d9539a64d798c2bcfedd2a2a82c5922aad47da309af,32bf04d6e4b4399b2e27e568c3a60842b7b2b4537e45bb2799573292c346b1c5,6d0d5ffbab5df17b1c4aad3da0a170aa9c0ebf47468bde4e136d576df823281a,daa7ed83725948b809d2d47221f0c48a74b34ff698eb87daebdbdfd910ae1467,22fda9262b9b05fcf5673ace1559b953f156f1a3610218d60164fbacd90d863c,ba50e6020164e742b2e6bffcb3b11195ecccc15acf37cd4df6e1ed41afc389db
"0","0","100700101","0","1007001","1","0","4","0","0.8","1","0"
"vo_svd_0101","vo_svd","100700102","0","1007001","0","0","2","0","0","2","0"
"0","0","100700103","1","1007001","0","1.684","1","300","0","3","0"
"0","0","100700104","0","1007001","1","0","4","0","1.949","4","0"
"0","0","100700105","2","1007001","0","1.363","1","327","0","5","15"
"0","0","100700106","0","1007001","1","0","4","0","3.027","6","0"
"vo_svd_0102","vo_svd","100700107","0","1007001","0","0","2","0","0","7","0"
"0","0","100700108","3","1007001","0","1.69","1","441","0","8","0"
"0","0","100700109","0","1007001","1","0","4","0","1.7","9","0"
"0","0","100700110","4","1007001","0","1.446","1","478","0","10","0"
"0","0","100700111","0","1007001","1","0","4","0","1.722","11","0"
"0","0","100700112","5","1007001","0","1.245","1","478","0","12","0"
"0","0","100700113","0","1007001","1","0","4","0","0.417","13","0"
"0","0","100700114","5","1007001","0","0.864","1","478","0","14","478"
"0","0","100700115","0","1007001","1","0","4","0","2.482","15","0"
"vo_svd_0103","vo_svd","100700116","0","1007001","0","0","2","0","0","16","0"
"0","0","100700117","6","1007001","0","2.352","1","420","0","17","0"
"0","0","100700118","0","1007001","1","0","4","0","1.694","18","0"
"0","0","100700119","7","1007001","0","0.953","1","268","0","19","0"
"0","0","100700120","0","1007001","1","0","4","0","2.5","20","0"
"0","0","100700201","0","1007002","1","0","4","0","0.8","1","0"
"vo_svd_0201","vo_svd","100700202","0","1007002","0","0","2","0","0","2","0"
"0","0","100700203","1","1007002","0","0.865","1","237","0","3","0"
"0","0","100700204","0","1007002","1","0","4","0","1.516","4","0"
"0","0","100700205","2","1007002","0","1.013","1","314","0","5","0"
"0","0","100700206","0","1007002","1","0","4","0","0.973","6","0"
"0","0","100700207","2","1007002","0","0.755","1","314","0","7","314"
"0","0","100700208","0","1007002","1","0","4","0","2.018","8","0"
"vo_svd_0202","vo_svd","100700209","0","1007002","0","0","2","0","0","9","0"
"0","0","100700210","3","1007002","0","0.541","1","76","0","10","0"
"0","0","100700211","0","1007002","1","0","4","0","0.517","11","0"
"0","0","100700212","3","1007002","0","0.992","1","330","0","12","76"
"0","0","100700213","0","1007002","1","0","4","0","0.792","13","0"
"0","0","100700214","4","1007002","0","0.751","1","0","0","14","0"
"0","0","100700215","0","1007002","1","0","4","0","1.887","15","0"
"vo_svd_0203","vo_svd","100700216","0","1007002","0","0","2","0","0","16","0"
"0","0","100700217","4","1007002","0","1.482","1","160","0","17","0"
"0","0","100700218","0","1007002","1","0","4","0","0.858","18","0"
"0","0","100700219","4","1007002","0","1.255","1","268","0","19","160"
"0","0","100700220","0","1007002","1","0","4","0","2.752","20","0"
"vo_svd_0204","vo_svd","100700221","0","1007002","0","0","2","0","0","21","0"
"0","0","100700222","5","1007002","0","1.827","1","336","0","22","0"
"0","0","100700223","0","1007002","1","0","4","0","1.654","23","0"
"0","0","100700224","6","1007002","0","1.773","1","364","0","24","0"
"0","0","100700225","0","1007002","1","0","4","0","2.5","25","0"
"0","0","100700301","0","1007003","1","0","4","0","0.8","1","0"
"vo_svd_0301","vo_svd","100700302","0","1007003","0","0","2","0","0","2","0"
"0","0","100700303","1","1007003","0","1.205","1","232","0","3","0"
"0","0","100700304","0","1007003","1","0","4","0","1.739","4","0"
"0","0","100700305","1","1007003","0","1.278","1","355","0","5","232"
"0","0","100700306","0","1007003","1","0","4","0","0.687","6","0"
"0","0","100700307","2","1007003","0","0.735","1","0","0","7","0"
"0","0","100700308","0","1007003","1","0","4","0","2.357","8","0"
"vo_svd_0302","vo_svd","100700309","0","1007003","0","0","2","0","0","9","0"
"0","0","100700310","2","1007003","0","1.542","1","364","0","10","0"
"0","0","100700311","0","1007003","1","0","4","0","1.9","11","0"
"0","0","100700312","3","1007003","0","1.82","1","336","0","12","0"
"0","0","100700313","0","1007003","1","0","4","0","1.754","13","0"
"0","0","100700314","4","1007003","0","1.133","1","255","0","14","0"
"0","0","100700315","0","1007003","1","0","4","0","2.697","15","0"
"vo_svd_0303","vo_svd","100700316","0","1007003","0","0","2","0","0","16","0"
"0","0","100700317","5","1007003","0","1.827","1","336","0","17","0"
"0","0","100700318","0","1007003","1","0","4","0","2.182","18","0"
"0","0","100700319","6","1007003","0","1.186","1","275","0","19","0"
"0","0","100700320","0","1007003","1","0","4","0","2.842","20","0"
"vo_svd_0304","vo_svd","100700321","0","1007003","0","0","2","0","0","21","0"
"0","0","100700322","7","1007003","0","2.067","1","336","0","22","0"
"0","0","100700323","0","1007003","1","0","4","0","1.844","23","0"
"0","0","100700324","8","1007003","0","2.068","1","364","0","24","0"
"0","0","100700325","0","1007003","1","0","4","0","2.5","25","0"
"0","0","100700401","0","1007004","1","0","4","0","0.8","1","0"
"vo_svd_0401","vo_svd","100700402","0","1007004","0","0","2","0","0","2","0"
"0","0","100700403","1","1007004","0","1.105","1","180","0","3","0"
"0","0","100700404","0","1007004","1","0","4","0","1.504","4","0"
"0","0","100700405","1","1007004","0","0.62","1","313","0","5","180"
"0","0","100700406","0","1007004","1","0","4","0","0.554","6","0"
"0","0","100700407","2","1007004","0","0.728","1","122","0","7","0"
"0","0","100700408","0","1007004","1","0","4","0","2.154","8","0"
"vo_svd_0402","vo_svd","100700409","0","1007004","0","0","2","0","0","9","0"
"0","0","100700410","2","1007004","0","1.051","1","334","0","10","122"
"0","0","100700411","0","1007004","1","0","4","0","0.915","11","0"
"0","0","100700412","3","1007004","0","0.927","1","91","0","12","0"
"0","0","100700413","0","1007004","1","0","4","0","1.701","13","0"
"0","0","100700414","3","1007004","0","0.905","1","360","0","14","91"
"0","0","100700415","0","1007004","1","0","4","0","0.816","15","0"
"0","0","100700416","4","1007004","0","1.249","1","329","0","16","0"
"0","0","100700417","0","1007004","1","0","4","0","1.252","17","0"
"0","0","100700418","5","1007004","0","0.987","1","268","0","18","0"
"0","0","100700419","0","1007004","1","0","4","0","2.864","19","0"
"vo_svd_0403","vo_svd","100700420","0","1007004","0","0","2","0","0","20","0"
"0","0","100700421","6","1007004","0","2.056","1","336","0","21","0"
"0","0","100700422","0","1007004","1","0","4","0","1.844","22","0"
"0","0","100700423","7","1007004","0","1.963","1","364","0","23","0"
"0","0","100700424","0","1007004","1","0","4","0","2.5","24","0"
"0","0","100700501","0","1007005","1","0","4","0","0.8","1","0"
