bc75ff0a184529e826d9e3ad2e20851df2640b2179ec9d83a375537e37c18ad3,5e62f4b7ea2879796804754de40147578207ff3549d2cd48667fd942d2d4fba1,715f2788098e0f45c1597eca47ffdfee89198a1dba799ae1955d8f3d469d3351,2e335a99f4d385c99f3738439b40c07f1b5b3836d254b11cdbe68a9efe2b794d,67d8a5c8f5281cea013f3035844eb2df6fffe91f6f1b12cf8a74738ef37d2902,620830bb94df65735fd50a6608d91ee11eac33728931df823a23d3eba0a59c83,9234f306f100cef50936772c0f4add6c7b284421d2c2a3be2621ecec404e7b70,246aac42eaf554dbe983354c7206b2a671902c9df24fa0882f7e5579355d0958
"3050100","1","1","1","24","0","0","10101020"
"4010200","2","2","1","24","0","0","0"
"3030200","3","3","1","24","0","0","10401020"
"3050200","4","4","1","24","0","0","10401020"
"3040200","5","5","1","24","0","0","10401020"
"3020200","6","6","1","24","0","0","10401020"
"4010300","7","7","1","24","0","0","0"
"3030100","101","8","1","24","0","0","10101020"
"3010201","102","9","1","24","0","0","0"
"3020201","103","10","1","24","0","0","0"
"3010301","104","11","1","24","0","0","0"
"3030301","105","12","1","24","0","0","0"
"3040301","106","13","1","24","0","0","0"
"3050301","107","14","1","24","0","0","0"
"3020301","108","15","1","24","0","0","0"
"3030300","109","16","1","24","0","0","10401050"
"3040300","110","17","1","24","0","0","10401050"
"3050300","111","18","1","24","0","0","10401050"
"3020300","112","19","1","24","0","0","10401050"
"3010100","201","20","1","24","0","0","10101020"
"3020100","202","21","1","24","0","0","10101020"
"3030100","203","22","1","24","0","0","10101020"
"3040100","204","23","1","24","0","0","10101020"
"3050100","205","24","1","24","0","0","10101020"
"3010200","206","25","1","24","0","0","10101020"
"3020200","207","26","1","24","0","0","10101020"
"3030200","208","27","1","24","0","0","10101020"
"3040200","209","28","1","24","0","0","10101020"
"3050200","210","29","1","24","0","0","10101020"
"1010301","401","30","1","24","112","0","0"
"1020301","402","31","1","24","203","0","0"
"1030301","403","32","1","24","306","0","0"
"1040301","404","33","1","24","401","0","0"
"1050301","405","34","1","24","508","0","0"
"1020301","406","35","1","24","209","0","20101050"
"1030301","407","36","1","24","306","0","20101050"
"1040301","408","37","1","24","407","0","20101050"
"1050301","409","38","1","24","501","0","20101050"
"0","600","39","1","15","0","11001337","0"
"0","600","40","150","8","0","91002","0"
"0","700","41","1","15","0","11001338","0"
"0","799","42","150","8","0","91002","0"
"0","800","43","1","15","0","11001339","0"
"0","999","44","1","24","0","0","0"
