26f79c81152c97eff1518f7a54fe4713fc0888c7ae69cffcf7c6cf1cdb6789bc,69645ae72ff3ec73bfca94ffbb1d465928b10e35d5009661bbecd8e617130a72,cdac40fbd3b700ccf2a8904f44d5ef716c19cd7a5192635b69c275a7b57ad1c0,a9f8cf27b02689040eb1d9ceb1983792820d75283baa043abfb4013378e023b9,3a36637da304eb5692951d2300de2fd76292c9d607647ddcc1e052b731da53fc,ba33c1d1e508ec2ee9d4e2768f292a5c6c41b835e59ac7e1f59bd363106943ad,10b363f8f3ef439312c4fec8d4c5337a98e8f9e8c6fd4a6601e2196d96bc35fe,4996bc1f0cddbc08571fd687d6fc07fcad0533c0b052414eaed26bb50db5f6e0
"0","1","0","0","0","0","1","0"
"0","2","0","0","0","0","2","0"
"0","3","0","0","0","0","3","0"
"0","4","0","0","0","0","4","0"
"0","5","0","0","0","0","5","0"
"0","6","0","0","0","0","6","0"
"0","7","0","0","0","0","7","0"
"0","8","0","0","0","0","8","0"
"0","9","0","0","1","0","0","0"
"0","10","0","1","0","0","0","0"
"0","11","0","0","0","0","11","0"
"0","12","0","0","0","0","12","0"
"0","13","1","0","0","0","0","0"
"0","14","0","0","0","0","0","0"
"0","15","0","0","0","0","0","0"
"0","16","0","0","0","0","0","1"
"10056","17","0","0","0","0","0","0"
"0","18","0","0","0","0","0","0"
"0","19","0","0","0","0","19","0"
"10061","20","0","0","0","0","0","0"
"0","21","0","0","0","0","0","0"
"0","22","0","0","0","0","0","0"
"0","23","0","0","0","23","0","0"
"0","24","0","0","0","0","0","0"
"0","25","0","0","0","0","25","0"
"10088","26","0","0","0","0","0","0"
"10102","27","0","0","0","0","0","0"
"0","28","0","0","0","0","28","0"
"30001","29","0","0","0","0","0","0"
"0","30","0","0","0","0","30","0"
