9b6c0bcb59a334ed5fa08987de03346e760c158236c55e40094e39a2f1e930b7,1d0ef7e8fbd3747933fd1ed43f241b8fd69ee70f3ded49d7791d6ad0304fc440,5f64144b8beba84c41c1d918bb80fa812e5d667b89159071d30dd866bdb20736,f0f2ecaf916e1c05cda0d38e7fc2825e669893825f3cc9ef80c5f01d292f8816,44a11f288b225389a6eb75ea3de78a6d9e90e96ec00983a046c4aa7446439ee1,e3b004029f2c209bd246a0bb071876d4199baf764d9ce8797971ab371832c2e5,068dcb82d6752e9c64ac1d08a75eb73c3338389f676f6ea5b9fdd8a71ddbd9e0,a4e677e07e45a2b9389f2a91c7b5266e6bd766f8a6faf13b8f8b925fa28de80b,91942961f34e2e16d12696a18d7a2012b9790cff9afc05e768257e1469d55ed9,66fb4bff8a2b8f5d1fe20013830fdb8e666bee12c1aadc19e717652665d7f784,f5bfee6a2491732b8919fa5a3a7b208e3d443914c370cc156c6dd74d2004cdd5
"100","5","1","1","1","1.4","idle_normal","-216","1","1001","-103"
"-57","31","13","","1","0","","-140","13","1002","1"
"-57","31","14","","1","0","","-140","14","1003","1"
"","91","0","","1","","","","0","1004",""
"0","3","1","0","1","0.2","","top_luis_arm_crossed_idle","top_luis_arm_crossed_in","1005","1"
"","93","4","","1","","","","0","1006",""
"0","3","1","0","1","0.2","","top_luis_approach_idle","top_luis_approach_in","1007","1"
"","93","3.5","","1","","","","0","1008",""
"1","3","1","","1","0.2","","","top_luis_thinking","1009",""
"","93","3.5","","1","","","","0","1010",""
"1","3","1","","1","0.2","","","top_luis_walk_think","1011",""
"-103","2","1","","1","","","2","-495","1012","0"
"","93","2","","1","","","","0","1013",""
"","4","1","","1","","","","0","1014",""
"-103","2","1","","1","","","2","-216","1015","0"
"","93","2","","1","","","","0","1016",""
"1","3","1","","1","0","","","top_luis_notice","1017",""
"","93","1","","1","","","","0","1018",""
"1","3","1","","1","0.2","","","top_luis_walk_jog","1019",""
"-130","2","1","","1","","","0.5","-100","1020","0"
"","93","0.5","","1","","","","0","1021",""
"","4","1","","1","","","","1","1022",""
"0","3","1","0","1","0.2","","top_luis_sit_idle","top_luis_sit_in","1023","1"
"","93","0.1","","1","","","","0","1024",""
"-140","2","1","","1","","","0.4","-57","1025","0"
"","93","1","","1","","","","0","1026",""
"0","3","1","","1","0.2","","","top_luis_experiment_failer_in","1027",""
"","93","2.3","","1","","","","0","1028",""
"0","3","1","","1","0.1","","","top_luis_experiment_failer_mix","1029",""
"","93","2.7","","1","","","","0","1030",""
"","32","13","","1","","","","1","1031",""
"0","3","1","","1","0.1","","","top_luis_experiment_failer_burst","1032",""
"","93","2.7","","1","","","","0","1033",""
"0","3","1","","1","0.1","","","top_luis_experiment_failer_out","1034",""
"","93","1.1","","1","","","","0","1035",""
"0","3","1","0","1","0.2","","idle_normal","top_luis_sit_out","1036","1"
"-130","2","1","","1","","","0.3","-100","1037","0"
"","93","1","","1","","","","0","1038",""
"0","3","1","","1","0.2","","","walk_normal","1039",""
"-103","2","1","","1","","","1","-216","1040","0"
"","93","1","","1","","","","0","1041",""
"0","3","1","","1","0.1","","","idle_normal","1042",""
