7700fc17da38509b4f2f76ff91743948706ef1a5049426f6491090dfd2693804,70eb65f39759f21ece3220f3b2b3630ad0aa863950f55535e5aaedd7f35b694e,0b4de59746f11d1ea717639ece08231d51012f052edca7d3bd941debb426b35f,9bee796f83883ceb4f6f0979f3b60ae67b89a110780502f7a80b2b05369a0539,d42f21390ffdcaff46d49875a90cc2bcbb61edd72ea949636ab714a46fe5ad1d,e7c53c6f2cfb835297470031c5f7699c0666c5f2618d00822e5f5e36f8f17424
"1","1","150","0","150","10"
"2","1","250","0","400","10"
"3","1","400","0","800","10"
"1","2","150","0","150","20"
"2","2","250","0","400","20"
"3","2","400","0","800","20"
"4","2","500","1","1300","20"
"1","3","800","0","800","30"
"2","3","1000","0","1800","30"
"3","3","1200","0","3000","30"
"4","3","1400","1","4400","30"
"5","3","1600","2","6000","30"
"1","4","800","0","800","40"
"2","4","1000","0","1800","40"
"3","4","1200","0","3000","40"
"4","4","1400","1","4400","40"
"5","4","1600","2","6000","40"
