d0c476e9287baa3e7750ccb7e5a7272aac62985b8e90be583b280c3ac82fd22f,332937b063c8b52acbefe81ef494f053b497d7003617b779cfc4b94a1072b14d,3121615ad72b423c60e52e85e8ad98f6e292e4bfbe062b348a3088d25be827fe,9f605cace9ceb606578ee972b35a88450baed61235bee71f80266c7b9e4cd76b,fe82ec74c0ab8013ac78e0e8991b3741ceebbbfafdc1d77aef897e4f8bed9d06,7f4794d13de17cf54759e65f4359f94802351a9d7b727a6c37a3642b44664ebe,50c385f6fb388d4cf83f99b05644eb933cb471fd59d7ac6c62fe6931106ba159,23b35a0aa9e65c32c7f3fdb0120f7ac773c1fa7d29a66deca043632ecab6de83,80b5f4254b79cf9c20469f133f58a824b71627e1230c950fce4b72e8e1d42a27,e5c7ec119d5e1b83676dd502a15157855db5404eeda8ac0e610af24ddecf9861,8ce53b1556f20ee251b5854133a1f64430871b85f876297cc4f4ac301d318492,7a7f2f5c59cd753c970f60d658f2f7ede8b101ca5a695b7ec0463b2ed83ea893,f5cbb8c6b6f9d1bed870de8546bf88b7dbf3e7817808cffddbf334d7a5ee896a,556cc0d8aaec171037b8b705bcfa2bb32600dfc876da484181068970851bcaa4
"100","24","129901","1","惠理子","恭喜你們，訓練成功。\n在該誇獎時，好好地誇獎，\n也是教官的職責。還是說，\n你們比較喜歡被痛罵呢？嘻嘻。","100","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","10.85","7","10142"
"101","24","129901","1","惠理子","就算是嚴苛的訓練，結束後回顧，\n還是會覺得時光稍縱即逝呢。\n坦白說，我甚至鬧得不夠盡興……\n沒事，沒什麼。嘻嘻。","101","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","11.15","2","10142"
"102","24","129901","7","惠理子","將擋住去路的可恨礙事者全部擊垮，\n漂亮地抵達終點……！\n簡直就是象徵我與那位大人的\n人生路途……","102","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","6.4","5","10142"
"103","24","129901","3","惠理子","這結果太令人失望了。\n但是，還有挽回的機會。\n為了擺脫垃圾蟲的地位，\n你們下次要拚死努力。聽到了嗎？","103","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","0","3","10142"
"104","24","129901","2","惠理子","嘻嘻……啊，您毋須擔心，\n我只是在思考要給予\n留下這種難看成績的傢伙們\n什麼樣的處罰才適合……嘻嘻嘻。","104","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","2.43","8","10142"
"105","24","129901","4","惠理子","要是我沒能以教官的身分得到認可，\n就會讓那位大人感到失望……\n唯獨這件事絕對不能發生，\n你們也很清楚吧？","105","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","9.08","3","10142"
"106","24","129901","6","惠理子","雖然這結果不算差，\n但要是這點程度就感到滿足，\n那可傷腦筋了。身為惠理子班的一員，\n你們還得以更高的境界為目標才行。","106","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","0","6","10142"
"107","24","129901","3","惠理子","接受我的指導，卻交出這種結果……\n我得更認真思考才行呢。\n思考如要讓你們時刻不敢懈怠，\n需要什麼樣的管教……嘻嘻。","107","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","10.6","8","10142"
"108","24","129901","6","惠理子","要因完成訓練而獎勵，\n還是因沒能完全發揮實力而懲罰……\n這樣的結果該如何處置各位，\n讓我有些傷腦筋呢。","108","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","7.54","4","10142"
"109","24","129901","2","惠理子","剛才的奮戰英姿值得誇讚。\n這也是你們的努力，\n與我這位優秀教官的教育結果。\n是吧？嘻嘻嘻……","109","2024/08/01 16:00:00","2030/12/17 14:59:59","0","0","11.5","7","10142"
