26e975be049021f249df9ce6c98b68d7fb846a33a4d47fe176db828d1af928c0,61944e86aafa01eae106749344fcf108acd9c2a59ab5397c1b11c940fd22d75d,e7636b7b55755971bdb9891b715a8610920fb82276a281c5e2ef4b989fffc50a,b715597a67293ce58b09bc14d9a937a65b7890772ffcde67da4b9321ed890b37,433549dc28156201e9a37428f1ddb511f1aa56c6e4e25801cace426df4915b9e,0f1e117429d98b7fbeb17a1bd23e866b6a2e75c92dc95b9d603972f8078a0749,2080b5959c6a343a78fda5b334aa42f9c4444757ee4f783fa116070ca65f4570,693097c25575a3d0a160efcedae3b43f8d122c3b8991784e535c8e78f5be086d,a4d12acdb120488cd141ec60d4aaaab2531e15cf641dc0c4c564843f96063a7e,a980c7ef4d8fb6eaec7de51e3ba521fb8d5fee88265775edc61a52667bb22cdc,5ea2767b57a32f283fde5a7a086892ab9e7630491408be58e8f9accd2d28e998
"1","-194","40","1","1001","1.65","1","1","sjr_talk_idle","100","122611"
"1","","","3","1002","0.2","","122611","","1","sjr_talk_wish_look"
"1","","0","21","1003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_001"
"1","0","1","11","1004","0","0","122611","1","10","騎士先生……\n要看著我喔。\n我會努力\n奔跑的……！"
"1","","","91","1005","","","0","","",""
"1","","","3","1006","0.2","","122611","","1","sjr_talk_idle"
"2","-194","40","1","2001","1.65","1","1","sjr_talk_idle","100","122611"
"2","","","3","2002","0.2","","122611","","1","sjr_talk_mouth_hidden_shy"
"2","","0","21","2003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_002"
"2","0","1","11","2004","0","0","122611","1","5","要穿著泳衣跑……？\n唔唔……好害羞……\n要是脫落怎麼辦……"
"2","","","91","2005","","","0","","",""
"2","","","3","2006","0.2","","122611","","1","sjr_talk_idle"
"3","-194","40","1","3001","1.65","1","1","sjr_talk_idle","100","122611"
"3","1","sjr_talk_stepback_worry","3","3002","0.2","0","122611","","0","sjr_talk_stepback_surprise_worry"
"3","","0","21","3003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_003"
"3","0","1","11","3004","0","0","122611","1","7","那個人的速度\n好像很快……！\n我贏得了嗎……？"
"3","","","91","3005","","","0","","",""
"3","","","3","3006","0.2","","122611","","1","sjr_talk_idle"
"4","-194","40","1","4001","1.65","1","1","sjr_talk_idle","100","122611"
"4","","","3","4002","0.2","","122611","","1","sjr_talk_thinking_surprise"
"4","","0","21","4003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_004"
"4","0","1","11","4004","0","0","122611","1","5","有很多奇特的\n路線呢。\n要選哪個呢……？"
"4","","","91","4005","","","0","","",""
"4","","","3","4006","0.2","","122611","","1","sjr_talk_idle"
"5","-194","40","1","5001","1.65","1","1","sjr_talk_idle","100","122611"
"5","1","sjr_talk_guts2_anger_loop","3","5002","0.2","0","122611","","0","sjr_talk_guts2_anger"
"5","","0","21","5003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_005"
"5","0","1","11","5004","0","0","122611","1","6","怜與\n日和……\n為了不輸給她們，\n我也會盡全力的……！"
"5","","","91","5005","","","0","","",""
"5","","","3","5006","0.2","","122611","","1","sjr_talk_idle"
"6","-194","40","1","6001","1.65","1","1","sjr_talk_idle","100","122511"
"6","1","sjr_talk_arm_crossed_look_loop","3","6002","0.2","0","122511","","0","sjr_talk_arm_crossed_joy_look"
"6","","0","21","6003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_006"
"6","0","1","11","6004","0","0","122511","1","5","像這樣彼此競賽\n很不錯呢。\n也麻煩你\n替我加油囉。"
"6","","","91","6005","","","0","","",""
"6","","","3","6006","0.2","","122511","","1","sjr_talk_idle"
"7","-194","40","1","7001","1.65","1","1","sjr_talk_idle","100","122511"
"7","","","3","7002","0.2","","122511","","1","sjr_talk_mouth_hidden2_shy"
"7","","0","21","7003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_007"
"7","0","1","11","7004","0","0","122511","1","4","穿這樣跑\n好羞恥啊……\n別盯著我看……"
"7","","","91","7005","","","0","","",""
"7","","","3","7006","0.2","","122511","","1","sjr_talk_idle"
"8","-194","40","1","8001","1.65","1","1","sjr_talk_idle","100","122511"
"8","","","3","8002","0.2","","122511","","1","sjr_talk_mouth_hidden"
"8","","0","21","8003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_008"
"8","0","1","11","8004","0","0","122511","1","5","哦，看來強者\n雲集啊。\n這下我也得\n使出全力了……！"
"8","","","91","8005","","","0","","",""
"8","","","3","8006","0.2","","122511","","1","sjr_talk_idle"
"9","-194","40","1","9001","1.65","1","1","sjr_talk_idle","100","122511"
"9","","","3","9002","0.2","","122511","","1","sjr_talk_stepback_surprise"
"9","","0","21","9003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_009"
"9","0","1","11","9004","0","0","122511","1","5","路線中有障礙物\n與魔物……？\n沙灘搶旗\n是這樣的比賽嗎？"
"9","","","91","9005","","","0","","",""
"9","","","3","9006","0.2","","122511","","1","sjr_talk_idle"
"10","-194","40","1","10001","1.65","1","1","sjr_talk_idle","100","122511"
"10","","","3","10002","0.2","","122511","","1","sjr_talk_thinking_blink"
"10","","0","21","10003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_010"
"10","0","1","11","10004","0","0","122511","1","4","優衣不要緊吧？\n雖然日和好像\n很高興……\n不，得相信她們呢。"
"10","","","91","10005","","","0","","",""
"10","","","3","10006","0.2","","122511","","1","sjr_talk_idle"
"11","-194","40","1","11001","1.65","1","1","sjr_talk_idle","100","122411"
"11","1","sjr_talk_eieio_loop","3","11002","0.2","0","122411","","0","sjr_talk_eieio"
"11","","0","21","11003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_011"
"11","0","1","11","11004","0","0","122411","1","5","暖身運動也很完美！\n我會第一個\n搶到的──！"
"11","","","91","11005","","","0","","",""
"11","","","3","11006","0.2","","122411","","1","sjr_talk_idle"
"12","-194","40","1","12001","1.65","1","1","sjr_talk_idle","100","122411"
"12","","","3","12002","0.2","","122411","","1","sjr_talk_arm_opened_wink"
"12","","0","21","12003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_012"
"12","0","1","11","12004","0","0","122411","1","6","欸嘿嘿──！\n穿泳裝方便活動，\n不錯呢──！\n進入狀況囉──！"
"12","","","91","12005","","","0","","",""
"12","","","3","12006","0.2","","122411","","1","sjr_talk_idle"
"13","-194","40","1","13001","1.65","1","1","sjr_talk_idle","100","122411"
"13","1","sjr_talk_doya_loop","3","13002","0.2","0","122411","","0","sjr_talk_doya"
"13","","0","21","13003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_013"
"13","0","1","11","13004","0","0","122411","1","8","啊，發現\n有困難的人！\n有困難的時候就要\n互相幫助幫助♪"
"13","","","91","13005","","","0","","",""
"13","","","3","13006","0.2","","122411","","1","sjr_talk_idle"
"14","-194","40","1","14001","1.65","1","1","sjr_talk_idle","100","122411"
"14","1","sjr_talk_swing_joy","3","14002","0.2","0","122411","","0","sjr_talk_watch_arm_opened"
"14","","0","21","14003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_014"
"14","0","1","11","14004","0","0","122411","1","6","要跑哪條路線呢──♪\n好像都很有趣～！\n我躍躍欲試了──！"
"14","","","91","14005","","","0","","",""
"14","","","3","14006","0.2","","122411","","1","sjr_talk_idle"
"15","-194","40","1","15001","1.65","1","1","sjr_talk_idle","100","122411"
"15","","","3","15002","0.2","","122411","","1","sjr_talk_wish_doya"
"15","","0","21","15003","","","vo_minigame_1010","","0","vo_minigame_1010_top_talk_1_015"
"15","0","1","11","15004","0","0","122411","1","5","好想和優衣與怜\n她們兩人一起\n競爭呢！"
"15","","","91","15005","","","0","","",""
"15","","","3","15006","0.2","","122411","","1","sjr_talk_idle"
"16","-194","72","1","16001","1.65","1","1","sjr_talk_idle","100","122611"
"16","-194","-72","1","16002","1.65","0","1","sjr_talk_idle","100","122511"
"16","","","3","16003","0.2","","122611","","1","sjr_talk_wish_doya"
