1b80670aa9a6afd8230ff67dbaf175d5a60e9c89328cbf3bb199edb12f06463d,a339dd412d3e4197679f673f96921492c8800a0c81f59eaf65baab0562f7ec41,338165b1f017c8d2c384e0a86cab413c0363ba9248bc161e21e3b890f6870189,0032addef231c4c0c6f9cda3cbb67036a43dd13f17c4567d27a89e0a22e7b08d,619fcd3745a3a5ed98777d93147140dc9fec2d5ca60492d69970c9b31ff7e33b,ab832198799a6d8228c2697c4d31d9285d219f03e194a7dc0c7978d4a4a4c605,f8afd4092a493f7002badbdcec0d9ef891a59f63f89f798c4c19665185fd4d31,30ab6c8a46baa1af70dd3aa6ea60267adae3c952236682ad82505b5f6effdf65
"2","3","104","1","111","5","4","200"
"2","3","14","1","211","5","4","2"
"2","3","103","1","311","5","4","2"
"2","3","102","1","411","5","4","2"
"2","3","104","1","511","5","4","200"
"2","3","1","1","611","5","4","250"
"2","3","101","1","711","5","4","3"
"2","3","100","1","811","5","4","3"
"2","3","104","1","911","5","4","200"
"2","3","1","1","1011","5","4","250"
"2","3","3","1","1111","5","4","250"
"2","3","5","1","1112","5","4","250"
"2","3","6","1","1211","5","4","150"
"2","3","7","1","1212","5","4","150"
"2","3","104","1","1311","5","4","200"
"2","3","103","1","1411","5","4","2"
"2","3","102","1","1511","5","4","2"
"2","3","1","1","1611","5","4","250"
"2","3","104","1","1711","5","4","200"
"2","3","2","1","1811","5","4","500"
"2","3","4","1","1812","5","4","500"
"2","3","101","1","1911","5","4","3"
"2","3","100","1","2011","5","4","3"
"2","3","104","1","2111","5","4","200"
"2","3","1","1","2211","5","4","250"
"2","3","100","1","2311","5","4","3"
"2","3","101","1","2411","5","4","3"
"2","3","104","1","2511","5","4","200"
"2","3","2","1","2611","5","4","500"
"2","3","4","1","2612","5","4","500"
"2","3","6","1","2711","5","4","150"
"2","3","7","1","2712","5","4","150"
"2","3","2","1","2811","5","4","500"
"2","3","4","1","2812","5","4","500"
"2","3","104","1","2911","5","4","200"
"2","3","3","1","3011","5","4","250"
"2","3","5","1","3012","5","4","250"
"2","3","100","1","3111","5","4","3"
"2","3","101","1","3211","5","4","3"
"2","3","104","1","3311","5","4","200"
"2","3","100","1","3411","5","4","2"
"2","3","104","1","3511","5","4","200"
"2","3","103","1","3611","5","4","1"
"2","3","102","1","3711","5","4","1"
"2","3","2","1","3811","5","4","250"
"2","3","4","1","3812","5","4","250"
"2","3","102","1","3911","5","4","1"
"2","3","104","1","4011","5","4","200"
"2","3","100","1","4111","5","4","2"
"2","3","6","1","4211","5","4","150"
"2","3","7","1","4212","5","4","150"
"2","3","104","1","4311","5","4","200"
"2","3","103","1","4411","5","4","1"
"2","3","104","1","4511","5","4","200"
"2","3","101","1","4611","5","4","2"
"2","3","102","1","4711","5","4","1"
"2","3","104","1","4811","5","4","200"
"2","3","103","1","4911","5","4","1"
"2","3","104","1","5011","5","4","200"
"2","3","101","1","5111","5","4","2"
"2","3","102","1","5211","5","4","1"
"2","3","104","1","5311","5","4","200"
"2","3","6","1","5411","5","4","150"
"2","3","7","1","5412","5","4","150"
"2","3","103","1","5511","5","4","1"
"2","3","104","1","5611","5","4","200"
"2","3","100","1","5711","5","4","2"
"2","3","101","1","5811","5","4","2"
"2","3","103","1","5911","5","4","1"
"2","3","104","1","6011","5","4","200"
"2","3","102","1","6111","5","4","1"
"2","3","2","1","6211","5","4","250"
"2","3","4","1","6212","5","4","250"
"2","3","104","1","6311","5","4","200"
"2","3","103","1","6411","5","4","1"
"2","3","102","1","6511","5","4","1"
"2","3","104","1","6611","5","4","200"
