6638a7a6a590a5f98f7999e4530f76f0a5663c41595bd6062371c4b1a59d77bd,a9633935a1767476ff91bb40f7a7dce2bd656c0af77b77b9b83598501d191144,b3bc8d56e12f3da257eba424248f5c808057bf54b77e8cfb9bdade40b1eea2bb,e71b6060fec974356ae84c87d5dde0958aecaf30c846858b305e63311eeb8693,3cea14a56292353f4a3dabc15807e789e1a53869e4c6e8a7ca1d2163663e8f1a,7d56417d405e1d30d196f91f4d9d84e66775b9b6db349061ac92ec52980ee3fd,9881efcef74e31c7eae03fd48e4e695cf9c1e64b4457a26979a5fa758346e0a8
"1007001","0","0","0","20039101","10070","圖畫日記之1"
"1007002","0","1007001","0","20039101","10070","圖畫日記之2"
"1007003","0","1007002","0","20039103","10070","圖畫日記之3"
"1007004","0","1007003","0","20039106","10070","圖畫日記之4"
"1007005","0","1007004","0","20039107","10070","圖畫日記之5"
"1007006","0","1007005","0","20039110","10070","圖畫日記之6"
"1007007","0","1007006","0","20039112","10070","圖畫日記之7"
"1007008","0","1007007","2003901","0","10070","圖畫日記之8"
"1007009","0","1007007","2003901","0","10070","惠理子的圖畫日記"
"1007010","0","1007007","2003901","0","10070","靜流的圖畫日記"
"1007011","2021/11/15 16:00:00","0","0","20039101","10070","圖畫日記之1(批閱)"
"1007012","2021/11/15 16:00:00","0","0","20039101","10070","圖畫日記之2(批閱)"
"1007013","2021/11/15 16:00:00","0","0","20039103","10070","圖畫日記之3(批閱)"
"1007014","2021/11/15 16:00:00","0","0","20039106","10070","圖畫日記之4(批閱)"
"1007015","2021/11/15 16:00:00","0","0","20039107","10070","圖畫日記之5(批閱)"
"1007016","2021/11/15 16:00:00","0","0","20039110","10070","圖畫日記之6(批閱)"
"1007017","2021/11/15 16:00:00","0","0","20039112","10070","圖畫日記之7(批閱)"
"1007018","2021/11/15 16:00:00","0","2003901","0","10070","圖畫日記之8(批閱)"
"1007019","2021/11/15 16:00:00","0","2003901","0","10070","惠理子的圖畫日記(批閱)"
"1007020","2021/11/15 16:00:00","0","2003901","0","10070","靜流的圖畫日記(批閱)"
