686df2b3f532e9799e5c700d4a81eb6a68ed6da677dac420a18bdede76cefec4,b846fec3ab744660e4360b54fc05a59fc3e614fdc030af237fc6ee5083488052,5f8d895cd95d4630eaf9131026de4a197d49300d641ca57f9c098c18bb040417,4f3334d9afe3c304dd434dae76e5589242a7d2c895b0dbfa17703ecbc7ab1893,40d1735c4b3f60b80b09ad8986591d98ebaa0dfd4292051fe08c08608afb057c,339ea6afbf176e5a57083bee02d87fcaaf9d2b10b287ce482dbdcc1f5d5a4b52
"10","500","10","1","1","2"
"20","500","10","1","1","3"
"30","500","10","1","1","4"
"40","500","10","1","1","5"
"50","500","10","1","1","6"
"60","500","10","1","1","7"
"70","500","10","1","1","8"
"80","500","10","1","1","9"
"90","500","10","1","1","10"
"105","500","15","1","1","11"
"120","500","15","1","1","12"
"135","500","15","1","1","13"
"150","500","15","1","1","14"
"165","500","15","1","1","15"
"180","500","15","1","1","16"
"195","500","15","1","1","17"
"210","500","15","1","1","18"
"225","500","15","1","1","19"
"240","500","15","1","1","20"
"265","500","25","1","1","21"
"290","500","25","1","1","22"
"315","500","25","1","1","23"
"340","500","25","1","1","24"
"365","500","25","1","1","25"
"390","500","25","1","1","26"
"415","500","25","1","1","27"
"440","500","25","1","1","28"
"465","500","25","1","1","29"
"490","500","25","1","1","30"
"530","500","40","1","2","31"
"570","500","40","1","2","32"
"610","500","40","1","2","33"
"650","500","40","1","2","34"
"690","500","40","1","2","35"
"730","500","40","1","2","36"
"770","500","40","1","2","37"
"810","500","40","1","2","38"
"850","500","40","1","2","39"
"890","500","40","1","2","40"
"940","500","50","1","2","41"
"990","500","50","1","2","42"
"1040","500","50","1","2","43"
"1090","500","50","1","2","44"
"1140","500","50","1","2","45"
"1190","500","50","1","2","46"
"1240","500","50","1","2","47"
"1290","500","50","1","2","48"
"1340","500","50","1","2","49"
"1390","500","50","1","2","50"
"1450","500","60","1","3","51"
"1510","500","60","1","3","52"
"1570","500","60","1","3","53"
"1630","500","60","1","3","54"
"1690","500","60","1","3","55"
"1750","500","60","1","3","56"
"1810","500","60","1","3","57"
"1870","500","60","1","3","58"
"1930","500","60","1","3","59"
"1990","500","60","1","3","60"
"2065","600","75","1","3","61"
"2140","600","75","1","3","62"
"2215","600","75","1","3","63"
"2290","600","75","1","3","64"
"2365","600","75","1","3","65"
"2440","600","75","1","3","66"
"2515","600","75","1","3","67"
"2590","600","75","1","3","68"
"2665","600","75","1","3","69"
"2740","600","75","1","3","70"
"2840","600","100","1","4","71"
"2940","600","100","1","4","72"
"3040","600","100","1","4","73"
"3140","600","100","1","4","74"
"3240","600","100","1","4","75"
"3340","600","100","1","4","76"
"3440","600","100","1","4","77"
"3540","600","100","1","4","78"
"3640","600","100","1","4","79"
"3740","600","100","1","4","80"
"3865","600","125","1","4","81"
"3990","600","125","1","4","82"
"4115","600","125","1","4","83"
"4240","600","125","1","4","84"
"4365","600","125","1","4","85"
"4490","600","125","1","4","86"
"4615","600","125","1","4","87"
"4740","600","125","1","4","88"
"4865","600","125","1","4","89"
"4990","600","125","1","4","90"
"5140","600","150","1","5","91"
"5290","600","150","1","5","92"
"5440","600","150","1","5","93"
"5590","600","150","1","5","94"
"5740","600","150","1","5","95"
"5890","600","150","1","5","96"
"6040","600","150","1","5","97"
"6190","600","150","1","5","98"
"6340","600","150","1","5","99"
"6490","600","150","1","5","100"
"6665","600","175","1","5","101"
"6840","600","175","1","5","102"
"7015","600","175","1","5","103"
"7190","600","175","1","5","104"
"7365","600","175","1","5","105"
"7540","600","175","1","5","106"
"7715","600","175","1","5","107"
"7890","600","175","1","5","108"
"8065","600","175","1","5","109"
"8240","600","175","1","5","110"
"8440","600","200","1","6","111"
"8640","600","200","1","6","112"
"8840","600","200","1","6","113"
"9040","600","200","1","6","114"
"9240","600","200","1","6","115"
"9440","600","200","1","6","116"
"9640","600","200","1","6","117"
"9840","600","200","1","6","118"
"10040","600","200","1","6","119"
"10240","600","200","1","6","120"
"10465","600","225","1","6","121"
"10690","600","225","1","6","122"
"10915","600","225","1","6","123"
"11140","600","225","1","6","124"
"11365","600","225","1","6","125"
"11590","600","225","1","6","126"
"11815","600","225","1","6","127"
"12040","600","225","1","6","128"
"12265","600","225","1","6","129"
"12490","600","225","1","6","130"
"12740","600","250","1","7","131"
"12990","600","250","1","7","132"
"13240","600","250","1","7","133"
"13490","600","250","1","7","134"
"13740","600","250","1","7","135"
"13990","600","250","1","7","136"
"14240","600","250","1","7","137"
"14490","600","250","1","7","138"
"14740","600","250","1","7","139"
"14990","600","250","1","7","140"
"15240","600","250","1","8","141"
"15490","600","250","1","8","142"
"15740","600","250","1","8","143"
"15990","600","250","1","8","144"
"16240","600","250","1","8","145"
"16490","600","250","1","8","146"
"16740","600","250","1","8","147"
"16990","600","250","1","8","148"
"17240","600","250","1","8","149"
"17490","600","250","1","8","150"
"17740","600","250","1","9","151"
"17990","600","250","1","9","152"
"18240","600","250","1","9","153"
"18490","600","250","1","9","154"
"18740","600","250","1","9","155"
"18990","600","250","1","9","156"
"19240","600","250","1","9","157"
"19490","600","250","1","9","158"
"19740","600","250","1","9","159"
"19990","600","250","1","9","160"
"20240","600","250","1","10","161"
"20490","600","250","1","10","162"
"20740","600","250","1","10","163"
"20990","600","250","1","10","164"
"21240","600","250","1","10","165"
"21490","600","250","1","10","166"
"21740","600","250","1","10","167"
"21990","600","250","1","10","168"
"22240","600","250","1","10","169"
"22490","600","250","1","10","170"
"22740","600","250","1","11","171"
"22990","600","250","1","11","172"
"23240","600","250","1","11","173"
"23490","600","250","1","11","174"
"23740","600","250","1","11","175"
"23990","600","250","1","11","176"
"24240","600","250","1","11","177"
"24490","600","250","1","11","178"
"24740","600","250","1","11","179"
"24990","600","250","1","11","180"
"25240","600","250","1","12","181"
"25490","600","250","1","12","182"
"25740","600","250","1","12","183"
"25990","600","250","1","12","184"
"26240","600","250","1","12","185"
"26490","600","250","1","12","186"
"26740","600","250","1","12","187"
"26990","600","250","1","12","188"
"27240","600","250","1","12","189"
"27490","600","250","1","12","190"
"27740","600","250","1","13","191"
"27990","600","250","1","13","192"
"28240","600","250","1","13","193"
"28490","600","250","1","13","194"
"28740","600","250","1","13","195"
"28990","600","250","1","13","196"
"29240","600","250","1","13","197"
"29490","600","250","1","13","198"
"29740","600","250","1","13","199"
"29990","600","250","1","13","200"
"30240","600","250","1","14","201"
"30490","600","250","1","14","202"
"30740","600","250","1","14","203"
"30990","600","250","1","14","204"
"31240","600","250","1","14","205"
"31490","600","250","1","14","206"
"31740","600","250","1","14","207"
"31990","600","250","1","14","208"
"32240","600","250","1","14","209"
"32490","600","250","1","14","210"
"32740","680","250","1","15","211"
"32990","680","250","1","15","212"
"33240","680","250","1","15","213"
"33490","680","250","1","15","214"
"33740","680","250","1","15","215"
"33990","680","250","1","15","216"
"34240","680","250","1","15","217"
"34490","680","250","1","15","218"
"34740","680","250","1","15","219"
"34990","680","250","1","15","220"
"35240","680","250","1","16","221"
"35490","680","250","1","16","222"
"35740","680","250","1","16","223"
"35990","680","250","1","16","224"
"36240","680","250","1","16","225"
"36490","680","250","1","16","226"
"36740","680","250","1","16","227"
"36990","680","250","1","16","228"
"37240","680","250","1","16","229"
"37490","680","250","1","16","230"
"37740","680","250","1","17","231"
"37990","680","250","1","17","232"
"38240","680","250","1","17","233"
"38490","680","250","1","17","234"
"38740","680","250","1","17","235"
"38990","680","250","1","17","236"
"39240","680","250","1","17","237"
"39490","680","250","1","17","238"
"39740","680","250","1","17","239"
"39990","680","250","1","17","240"
"40240","680","250","1","18","241"
"40490","680","250","1","18","242"
"40740","680","250","1","18","243"
"40990","680","250","1","18","244"
"41240","680","250","1","18","245"
"41490","680","250","1","18","246"
"41740","680","250","1","18","247"
"41990","680","250","1","18","248"
"42240","680","250","1","18","249"
"42490","680","250","1","18","250"
"42740","680","250","1","19","251"
"42990","680","250","1","19","252"
"43240","680","250","1","19","253"
"43490","680","250","1","19","254"
"43740","680","250","1","19","255"
"43990","680","250","1","19","256"
"44240","680","250","1","19","257"
"44490","680","250","1","19","258"
"44740","680","250","1","19","259"
"44990","680","250","1","19","260"
"45240","680","250","1","20","261"
"45490","680","250","1","20","262"
