183dd19827990a9688cefd55b9fdcd06e6201d02a4eaae64893ff441de7e9456,64447ba53c8803c2455c286745a54b9a99997f4b163bdddc99cbf4249b13606b,63ee3d0ee9b3ca74b781a7d90189f9c053f1d5308d5ef104482390a942e9c16f,28779313d671a6f71095d9cd9f0bd15a8d8e733be056cdf4d60ba5e98adf643e,c17fd481b45a1468d996f1624b107541eeefa8712157eb9cc48359257dcee5cc,6f1823303416151dc596ac3d219e8281aff3214d6ad7613de7384511be2b687d,bfcdb4d1e10a9087f4edcdb1d58e03d859a158e21d386cb520618f5332624f1a,5d0bc69382e49da67663209fbc4658f8cde4f0e4d759fe700056f6e9029104dd,cb72b3dd9cd928b84f3c671160ce5f07a10332d3a12b92c603cafcb250837ab5,e1e8ef0fe473cf346d5fde21cb9da2b844e6cc7f82404f3640e013a9d871af4a,c444a55078f8ac27d96ae60f868634ff0d0db8ef47308fd3c31967084241e78b
"empty","0.65","0","10001","0","5","2","2","10001001","-622","50"
"empty","0.65","0","10001","0","5","1","1","10001002","-622","51"
"","0","1","10001","0","6","1","2","10001003","0","1"
"","0","1","10001","0","6","1","1","10001004","0","1"
"","0","0","10001","","31","10001","10001","10001005","1","0"
"","","","10001","","91","0","0","10001006","",""
"","0.2","1","10001","0","6","1","2","10001007","1","1"
"","0.2","1","10001","0","6","1","1","10001008","1","1"
"","","0.3","10001","0","2","0","2","10001009","14","-472"
"","","0.3","10001","0","2","0","1","10001010","14","-472"
"","0","","10001","","3","limitedMission_congratulations","2","10001011","","0"
"","0","","10001","","3","limitedMission_congratulations","1","10001012","","0"
"","","","10001","","32","1","10001","10001013","",""
"","","","10001","","93","0","3","10001014","",""
"","0.2","1","10001","0","6","1","2","10001015","0","1"
"","0.2","1","10001","0","6","1","1","10001016","0","1"
"","","","10001","","93","0","0.2","10001017","",""
