7969db28cfc238552e68f034f92c809290e7964705190abb739073813bd38034,d59c7fe1b8b1dfc6cfdb73e099418196697a0165e8ffadf95d005174b7977a35,e717639b7d0ad2de0f4c8a78769d261beb7a4642eba07b2074e431acf7a86f22,1222e6d2400b5ceac47a929882797426b11319d8ca7a283ff2db6d61bc42d47d,02d28df18f5ffbc69882fb88d8abf420907db734c0beea9a7e7273b4dd0308be,618e63b51e2debd6a05becb7a0a309cf56d481f8aeb6b0d67b22a44b440d7a65,aa549af034d2eab3f03a31678e3b882f8090330257bc90079d958abf4af6078d,824e8aaea8df7fe882cdab07426f981de5c75c8aad5c9748b11fc21645010b0e,b4bf9e5bd355cbf964287acb8029e6d68b253ebc6ebb57376f8ec3ab4d8fab9b,f5aaa6e3b9a568d68de6cbfabb931fb0d954bc093ee1bd5c470f3a00ab831728,bcb769a560e00dc03b7c7e79b7065db1a0a68fa44be5eb411e7b1a07f0613f94,783260690dc281a882d8777a6e0399f176aabe6113a020196d5e50b46a2b535c,fa09b4fa77da0e5df9524dc00e685c315f6d7057ea71aa2796676efc04d807d6,6e794e976d1567d01cee40c5039cf39909646dfbfbfe3509f3cc0363af2cd7a7,4c099ec4faf0ac1767a64ce4ba7976427b67ce53b93c172a3db72bd236b6101c,36e2fa0888952f84f8fdde48c7e2bf0ee3a6fe6043d8a394db99036cf14acb53,9a9ccd5fe10c95a5997ceabe1f7d23bed981c5af33f8632daf28294935cd60f6,a47b3974c6ed2ae911e33b52e70add6274807b1e60e3fd861cb5ccc1cc4fe8f1,6fcd25bdc2364cb406980a82968379a56083f6b0c8a499bdea6af2b7502be804,0662cc2ea96245ac6537754bb80179393c9060dc603577652d34516c1b29c334
"100000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","100000001","100","512000021","0","0"
"100000002","0","0","100000002","0","0","0","0","0","0","0","0","100000001","0","0","100000001","100","512000022","0","0"
"101000001","11001011","0","0","0","0","0","0","0","0","0","0","101010101","255","11999091","101010101","100","110010011","0","0"
"101000002","11001012","0","0","0","0","0","0","0","0","0","0","101010102","255","11999092","101010101","100","110010012","0","0"
"101000003","11001013","0","101010102","0","0","0","0","0","11999101","0","0","101010103","255","11999093","101010104","100","110010013","0","0"
"101000004","11001021","0","0","0","0","0","0","0","0","0","0","101010203","261","11999091","101010203","100","110010021","0","0"
"101000005","11001022","0","101010202","0","0","0","0","0","0","0","0","101010201","261","11999092","101010201","100","110010022","0","0"
"101000006","11001023","0","101010203","0","0","0","0","0","11999102","101010202","0","101010203","261","11999093","101010202","100","110010023","0","0"
"101000007","11001031","0","0","0","0","0","0","0","0","0","0","101010302","266","11999091","101010302","100","110010031","0","0"
"101000008","11001032","0","101010302","0","0","0","0","0","0","0","0","101010301","266","11999092","101010301","100","110010032","0","0"
"101000009","11001033","0","101010303","0","0","0","0","0","11999103","0","0","101010303","266","11999093","101010304","100","110010033","0","0"
"101000010","11001041","0","0","0","0","0","0","0","0","0","0","101010402","270","11999091","101010404","100","110010041","0","0"
"101000011","11001042","0","0","0","0","0","0","0","0","0","0","101010403","270","11999092","101010402","100","110010042","0","0"
"101000012","11001043","0","101010402","0","0","0","0","0","11999101","0","0","101010403","270","11999093","101010404","100","110010043","0","0"
"101000013","11001051","0","0","0","0","0","0","0","0","0","0","101010504","270","11999091","101010504","100","110010051","0","0"
"101000014","11001052","0","101010502","0","0","0","0","0","0","0","0","101010503","270","11999092","101010501","100","110010052","0","0"
"101000015","11001053","0","101010504","0","0","0","0","0","11999102","101010505","0","101010504","270","11999093","101010503","100","110010053","0","0"
"101000016","11001061","0","0","0","0","0","0","0","0","0","0","101010602","276","11999091","101010604","100","110010061","0","0"
"101000017","11001062","0","101010602","0","0","0","0","0","0","0","0","101010606","276","11999092","101010604","100","110010062","0","0"
"101000018","11001063","0","101010601","0","0","0","0","0","11999103","0","0","101010605","276","11999093","101010606","100","110010063","0","0"
"101000019","11001071","0","101010703","0","0","0","0","0","0","0","0","101010702","281","11999091","101010702","100","110010071","0","0"
"101000020","11001072","0","101010701","0","0","0","0","0","0","0","0","101010705","281","11999092","101010702","100","110010072","0","0"
"101000021","11001073","0","101010705","0","0","0","0","0","11999101","101010704","0","101010705","281","11999093","101010706","100","110010073","0","0"
"101000022","11001081","0","101010804","0","0","0","0","0","0","0","0","101010801","281","11999091","101010801","100","110010081","0","0"
"101000023","11001082","0","101010803","0","0","0","0","0","0","0","0","101010801","281","11999092","101010802","100","110010082","0","0"
"101000024","11001083","0","101010804","0","0","0","0","0","11999102","0","0","101010804","281","11999093","101010805","100","110010083","0","0"
"101000025","11001091","0","101010901","0","0","0","0","0","0","0","0","101010902","285","11999091","101010904","100","110010091","0","0"
"101000026","11001092","0","101010901","0","0","0","0","0","0","0","0","101010903","285","11999092","101010902","100","110010092","0","0"
"101000027","11001093","0","101010902","0","0","0","0","0","11999103","101010904","0","101010905","285","11999093","101010906","100","110010093","0","0"
"101000028","11001101","0","101011003","0","0","0","0","0","11999093","0","0","101011006","291","11999091","101011006","100","110010101","0","0"
"101000029","11001102","0","101011008","0","0","0","0","0","11999101","0","0","101011004","291","11999092","101011004","100","110010102","0","0"
"101000030","11001103","0","0","0","0","0","0","0","0","0","0","0","291","0","101011001","100","110010103","0","0"
"101000031","11002011","0","101020102","0","0","0","0","0","0","0","0","101020102","296","11999091","101020101","100","110020011","0","0"
"101000032","11002012","0","0","0","0","0","0","0","0","0","0","101020104","296","11999092","101020103","100","110020012","0","0"
