42f23f306a5c2fb07bfd89fbbb57b6b9672158c042cdd7f496a6e8293398f60e,49db89de4070c1a55a2ddce90c9fac22d7f162e8d87d9184c90eca041edb863f,c82f424650ae6399ef812a5c1701fa9d50824494f7be1bc81a9e98958adc9db0,f99b63d0f68917b208461df1c2055ddd589a748641b4c32796a043f9bf159743,0a9c9c53adf41958d1494e890595bb048ae7e7ec41e087aad321de4418e1bca4,fcce0de32e2e3ded5824c08dfddebeb50b37e810feb51ce764b7c337bfdaa79f,ac1284fc2124225d1493c61c731225a4b0e7d64c56aa7db165e72e86aeb64645,236dd5b223b0beba8ce2de1a274537daf658e40112ace8bbae3ce6b91bee48dd,702d15c2065509b37d2c5918e4dc069e18c0432b8ccd244391f09e9f86d8815f,cb884d1c5914376feee71c2fcc149d800227cd7e01c329d875123768736a4715,63652b5915e682d7ee220bd8bec6f3736ad8dff51e2a637009b6824db77578cd,269585ca76680d04a8f1de166820e09e4edc6aecb18c80420933dcf58e605f6c
"924071100","92407","0","1","500000000","924073101","924072101","92407110","92407120","90","1","1"
"924071200","92407","92407110","1","1000000000","924073102","924072102","92407120","92407130","90","2","2"
"924071300","92407","92407120","1","1500000000","924073103","924072103","92407130","92407140","90","3","3"
"924071400","92407","92407130","1","0","924073104","924072104","92407140","0","90","4","3"
"924072100","92407","0","1","500000000","924073201","924072201","92407210","92407220","90","1","1"
"924072200","92407","92407210","1","1000000000","924073202","924072202","92407220","92407230","90","2","2"
"924072300","92407","92407220","1","1500000000","924073203","924072203","92407230","92407240","90","3","3"
"924072400","92407","92407230","1","0","924073204","924072204","92407240","0","90","4","3"
"924073100","92407","0","1","500000000","924073301","924072301","92407310","92407320","90","1","1"
"924073200","92407","92407310","1","1000000000","924073302","924072302","92407320","92407330","90","2","2"
"924073300","92407","92407320","1","1500000000","924073303","924072303","92407330","92407340","90","3","3"
"924073400","92407","92407330","1","0","924073304","924072304","92407340","0","90","4","3"
"924081100","92408","0","1","500000000","924083101","924082101","92408110","92408120","90","1","1"
"924081200","92408","92408110","1","1000000000","924083102","924082102","92408120","92408130","90","2","2"
"924081300","92408","92408120","1","1500000000","924083103","924082103","92408130","92408140","90","3","3"
"924081400","92408","92408130","1","0","924083104","924082104","92408140","0","90","4","3"
"924082100","92408","0","1","500000000","924083201","924082201","92408210","92408220","90","1","1"
"924082200","92408","92408210","1","1000000000","924083202","924082202","92408220","92408230","90","2","2"
"924082300","92408","92408220","1","1500000000","924083203","924082203","92408230","92408240","90","3","3"
"924082400","92408","92408230","1","0","924083204","924082204","92408240","0","90","4","3"
"924083100","92408","0","1","500000000","924083301","924082301","92408310","92408320","90","1","1"
"924083200","92408","92408310","1","1000000000","924083302","924082302","92408320","92408330","90","2","2"
"924083300","92408","92408320","1","1500000000","924083303","924082303","92408330","92408340","90","3","3"
"924083400","92408","92408330","1","0","924083304","924082304","92408340","0","90","4","3"
"924091100","92409","0","1","500000000","924093101","924092101","92409110","92409120","90","1","1"
"924091200","92409","92409110","1","1000000000","924093102","924092102","92409120","92409130","90","2","2"
"924091300","92409","92409120","1","1500000000","924093103","924092103","92409130","92409140","90","3","3"
"924091400","92409","92409130","1","0","924093104","924092104","92409140","0","90","4","4"
"924092100","92409","0","1","500000000","924093201","924092201","92409210","92409220","90","1","1"
"924092200","92409","92409210","1","1000000000","924093202","924092202","92409220","92409230","90","2","2"
"924092300","92409","92409220","1","1500000000","924093203","924092203","92409230","92409240","90","3","3"
"924092400","92409","92409230","1","0","924093204","924092204","92409240","0","90","4","4"
"924093100","92409","0","1","500000000","924093301","924092301","92409310","92409320","90","1","1"
"924093200","92409","92409310","1","1000000000","924093302","924092302","92409320","92409330","90","2","2"
"924093300","92409","92409320","1","1500000000","924093303","924092303","92409330","92409340","90","3","3"
"924093400","92409","92409330","1","0","924093304","924092304","92409340","0","90","4","4"
"924101100","92410","0","1","500000000","924103101","924102101","92410110","92410120","90","1","1"
"924101200","92410","92410110","1","1000000000","924103102","924102102","92410120","92410130","90","2","2"
"924101300","92410","92410120","1","1500000000","924103103","924102103","92410130","92410140","90","3","3"
"924101400","92410","92410130","1","0","924103104","924102104","92410140","0","90","4","4"
"924102100","92410","0","1","500000000","924103201","924102201","92410210","92410220","90","1","1"
"924102200","92410","92410210","1","1000000000","924103202","924102202","92410220","92410230","90","2","2"
"924102300","92410","92410220","1","1500000000","924103203","924102203","92410230","92410240","90","3","3"
"924102400","92410","92410230","1","0","924103204","924102204","92410240","0","90","4","4"
"924103100","92410","0","1","500000000","924103301","924102301","92410310","92410320","90","1","1"
"924103200","92410","92410310","1","1000000000","924103302","924102302","92410320","92410330","90","2","2"
"924103300","92410","92410320","1","1500000000","924103303","924102303","92410330","92410340","90","3","3"
"924103400","92410","92410330","1","0","924103304","924102304","92410340","0","90","4","4"
"924111100","92411","0","1","500000000","924113101","924112101","92411110","92411120","90","1","1"
"924111200","92411","92411110","1","1000000000","924113102","924112102","92411120","92411130","90","2","2"
"924111300","92411","92411120","1","1500000000","924113103","924112103","92411130","92411140","90","3","3"
"924111400","92411","92411130","1","0","924113104","924112104","92411140","0","90","4","4"
"924112100","92411","0","1","500000000","924113201","924112201","92411210","92411220","90","1","1"
"924112200","92411","92411210","1","1000000000","924113202","924112202","92411220","92411230","90","2","2"
"924112300","92411","92411220","1","1500000000","924113203","924112203","92411230","92411240","90","3","3"
"924112400","92411","92411230","1","0","924113204","924112204","92411240","0","90","4","4"
"924113100","92411","0","1","500000000","924113301","924112301","92411310","92411320","90","1","1"
"924113200","92411","92411310","1","1000000000","924113302","924112302","92411320","92411330","90","2","2"
"924113300","92411","92411320","1","1500000000","924113303","924112303","92411330","92411340","90","3","3"
"924113400","92411","92411330","1","0","924113304","924112304","92411340","0","90","4","4"
"924121100","92412","0","1","500000000","924123101","924122101","92412110","92412120","90","1","1"
"924121200","92412","92412110","1","1000000000","924123102","924122102","92412120","92412130","90","2","2"
"924121300","92412","92412120","1","1500000000","924123103","924122103","92412130","92412140","90","3","3"
"924121400","92412","92412130","1","0","924123104","924122104","92412140","0","90","4","4"
"924122100","92412","0","1","500000000","924123201","924122201","92412210","92412220","90","1","1"
"924122200","92412","92412210","1","1000000000","924123202","924122202","92412220","92412230","90","2","2"
"924122300","92412","92412220","1","1500000000","924123203","924122203","92412230","92412240","90","3","3"
"924122400","92412","92412230","1","0","924123204","924122204","92412240","0","90","4","4"
"924123100","92412","0","1","500000000","924123301","924122301","92412310","92412320","90","1","1"
"924123200","92412","92412310","1","1000000000","924123302","924122302","92412320","92412330","90","2","2"
"924123300","92412","92412320","1","1500000000","924123303","924122303","92412330","92412340","90","3","3"
"924123400","92412","92412330","1","0","924123304","924122304","92412340","0","90","4","4"
"924141100","92414","0","1","500000000","924143101","924142101","92414110","92414120","90","1","1"
"924141200","92414","92414110","1","1000000000","924143102","924142102","92414120","92414130","90","2","2"
"924141300","92414","92414120","1","1500000000","924143103","924142103","92414130","92414140","90","3","3"
"924141400","92414","92414130","1","0","924143104","924142104","92414140","0","90","4","4"
"924142100","92414","0","1","500000000","924143201","924142201","92414210","92414220","90","1","1"
"924142200","92414","92414210","1","1000000000","924143202","924142202","92414220","92414230","90","2","2"
"924142300","92414","92414220","1","1500000000","924143203","924142203","92414230","92414240","90","3","3"
"924142400","92414","92414230","1","0","924143204","924142204","92414240","0","90","4","4"
"924143100","92414","0","1","500000000","924143301","924142301","92414310","92414320","90","1","1"
"924143200","92414","92414310","1","1000000000","924143302","924142302","92414320","92414330","90","2","2"
"924143300","92414","92414320","1","1500000000","924143303","924142303","92414330","92414340","90","3","3"
"924143400","92414","92414330","1","0","924143304","924142304","92414340","0","90","4","4"
"925011100","92413","0","1","500000000","925013101","925012101","92501110","92501120","90","1","1"
"925011200","92413","92501110","1","1000000000","925013102","925012102","92501120","92501130","90","2","2"
"925011300","92413","92501120","1","1500000000","925013103","925012103","92501130","92501140","90","3","3"
