fa98773a1e96a40624f38b83254cfcd1ebac7f7a8c28cd21579a833d768b6f1e,54b037ae59f5e80493059834e9e6b5cb51653d7ac30159e7ec14db769e4ec9f1,e67999b76f126575038a29c7a8cc36ec0d038becd5bd588a95ed7e8e59bb6351,387db111f487d72bfa658d82cb1b6de438c4fe0823e2b598b03d3456cd06b2c3,4cb3a04ad37ca2d9d2cddf8d71afc2988bcabf2bb4928c924727fcb4709fa284,8a9bc52c20fc56ac9a157d3a4b8ccc60654bfafe61cb4b79eef4d04aa69d9ee9,a6fa79634db0240cd87a1ce143df11a2beddc03fcb506a517b098cc8424f72e1,65068262e41aaffb25b359fc2be58ece73c4055963a7040d8c6b3be5bdd77e74,6dfbc9c665a3a4a5c4c7691f33b825c7091e69a3953c9c2ffd6804831235b277,5e6d63655bd70c47fb233f7c828422e5c6d9b97a62551100c1b0317c3d89182c,2ae25aeb234d759b0f10a32c98ad0ecc6c57da6db345b26ccad364b468419cdd
"drama_idle","1001","129811","100","167","1.65","1","1","1","-224","1"
"drama_idle","1002","129911","100","-49","1.65","1","0","1","-224","1"
"","1003","drama_idle","1","","0.2","129811","","3","","1"
"","1004","drama_talk_arm_crossed_in","0","drama_talk_arm_crossed_loop","0.2","129911","0","3","1","1"
"","1005","vo_minigame_1013_top_talk_1_000","0","0","","vo_minigame_1013","","21","","1"
"0","1006","既然魔物會\n源源不絕地湧出，\n戰鬥就不缺對手。\n不如說正好當作訓練。","5","1","0","129911","0","11","0","1"
"","1007","","","","","0","","91","","1"
"","1008","drama_idle_arm_crossed","1","","0.2","129911","","3","","1"
"","1009","drama_talk_doya_in_smile","0","drama_talk_doya_loop_smile","0.2","129811","0","3","1","1"
"","1010","vo_minigame_1013_top_talk_1_001","0","0","","vo_minigame_1013","","21","","1"
"0.3","1011","哈哈……\n被這樣對待，\n就算是魔物我也覺得\n有點同情它們了啊～","5","1","0","129811","0","11","0","1"
"","1012","","","","","0","","91","","1"
"","1013","drama_idle_arm_crossed","1","","0.2","129811","","3","","1"
"","1014","drama_talk_smile_in","0","drama_talk_smile_loop","0.2","129911","0","3","1","1"
