9ffd99cb72c80a56568b8954fe6da8125209b7e4ee2603b0028356992e347d77,f6e95b7d8a3b918186a63a84e3002e506caa46487811b2ff91bcf4841fbdd1b6,8c4de83274f1f83548dc7494323839b40f162e4012a8434f6847a94c547eae76,bbc5808e094da2dc633fbd1b16e68918708430c624fadb8c5048ca052782ad40,caea596973f415761029cb1f92e6e9fa80e5204ced9b843902e1e7e6dbc76691,d2480243d397637c5e3579cf114ff9706822435a904a284dd22fada601a96e15,1ffad08997e9d0ddbc90cfd4e388d353fb9329b3c6b40842e5fe8cf145601cd3
"11012","11011","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","0","2","1101","2"
"11022","11021","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","0","2","1102","2"
"11032","11031","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","0","2","1103","2"
"11042","11041","這裡是公會管理協會！請問在尋找怎麼樣的夥伴呢？","0","2","1104","2"
"11052","11051","發現了魔物們聚集的競技場！","0","4","1105","4"
"11072","11073","發現不可思議的石板！要怎麼辦？","11071","7","1107","7"
"11081","11082","在地下城迷路了！要往哪邊前進？","0","8","1108","8"
"11092","11091","發現了魔物們聚集的競技場！","0","4","1109","4"
"11102","11101","剪刀、石頭……布！","11103","3","1110","3"
"11112","11111","能聽見箱子裡有聲音傳來……","0","10","1111","10"
"11122","11121","活動會場出現魔物了！","0","11","1112","11"
"11132","11131","發現了魔物們聚集的競技場！","0","4","1113","4"
"11172","11171","發現了魔物們聚集的競技場！","0","4","1117","4"
"0","13141","發現釣魚景點！","0","5","1314","5"
"0","13151","是非常適合野餐的絕佳日子！","0","9","1315","9"
"0","13161","是拉霸機！要挑戰嗎？","0","6","1316","6"
"0","23141","Lucky！還可以再釣一次！","0","5","2314","5"
"23151","23152","菜做好了！不過，還有材料喔！","0","9","2315","9"
"23161","23162","再來一局！","0","6","2316","6"
"0","33141","再最後一次！","0","5","3314","5"
"33151","33152","完美！不過，還有材料喔！","0","9","3315","9"
"33161","33162","最後一次！","0","6","3316","6"
