f2edf88e3df6676f1dc5e6decde48594239760569b37ba650fd6957cf3a336aa,0f7f8c102b063ad307de1e450e122bd2e81e3220fc1fcfd85070e4d01c39b7dc,3fd4948515370add0bd252cedc055b8a389beb8f0e6b85fe82f81bed66407c3a,bc0dbc83d17bc0db1a534a28d78f754a09ecd8af9cfc12682f0a2a8fd2b5f00a,aa703029fffdd03aed290cc9c0f167cc461ab26f04333419d28a9cae04b960c4,445d15fc7d8ea359fab9a8fc480a49bd46dac146eb94e2d98b86f41c982dab29,3df98c9e1cc9e82a935482b4c7ffb9a985c0a983cb375a145c30def609d1bfa8,681c362055bd3fe76088262e671bc31c1f28156d742c6806dd8269bc6a3d3896,e346ff03a439a0effb1e4a701e95eb08c06a6db98d780a19c6d1512a77b6eb9f,d9909254f627741bf7646f84bd1bb1cb49347460b332e2a2130e47ade8ef47e0,5b5a29ddce90bd523482ccc6af09801996d83eefeb5e856921423bc5c9868a9e,79171a4f8d9fad335cd38c510ea31a85f6b5352e27a6b6fc05d29ecd5d16ee51
"2","0","104","101","0","4","1","11041","0","0","1","0"
"3","0","14","201","1","2","2","10141","0","0","2","0"
"2","0","103","301","2","2","3","11031","0","0","3","0"
"1","0","102","401","3","1","4","11021","0","0","4","0"
"2","0","104","501","4","4","5","11041","0","0","5","0"
"3","0","1","601","5","1","6","10011","0","0","6","0"
"4","0","101","701","6","3","7","11011","0","0","7","0"
"3","0","100","801","7","1","8","11001","0","0","8","0"
"2","0","104","901","8","4","9","11041","0","0","9","0"
"3","0","1","1001","9","2","10","10011","0","0","10","0"
"4","0","51","1101","10","1","11","10511","0","0","11","0"
"3","0","52","1201","11","2","12","10521","0","0","12","0"
"2","0","104","1301","12","4","13","11041","0","0","13","0"
"1","0","103","1401","13","1","14","11031","0","0","14","0"
"2","0","102","1501","14","1","15","11021","0","0","15","0"
"3","0","1","1601","15","1","16","10011","0","0","16","0"
"2","0","104","1701","16","4","17","11041","0","0","17","0"
"3","0","50","1801","17","2","18","10501","0","0","18","0"
"4","0","101","1901","18","3","19","11011","0","0","19","0"
"3","0","100","2001","19","2","20","11001","0","0","20","0"
"2","0","104","2101","20","4","21","11041","0","0","21","0"
"1","0","1","2201","21","3","22","10011","0","0","22","0"
"3","0","100","2301","22","2","23","11001","0","0","23","0"
"2","0","101","2401","23","2","24","11011","0","0","24","0"
"3","0","104","2501","24","4","25","11041","0","0","25","0"
"4","0","50","2601","25","3","26","10501","0","0","26","0"
"3","0","52","2701","26","3","27","10521","0","0","27","0"
"1","0","50","2801","27","1","28","10501","0","0","28","0"
"2","0","104","2901","28","4","29","11041","0","0","29","0"
"1","0","51","3001","29","3","30","10511","0","0","30","0"
"2","0","100","3101","30","2","31","11001","0","0","31","0"
"3","0","101","3201","31","1","32","11011","0","0","32","0"
"4","0","104","3301","32","4","33","11041","0","0","33","0"
"3","0","100","3401","33","3","34","11001","0","0","34","0"
"2","0","104","3501","34","4","35","11041","0","0","35","0"
"3","0","103","3601","35","2","36","11031","0","0","36","0"
"2","0","102","3701","36","1","37","11021","0","0","37","0"
"1","0","50","3801","37","2","38","10501","0","0","38","0"
"3","0","102","3901","38","3","39","11021","0","0","39","0"
"4","0","104","4001","39","4","40","11041","0","0","40","0"
"3","0","100","4101","40","1","41","11001","0","0","41","0"
"2","0","52","4201","41","3","42","10521","0","0","42","0"
"1","0","104","4301","42","4","43","11041","0","0","43","0"
"2","0","103","4401","43","1","44","11031","0","0","44","0"
"1","0","104","4501","44","4","45","11041","0","0","45","0"
"3","0","101","4601","45","3","46","11011","0","0","46","0"
"4","0","102","4701","46","1","47","11021","0","0","47","0"
"2","0","104","4801","47","4","48","11041","0","0","48","0"
"3","0","103","4901","48","2","49","11031","0","0","49","0"
"2","0","104","5001","49","4","50","11041","0","0","50","0"
"1","0","101","5101","50","2","51","11011","0","0","51","0"
"2","0","102","5201","51","3","52","11021","0","0","52","0"
"3","0","104","5301","52","4","53","11041","0","0","53","0"
"4","0","52","5401","53","1","54","10521","0","0","54","0"
"3","0","103","5501","54","3","55","11031","0","0","55","0"
"4","0","104","5601","55","4","56","11041","0","0","56","0"
"2","0","100","5701","56","1","57","11001","0","0","57","0"
"3","0","101","5801","57","3","58","11011","0","0","58","0"
"4","0","103","5901","58","2","59","11031","0","0","59","0"
"3","0","104","6001","59","4","60","11041","0","0","60","0"
"1","0","102","6101","60","1","61","11021","0","0","61","0"
"2","0","50","6201","61","3","62","10501","0","0","62","0"
"1","0","104","6301","62","4","63","11041","0","0","63","0"
"2","0","103","6401","63","2","64","11031","0","0","64","0"
"3","0","102","6501","64","1","65","11021","0","0","65","0"
"2","0","104","6601","65","4","66","11041","0","0","66","0"
