c97fa0d33ffed597596987dddd26d44cc1f07ea0508ed75a587c838db4c4afbe,2b24990a6d5812a70e43996fdac1a82a53bb09a3a770200babe1f6e9e5430255,a6444b59686295158184a9cab393df844075b2b52c6a9fbbb4bd5c437ec6312e,ca4b5f0308b165655294738f368cc87065b30bfe129437c5cf5368e0985735af,65cb73a14498cd1ba9498992c479901f7e4353ee5396266dd4d7b94efcab09b6,bf07b065ae3af4e21f309c0804250e8155804ed1589b98245cd5d9d84d36380c,e5f43a453998b879208c962a71779febb0f5a76f370e27264dcea03150169bd7,a6474e0f4e1454d9c8c930836f84fc6fca69d4c89ae565941353b9d37824c614,c88a1e01ed147f0b3040f00a09752eca68689304fad2380e21b36b55b056ae2d,887d6426ceff6127442cf26e14c6ec7a389b0231c1cf3d2f093c04af1c72b6e9
"7001","10062","10062103","0","1","0","0","0","0","卯月和凜的回憶"
"7002","10062","10062107","0","2","0","0","0","0","new generations的回憶"
"7003","10062","10062107","0","4","0","0","0","0","卯月與未央的回憶"
"7004","10062","10062111","0","6","0","0","0","0","美食殿堂的回憶"
"7005","10062","10062111","0","7","0","0","0","0","凜與未央的回憶"
"7006","10062","10062111","0","8","0","0","0","0","new generations的回憶"
"7007","10062","10062115","0","9","0","0","0","0","new generations與美食殿堂的回憶"
"7008","10062","10062115","0","10","0","0","0","0","美食殿堂的回憶"
"7009","10063","10063111","0","14","0","0","0","0","new generations與美食殿堂的回憶"
"7102","10062","10062107","0","3","0","0","0","0","new generations的回憶"
"7103","10062","10062107","0","5","0","0","0","0","美食殿堂的回憶"
"7104","10062","10062115","0","11","0","0","0","0","new generations與美食殿堂的回憶"
"7105","10063","10063111","0","12","0","0","0","0","new generations與美食殿堂的回憶"
"7106","10063","10063111","0","13","0","0","0","0","new generations與美食殿堂的回憶"
"7201","10062","10062103","0","15","1","7","2405","1",""
