ab504e830f5afb94768fc2e31fc2e985bf503a77867386c5901fbc18f861c361,ea1344180d95548d133691fc0b730470298e30769cd4fccef45496fc9f55ee07,5634153e76f8b7334f12a8847a858fcaeb380402ef533911f164dd5b32636d58,4813428564b68d48f3a342a2289a39b402ddfefa74cf21c6c7a6fecf89cdda86,d8f86e05d8d6ab7d39a223662915b18dc7479803968998e735b599daf9606201,ece501e058d21fc9aceb99ddfd606bb96856328c48f1899a785d0ea94a5e9117,103a5e5663f1b306ea811a6032008c06a0b1d37cae7f3e4d0836ab6b7f220314,20bd9170c50445831a6927c7e26c8d82be2af5104a8815a783d7ff35a22ea1b5,8996e7b975b1188f578792629b54f685800862411df52b50ead45fa941e13d87,52b270734a526cdccd29b5fba424eca12008fd61b61dfe5d6564749ae0e36fdf,020ef58710cd3e354c9b70275f915c0f07f4cd6aaf2babd8db8128bc45b51057,d982c3cf11cc3e36a06f3cde8a4ee84cd28f2d88c29b0c1c056fa3256c2687af,18a645cb1468c28d6d92d03bb1bf15b524a31806fb53db241c261759f8333f21,5715acb4be4f0ad895cb0cd229f1e8e298af0dfde0fee294a39ab47c8aa204ba
"30","1","4","1","7","6","1001","1","1","-1","1","1","1","30"
"60","1","31","1","11","6","1002","1","1","-1","1","1","1","60"
"90","1","61","1","15","6","1003","1","1","-1","1","1","1","90"
"120","1","91","1","19","6","1004","1","1","-1","1","1","1","120"
"150","1","121","1","23","6","1005","1","1","-1","1","1","1","150"
"180","1","151","1","27","6","1006","1","1","-1","1","1","1","180"
"210","1","181","1","29","6","1007","1","1","-1","1","1","1","210"
"240","1","211","1","31","6","1008","1","1","-1","1","1","1","240"
"270","1","241","1","31","6","1009","1","1","-1","1","1","1","270"
"300","1","271","1","31","6","1010","1","1","-1","1","1","1","300"
"-1","1","301","1","31","6","1011","1","1","-1","1","1","1","310"
"30","2","4","1","7","5","1101","1","1","-1","1","1","1","30"
"60","2","31","1","11","5","1102","1","1","-1","1","1","1","60"
"90","2","61","1","15","5","1103","1","1","-1","1","1","1","90"
"120","2","91","1","19","5","1104","1","1","-1","1","1","1","120"
"150","2","121","1","23","5","1105","1","1","-1","1","1","1","150"
"180","2","151","1","27","5","1106","1","1","-1","1","1","1","180"
"210","2","181","1","29","5","1107","1","1","-1","1","1","1","210"
"240","2","211","1","31","5","1108","1","1","-1","1","1","1","240"
"270","2","241","1","31","5","1109","1","1","-1","1","1","1","270"
"300","2","271","1","31","5","1110","1","1","-1","1","1","1","300"
"-1","2","301","1","31","5","1111","1","1","-1","1","1","1","310"
"30","3","4","1","7","5","1201","1","1","-1","1","1","1","-1"
"60","3","31","1","11","5","1202","1","1","-1","1","1","1","-1"
"90","3","61","1","15","5","1203","1","1","-1","1","1","1","-1"
"120","3","91","1","19","5","1204","1","1","-1","1","1","1","-1"
"150","3","121","1","23","5","1205","1","1","-1","1","1","1","-1"
"180","3","151","1","27","5","1206","1","1","-1","1","1","1","-1"
"210","3","181","1","29","5","1207","1","1","-1","1","1","1","-1"
