a6c60702e3b1197b31861754f77478893c145a0ff8e1dd463a5d7ec51103f3c9,6dd56f8d737a60ccc3e326c5a4bc76727b56f33165d8975a1af261c1a0e77c32,69d1f5a5cf1818e9a04c2da4206194eae28f259c22625b92f4d9c810abb344db,91b8be4d301d9b6d03f8fd44efec36830256c616eab024597b4f4a678c978d9e,fe7ed13293b8c9b5305f4df0f109c44f9ebf4684bdb062452f690d3facc0feb2,61ef1cea9c6595edbef0d534c22eb557450ff1e1144df6c1145eada1319477c0,d9eca8fe3bc7a0977910e6c20ddc9347b0f9e6ce0aeb24f1095be970ab4b1a87,43093af8ec3a1105181e936af85193fec0ec622bc51d7fab4081fd0200c0f8bc,a1b8dcf9329fa7ee3120d4a5f065e963b9377163a32cdbe9deb2044ae62aa599,04b245686f43e53819b5f33f312f568947c0255253c8186ba3fa0878f10c240f,296892e3b16c08cb40c4c66c87895cf52ec20eb694f4bb92b8642c68d3c5666b
"11010001","nyx_idle_normal","110","-421","1","-209.3","110931","0","1","1.35","101"
"11010002","nyx_idle_normal","110","121.8","1","-182.5","104831","0","1","1.35","101"
"11010003","nyx_idle_normal","110","227.7","1","-182.5","104631","0","1","1.35","101"
"11010004","nyx_talk_normal","110","340.3","1","-182.5","103231","1","1","1.35","101"
"11010005","nyx_idle_normal","110","449.6","1","-182.5","103431","1","1","1.35","101"
"11010006","NoItem","120","-421","5","-209.3","2","0","2","1.35","101"
"11010007","","0","0","31","1","1","","1","1","101"
"11010008","","-300","0","31","1","3","","15","0","101"
"11010009","","-300","0","31","1.5","4","","15","0","101"
"11010010","","","","25","","bgm_M347","","bgm_M347","","101"
"11010011","","","","93","","","","2","","101"
"11010012","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","2","0.2","101"
"11010013","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","110931","0.2","101"
"11010014","","10","","11","","切嚕～♪\n一開始總而言之\n要有衝擊性！","","110931","","101"
"11010015","","","","93","","","","0.4","","101"
"11010016","","","","32","","0","","3","","101"
"11010017","","","","32","","1","","3","","101"
"11010018","","","","91","","","","11010014","","101"
"11010019","","10","","11","","我要當個用強而有力\n的第一聲切嚕緊抓住\n評審員的心的孩子","","110931","","101"
"11010020","","","","93","","","","1","","101"
"11010021","","1","","3","","nyx_idle_joy1","","103231","0.2","101"
"11010022","","1","","3","","nyx_cmn_05","","104631","0.2","101"
"11010023","","","","91","","","","11010019","","101"
"11010024","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","2","0.2","101"
"11010025","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_01","","110931","0.2","101"
"11010026","","7","","11","","切嚕～♪\n不對，還可以更好……\n切～☆嚕～！","","110931","","101"
"11010027","","","","93","","","","0.4","","101"
"11010028","","","","32","","0","","3","","101"
"11010029","","","","32","","1","","3","","101"
"11010030","","","","93","","","","0.6","","101"
"11010031","","1","","3","","nyx_talk_bitter","","103431","0.2","101"
"11010032","","1","","3","","nyx_cmn_04","","104631","0.2","101"
"11010033","","","","93","","","","2","","101"
"11010034","","0","nyx_101_chieru_loop","3","1","nyx_101_chieru_02","","2","0.2","101"
