972e9588b52ae239c6b356ce81aacc30d4eee6e5d3d21864daf91be72198370f,3aed2a40fced998066a4c9cf2f2fa765458661694cb17c55179f21aeef21bb81,1de2c0a55239f1200c9c763a70b5d5741a8843159e9d01bfc194d72ea4b096d8
"118301","180701","20114"
"118301","180701","20115"
"118401","180701","20116"
"118401","180701","20117"
"118401","180701","20118"
"120501","180801","20123"
"120401","180801","20124"
"120601","180801","20125"
"120401","180801","20126"
"120501","180801","20127"
"120601","180801","20128"
"120601","180801","30157"
"121801","180901","20129"
"121801","180901","20130"
"121701","180901","20131"
"121801","180901","20132"
"121701","180901","20133"
"121701","180901","20134"
"121701","180901","20135"
"124301","181001","20148"
"124301","181001","20149"
"124401","181001","20150"
"124401","181001","20151"
"128101","181101","20167"
"128101","181101","20168"
"128101","181101","20169"
"128101","181101","20170"
"128201","181101","20171"
"128201","181101","20172"
"128101","181101","20175"
