7106cb4d2c53c8821f9947c9d2733505d59b256991368cf59a220ede2d9de9b9,e3882a9ccf253bf7cb791d5c69139c6d0dbdb493c15d746d52e5f783fcbb4419,b812b5edf5ef188d99b6bd2295340fdad0e4c3e1acdccdf8430344bd85d41b26,de00a3a6952fabb7af05d2e2a425d70bf8f54e60a5881349bb33c0a7bc338d15,a082609b7f072dcc322468696a0ec5b58b28889f8be202482267a900bb00635f,4666c04e2ac80334582b8fccc18de3e974657466576e4201ca02c7cb589d3983,ab161e3e70eb000635131bfd71d779f6673bfd373f58d39a9f24a91a4f59ed84,906d64b880b47ef7cc8b3d9be684f2a139a1aeaa3c45ee32933bb1b17f14e82e,8683b07e8519d565d0f5ac0092205db1bbe62ae5350324ffa6d4eaafaf8ac94d,33e1d8c55a47294731f3fb77d0524fe337ac10fa1c28ed86eb7fcde877bd6156
"","1","20023105","1","","0","0","5038600","11","1"
"理應繼承至次世代的新語言","2","20023105","1","高中部1年級　琪愛兒","0","0","0","12","0"
"我超級不會寫作文","3","20023107","1","高中部2年級　克蘿依","0","0","0","13","0"
"直至飛翔為止","4","20023109","1","高中部3年級　優妮","0","0","0","14","0"
"","5","20023111","2","","0","0","5038601","21","2"
"靈光一閃了呢！","6","20023111","2","紀錄人　秋乃","0","0","0","22","0"
"組合喵！","7","20023112","2","紀錄人　珠希","0","0","0","23","0"
"我寫過這種東西嗎…？","8","20023113","2","紀錄人　優花梨","0","0","0","24","0"
"不能放任繼續這樣下去了","9","20023114","2","紀錄人　美冬","0","0","0","25","0"
"特別講座結束了","10","20023115","2","總結","0","0","0","26","0"
"","11","20023115","3","","0","1","5038602","31","2"
"開發記—考察","12","20023115","3","浪漫繼承計畫","0","1","0","32","0"
"開發記—試作機完成","13","20023115","3","彌補不足計畫","0","2","0","33","0"
"開發記—最終工程","14","20023115","3","畫龍點睛計畫","0","3","0","34","0"
"","15","20023115","3","","2022/05/25 16:00:00","3","5038603","35","3"
