6cfd0b9b3d0196b36f5819a8476b36ba010a36fd2297c50154ff0347cb0aff15,b553766c4f402316c6d4266b284f1495fde563660a531e0229ec53f839a80ce4,d51af7e3895979f12e6e9f04732aa5f919ef0baae7fbaaa815d03aedcf15f03d,f31d2f99f51fa08f7319e15a7c7102986e3c52fb5ac3059e1a7ed450cd661680,72012f381f73cdceae703aac12b7429b45692f4a0a46dadc43d8960757dd1ac3,a70ba143a89d44afc89ac3c8da025bed530595952508ae43ac92850688016c5c,d3baf5db99847febeaae503255a0118fd425c2897eecba629aba76a1d146f37c,6d6683fbb2f5c30fbc4710d7a4cf1d8108dee2ca23a22b448d481c6ebc85ad93,34619655ead4a14f059b9c3f8914875f6d6d09539668676f4a0000d0d45a0fe0,604e5936c9a2bc338353eb21bbea11a79fd66436739ff3eabcfcdd10c58cc2c0
"11","1","20023105","1","0","5038600","","0","","1"
"12","1","20023105","2","0","0","理應繼承至次世代的新語言","0","高中部1年級　琪愛兒","0"
"13","1","20023107","3","0","0","我超級不會寫作文","0","高中部2年級　克蘿依","0"
"14","1","20023109","4","0","0","直至飛翔為止","0","高中部3年級　優妮","0"
"21","2","20023111","5","0","5038601","","0","","2"
"22","2","20023111","6","0","0","靈光一閃了呢！","0","紀錄人　秋乃","0"
"23","2","20023112","7","0","0","組合喵！","0","紀錄人　珠希","0"
"24","2","20023113","8","0","0","我寫過這種東西嗎…？","0","紀錄人　優花梨","0"
"25","2","20023114","9","0","0","不能放任繼續這樣下去了","0","紀錄人　美冬","0"
"26","2","20023115","10","0","0","特別講座結束了","0","總結","0"
"31","3","20023115","11","0","5038602","","1","","2"
"32","3","20023115","12","0","0","開發記—考察","1","浪漫繼承計畫","0"
"33","3","20023115","13","0","0","開發記—試作機完成","2","彌補不足計畫","0"
"34","3","20023115","14","0","0","開發記—最終工程","3","畫龍點睛計畫","0"
"35","3","20023115","15","2022/05/25 16:00:00","5038603","","3","","3"
