dc7cb88b56d00a7cdc270279fb6d4f16a89bd920d0febd3bc8e12f4ff8bdff99,84ff8d7943028eaf3f2b39fabb16684d788e97edfbfd12f367d8e7f213e8d1e1,39711d4388b97d0be217c6d5cebd3c3e358b93fe353066fe1b9ba31a885a1e5d,21c8264d54c8f314461eb49f93fc0d89da67cd49b7b82dd1c3757a5bcd826f9b,db390369a11686c5fd1afe69c056d83ea815e9bd60fc17f86b3ee99d90b7d2e6,29b49ac50be85b6eff7c6d8202edca3fe9a1fc83dac868e7c0a239f3b6276541,44803b4a550f8d23e5234a762fdbef2235ff67bc52fd13f890b9110d585cfb94,19d0a35b3b1f5368e53292eff15e707b11fbcb85dbbf673a0a31f06f3d35ad39,fb29bba9e3c7837fd604c34a2eb66240378346c8f868edeb6b7063781d82dd17,b3fd8ec8b15a795a1943e69e856b5a6aaaa71a40120146f29b0e881cbc9bbcea,59ca4c5cd69ab9773b06ace000d9dfda071f30f644e3c6a8639d10550a99c925,d4cb0b7976e9d05cff10e6bde51d0adb5d1441d307813576ec1999545cf4402c
"1","1","0","0","0.8","0","0","0","10116115","0","4","1011611501"
"0","2","vo_won","vo_won_10116115_01","0","0","0","0","10116115","0","2","1011611502"
"0","3","0","0","0","230","2.68","1","10116115","0","1","1011611503"
"1","4","0","0","3.17","0","0","0","10116115","0","4","1011611504"
"0","5","0","0","0","420","2","1","10116115","230","1","1011611505"
"1","6","0","0","2.03","0","0","0","10116115","0","4","1011611506"
"0","7","0","0","0","140","1.51","2","10116115","0","1","1011611507"
"1","8","0","0","2","0","0","0","10116115","0","4","1011611508"
"0","9","0","0","0","275","1.92","2","10116115","140","1","1011611509"
"1","10","0","0","2.42","0","0","0","10116115","0","4","1011611510"
"0","11","0","0","0","430","1.09","2","10116115","275","1","1011611511"
"1","12","0","0","1.09","0","0","0","10116115","0","4","1011611512"
"0","13","0","0","0","230","1.88","3","10116115","0","1","1011611513"
"1","14","0","0","2.47","0","0","0","10116115","0","4","1011611514"
"0","15","0","0","0","430","1.88","3","10116115","230","1","1011611515"
"1","16","0","0","1.88","0","0","0","10116115","0","4","1011611516"
"0","17","0","0","0","52","0.588999999999999","4","10116115","0","1","1011611517"
"1","18","0","0","0.965999999999999","0","0","0","10116115","0","4","1011611518"
"0","19","0","0","0","400","1.423","4","10116115","52","1","1011611519"
"1","20","0","0","2.673","0","0","0","10116115","0","4","1011611520"
"0","21","vo_won","vo_won_10116115_02","0","0","0","0","10116115","0","2","1011611521"
"0","22","0","0","0","340","1.699","5","10116115","0","1","1011611522"
"1","23","0","0","2.495","0","0","0","10116115","0","4","1011611523"
"0","24","0","0","0","450","0.236","5","10116115","340","1","1011611524"
"1","25","0","0","0.4","0","0","0","10116115","0","4","1011611525"
"0","26","0","0","0","120","1.4","6","10116115","0","1","1011611526"
"1","27","0","0","2","0","0","0","10116115","0","4","1011611527"
