82cad052eb4860afb82f065c03309378caf01545b0cc8eaba59d72a007f98e45,de9aa361c6593509f0510991513acb7b42bc9a7a422c5383a8f66992bbead1e9,c1fdb8db709919ac8b453b5dd3a604c40cbb187178f6f0c9f369ac57913f104f,1c319c377bdddaaba4af6439f75b73f737bc03977fe97a755a9c6bd559a7ef38,770efbea2d94fd3cf32bcc2fda9fbdfb9e838b36d27c6bf0f301cc6fab564692,416daf515ff977fad36b75bd8aa96ce3b949863494e60ed4107790bdd2c2b4e2,bf2d7b7040af0c9e8b5c195a7d5525b185adc9c641c4cf2cda690e58e2ee0798,ad8bff6215d5b542f585dac491221855859b596f810bf2416de53bd656d66a20,4d1f2d0d48f3041e7678edcaf2b70791f05c8591523a2b16b341f09580f38411,3055712634dbf89a5850aeb567da79b50cf5e0a6f22af3a2e9d1086734434a5a,7d5c06a064b758be20f5d82068b8df2bce53f1e853db4aa0aae582526f584b95,aba7a6e1edde5cc0ea93d3b886fbf9e172f0b82f0fec6dc58a5ad7bbca32ceb5,45be871f12069dadbb95085f99cd7fd6b81041ab2a17c88629ad1365b4999565,de7e163374694ff544891af3af0d3c3c81deac991134e4c08992b5db9193e082,84a843ed7e3336faf4025f58ee9ec6ce5ab718533c144294687c74a50a51a63d,a32acdb78f32ec84254ba22432d8cc069471a4e163a8fb06f4c9c5734c08fad9,6c3d3f4f1567c761dc35c2a0fdcc5d7ff0a4edb4927141a1fcfcd4feab1c30ad,da3809b4948fb7d0b478a495f889fd164adae0f5e23c7d6b4ccaf9b361ab904c
"1","20000","分數累積獲得 20000 分","12","94002","5000","0","0","0","0","0","0","0","0","0","0","0","0"
"2","40000","分數累積獲得 40000 分","12","94002","10000","0","0","0","0","0","0","0","0","0","0","0","0"
"3","60000","分數累積獲得 60000 分","12","94002","15000","0","0","0","0","0","0","0","0","0","0","0","0"
"4","80000","分數累積獲得 80000 分","12","94002","20000","0","0","0","0","0","0","0","0","0","0","0","0"
"5","100000","分數累積獲得 100000 分","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"6","120000","分數累積獲得 120000 分","12","94002","25000","0","0","0","0","0","0","0","0","0","0","0","0"
"7","140000","分數累積獲得 140000 分","12","94002","30000","0","0","0","0","0","0","0","0","0","0","0","0"
"8","160000","分數累積獲得 160000 分","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"9","180000","分數累積獲得 180000 分","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"10","200000","分數累積獲得 200000 分","8","91002","50","2","23001","5","0","0","0","0","0","0","0","0","0"
"11","220000","分數累積獲得 220000 分","12","94002","55000","0","0","0","0","0","0","0","0","0","0","0","0"
"12","240000","分數累積獲得 240000 分","12","94002","35000","0","0","0","0","0","0","0","0","0","0","0","0"
"13","260000","分數累積獲得 260000 分","12","94002","40000","0","0","0","0","0","0","0","0","0","0","0","0"
"14","280000","分數累積獲得 280000 分","12","94002","45000","0","0","0","0","0","0","0","0","0","0","0","0"
"15","300000","分數累積獲得 300000 分","15","11001039","1","8","91002","150","2","23001","10","0","0","0","0","0","0"
