34ae60c2dbfc818d6a9d201648dd4e6384f4c3c7b7740963ff9bb35438f5bdf5,e21e56e30a83c71b6f1bdf52d54dacd680ec52ba1a3c99dc569f51791410a855,ba79ab2b7219099a498705a463b42d202645c471e206314a11f03a9cdca103b3,4af5ff0964c9edb0f728476ecd9606557319c27685de93a07c7b42004c516ba7,263fd8b4216e1ac75e468ebea6ef551daba5f82a8ad06d765a3984a1e0c1e566,8bb07dc416b82f35b6cd9930787fec9babda932219fa0d06cd9e81418c4be083
"0","羈絆日記之1","20033108","1005801","5058003","10058"
"0","羈絆日記之2","20033110","1005802","5058003","10058"
"0","羈絆日記之3","20033112","1005803","5058003","10058"
"0","羈絆日記之4","20033115","1005804","5058004","10058"
"2003301","羈絆日記之5","0","1005805","5058005","10058"
"0","羈絆日記之6","20034103","1005901","5059001","10059"
"0","羈絆日記之7","20034106","1005902","5059002","10059"
"0","羈絆日記之8","20034109","1005903","5059004","10059"
"0","羈絆日記之9","20034112","1005904","5059005","10059"
"0","羈絆日記之10","20034115","1005905","5059006","10059"
"2003401","羈絆日記之11","0","1005906","5059007","10059"
"0","額外頁數","0","1005907","0","10059"
