4f27c84b3710528a2506267d0a9ca83edb4f3bd5bbb036c0b0da77f57ba3d9e7,3b9f32270103866fd6417d75864ae85dac4f816b81f561908ef8b3f15f518347,2f6a51eab7e1f4f3391ed856f09a4a4b91e5533d4c1a994f8d49074f730b5462,0097af1278b3a17c35960d69219914353b79bbbd6a5a52d5099262a6cab2da19,9fff765dbc1c713e09216bac05ec313d76fe07185fb5fee59fd52921c625bf11,343d796fc6d5a95786d9173839dac5209ee345f01f0605f094e56dba86105c11,d29e23150b97f10f3875eab197d7f6f2512c2b3d74e1a8e03ec5432f8e02ec28,08a3fe75fd02b1a7b9e4b9e7a05113af1d4ebbfc38fb7bfcbb0a8579aa3f5fba,87901e7d05092a07a9dbe72b496e1e997d3c069e1b4ea50e8ed31b6814bae614,f28d19adfe6398727120956fd5f6a63b444ef45f08232a059ad9fd91f67d0e66,84177d6427ee027b55782503534086bb9b29d2a6af0c23409ccd8ff44484388d
"","","","","1015","","","","星","",""
"","","白","","1019","","","","愛","","衣"
"","","","綠","1020","","","","","",""
"","","","","1021","","","","普","",""
"","","","","1070","","","K","","",""
"","","","","1071","","","","短","",""
"","","","","1079","","","","順","",""
"","","","","1080","","","","七八九","",""
"","","","","1131","","","","H","",""
"","","U","U","1196","","","","","",""
"","","","","1229","","","","","","跆"
"","","","","1242","","","","三五七","",""
"","","","","1244","","一","","二","",""
"磚塊","房","","","2002","紅","","","","",""
"","","","笠","2011","","蓑","","","",""
"","","","五","2012","","","","南","",""
"","","","","2024","","三五八九","","","",""
"","","","E","2031","","","","S","",""
"","","","","2032","","AE","","","",""
"","","R","A","2033","","","","","",""
"","","I","E","2034","","","","","",""
"","","R","UA","2036","","","","","",""
"","","L","E","2037","","Y","E","","",""
"","","L","E","2038","","I","V","","",""
"","","I","L","2040","","","","","",""
"","","A","","2041","","","","","",""
"","","","","2042","","","","Y","",""
"","","A","","2043","","","","K","",""
"","","A","","2045","","","","","",""
"","","R","","2046","","","","Q","",""
"","","R","A","2047","","","","","",""
"","","A","","2048","","","","KQ","",""
"","","","B","2049","","","","","",""
"","","A","U","2050","","T","","","",""
"","","C","EI","2052","","P","","","",""
"","","A","I","2053","","T","","","",""
"E","R","","","2054","W","S","","","O","P"
"","","R","","2055","","","","","",""
"","","","V","2056","","","","","",""
"","","WU","","2058","","","","","",""
"","","","","2059","","","","R","",""
"","","","","2060","","","","R","",""
"","","S","","2062","","","","","",""
"","","E","A","2063","","S","S","","",""
"C","E","A","","2064","R","A","","","O","F"
"","","","A","2065","","S","","","",""
"","","","","2066","","","","C","",""
"","","","B","2067","","","","","",""
"","","","I","2068","","","","L","",""
"","","E","","2069","","","","C","",""
"","","","E","2070","","","D","","",""
"","","","A","2071","","I","N","","",""
"","","C","","2074","","A","","","",""
"","","A","","2077","","A","","","",""
"","","R","L","2078","","","","","",""
"","","MF","E","2080","","G","E","O","",""
"","","","","2081","","","","F","",""
"","","","","2084","無","","","","",""
"","","L","P","2085","","H","E","A","",""
"","","","","2086","","EO","","AI","",""
"","","","","2092","","","","P","",""
"","","C","","2093","","","","","",""
"","","","","2096","","","","萬","",""
"","","","華","2101","","華麗","","","",""
"","","e","","2102","","","","","",""
"","","","","2149","","l","e","","",""
"","","誕","","2167","","","","聖","",""
"","","","","2194","","","","佛","萊","布"
"","","耳","多","2200","加","","","","",""
