f65df1b2cbb89f668b5abad8c18597e3cc6807c30fbba24496e60cc42877df10,7f5f41c910e23b5071c78d3a85626240decb36c9757756ae439723363a8ca35c,2c8260d4f05b0e5ce24732fb4fed87b62bf4aae8c758948db6d112e3e934f26c,208e1bc556b6b452ad03742af9724a4afe7752c270ebd3ce328f8eb3b90d663f,cf4dc41fdce411443a4a2bd1fbdb814e913af258a326c16417aa3bb6c67aa503,0923bd018b2408fb1e6f95bf255130ca52c671a14eda98626a0f41e3e9b67fa3,601871a788d9dc756bf8818bb6fc312fad3e86e909d71c0971471443605247dc,3f880bf206cc6b73b2cfb356ade0099372592edc4057bde5f2846a7fa0681792
"101","1.朱諾平原","1.朱諾平原","bgm_M61","2030/12/17 14:59:59","bgm_M61","2015/12/17 15:00:00","11001"
"101","2.帕拉斯高原","2.帕拉斯高原","bgm_M61_02","2030/12/17 14:59:59","bgm_M61","2015/12/17 15:00:00","11002"
"101","3.赫柏丘陵","3.赫柏丘陵","bgm_M61_03","2030/12/17 14:59:59","bgm_M61","2015/12/17 15:00:00","11003"
"101","4.維斯塔溪谷","4.維斯塔溪谷","bgm_M61_04","2030/12/17 14:59:59","bgm_M61","2015/12/17 15:00:00","11004"
"101","5.刻瑞斯森林","5.刻瑞斯森林","bgm_M62_01","2030/12/17 14:59:59","bgm_M62","2015/12/17 15:00:00","11005"
"101","6.佛洛拉湖畔","6.佛洛拉湖畔","bgm_M62_02","2030/12/17 14:59:59","bgm_M62","2015/12/17 15:00:00","11006"
"101","7.墨提斯大瀑布","7.墨提斯大瀑布","bgm_M62_03","2030/12/17 14:59:59","bgm_M62","2015/12/17 15:00:00","11007"
"101","8.伊麗絲樹海","8.伊麗絲樹海","bgm_M42_02","2030/12/17 14:59:59","bgm_M42","2015/12/17 15:00:00","11008"
"101","9.弗麗嘉雪原","9.弗麗嘉雪原","bgm_M58","2030/12/17 14:59:59","bgm_M58","2015/12/17 15:00:00","11009"
"101","10.洛麗泰海岸","10.洛麗泰海岸","bgm_M101","2030/12/17 14:59:59","bgm_M101","2018/10/05 16:00:00","11010"
"101","11.蓋奴亞荒漠","11.蓋奴亞荒漠","bgm_M93","2030/12/17 14:59:59","bgm_M93","2018/11/07 16:00:00","11011"
"101","12.波諾尼亞砂丘","12.波諾尼亞砂丘","bgm_M94","2030/12/17 14:59:59","bgm_M94","2018/12/07 16:00:00","11012"
"101","13.朵羅西亞溼地","13.朵羅西亞濕地","bgm_M118","2030/12/17 14:59:59","bgm_M118","2019/01/03 16:00:00","11013"
"101","14.尤金尼亞熱地","14.尤金尼亞熱地","bgm_M95","2030/12/17 14:59:59","bgm_M95","2019/01/30 16:00:00","11014"
"101","15.塔利亞火山","15.塔利亞火山","bgm_M96","2030/12/17 14:59:59","bgm_M96","2019/02/18 16:00:00","11015"
"101","16.泰美斯銀嶺","16.泰美斯銀嶺","bgm_M140","2030/12/17 14:59:59","bgm_M140","2019/03/21 16:00:00","11016"
"101","17.菲得斯冰原","17.菲得斯冰原","bgm_M141","2030/12/17 14:59:59","bgm_M141","2015/12/17 15:00:00","11017"
"102","18.法艾頓草原","18.法艾頓\n　　　　　草原‧北部","bgm_M179","2030/12/17 14:59:59","bgm_M179","2015/12/17 15:00:00","11018"
"102","19.法艾頓草原‧南部","19.法艾頓\n　　　　　草原‧南部","bgm_M179","2030/12/17 14:59:59","bgm_M179","2019/06/17 16:00:00","11019"
"102","20.卡斯塔利亞樹林‧西部","20.卡斯塔利亞\n　　　　　樹林‧西部","bgm_M180","2030/12/17 14:59:59","bgm_M180","2019/08/15 16:00:00","11020"
"102","21.卡斯塔利亞樹林‧東部","21.卡斯塔利亞\n　　　　　樹林‧東部","bgm_M180","2030/12/17 14:59:59","bgm_M180","2019/08/15 16:00:00","11021"
"102","22.馬提爾德岩峰‧南部","22.馬提爾德\n　　　　　岩峰‧南部","bgm_M232","2030/12/17 14:59:59","bgm_M232","2019/09/17 16:00:00","11022"
"102","23.馬提爾德岩峰‧北部","23.馬提爾德\n　　　　　岩峰‧北部","bgm_M232","2030/12/17 14:59:59","bgm_M232","2019/09/17 16:00:00","11023"
"102","24.雷蒂烏斯群峰‧西麓","24.雷蒂烏斯\n　　　　　群峰‧西麓","bgm_M233","2030/12/17 14:59:59","bgm_M233","2019/10/15 16:00:00","11024"
"102","25.雷蒂烏斯群峰‧東麓","25.雷蒂烏斯\n　　　　　群峰‧東麓","bgm_M233","2030/12/17 14:59:59","bgm_M233","2019/11/15 16:00:00","11025"
"102","26.佩特羅大森林‧西部","26.佩特羅大森林‧西部","bgm_M260","2030/12/17 14:59:59","bgm_M260","2019/12/13 16:00:00","11026"
"102","27.佩特羅大森林‧東部","27.佩特羅大森林‧東部","bgm_M260","2030/12/17 14:59:59","bgm_M260","2020/01/10 16:00:00","11027"
"102","28.迪茲塔爾河蝕岸‧北部","28.迪茲塔爾河\n　　　　　蝕岸‧北部","bgm_M278_E28","2030/12/17 14:59:59","bgm_M278","2020/02/14 16:00:00","11028"
"102","29.迪茲塔爾河蝕岸‧南部","29.迪茲塔爾河\n　　　　　蝕岸‧南部","bgm_M278_E29","2030/12/17 14:59:59","bgm_M278","2020/03/13 16:00:00","11029"
"102","30.弗泰拉斷崖‧北部","30.弗泰拉斷崖‧北部","bgm_M293","2030/12/17 14:59:59","bgm_M293","2020/04/14 16:00:00","11030"
"102","31.弗泰拉斷崖‧南部","31.弗泰拉斷崖‧南部","bgm_M293","2030/12/17 14:59:59","bgm_M293","2020/05/15 16:00:00","11031"
"102","32.法斯奇亞森林‧南部","32.法斯奇亞\n　　　　　　森林‧南部","bgm_M339","2030/12/17 14:59:59","bgm_M339","2020/06/15 16:00:00","11032"
"102","33.法斯奇亞森林‧東部","33.法斯奇亞\n　　　　　　森林‧東部","bgm_M339","2030/12/17 14:59:59","bgm_M339","2020/07/13 16:00:00","11033"
"102","34.迪克斯提亞岩崖‧西壁","34.迪克斯提亞\n　　　　　岩崖‧西壁","bgm_M374","2030/12/17 14:59:59","bgm_M374","2020/08/17 16:00:00","11034"
"102","35.迪克斯提亞岩崖‧東壁","35.迪克斯提亞\n　　　　　岩崖‧東壁","bgm_M374","2030/12/17 14:59:59","bgm_M374","2020/09/14 16:00:00","11035"
"102","36.維娜湖畔道‧南部","36.維娜\n　　　　　湖畔道‧南部","bgm_M392","2030/12/17 14:59:59","bgm_M392","2020/11/13 16:00:00","11036"
"102","37.維娜湖畔道‧北部","37.維娜\n　　　　　湖畔道‧北部","bgm_M392","2030/12/17 14:59:59","bgm_M392","2020/12/14 16:00:00","11037"
"102","38.拉圖斯斷崖‧南部","38.拉圖斯\n　　　　　斷崖‧南部","bgm_M411","2030/12/17 14:59:59","bgm_M411","2021/01/15 16:00:00","11038"
"102","39.拉圖斯斷崖‧北部","39.拉圖斯\n　　　　　斷崖‧北部","bgm_M411","2030/12/17 14:59:59","bgm_M411","2021/02/09 16:00:00","11039"
"102","40.斯卡普山系‧西麓","40.斯卡普\n　　　　　山系‧西麓","bgm_M411_E40","2030/12/17 14:59:59","bgm_M411","2021/03/15 16:00:00","11040"
"102","41.斯卡普山系‧東麓","41.斯卡普\n　　　　　山系‧東麓","bgm_M411_E40","2030/12/17 14:59:59","bgm_M411","2021/04/16 16:00:00","11041"
"102","42.佩克托斯冰峰‧西壁","42.佩克托斯\n　　　　　冰峰‧西壁","bgm_M411_E40","2030/12/17 14:59:59","bgm_M411","2021/05/17 16:00:00","11042"
"102","43.佩克托斯冰峰‧東壁","43.佩克托斯\n　　　　　冰峰‧東壁","bgm_M411_E40","2030/12/17 14:59:59","bgm_M411","2021/06/16 16:00:00","11043"
