78e1a4a1a53ad296959b7c4e88ec5265ad3f18a517564ad9cf4936b9b2332107,179ae58da12b42810f6a2ecc238159433fdce3d3e83d1b0f0a4168a949ebe110,ef1569f4d2fa10d983a9a47baa701267ae5cbe5bb86ae58c0eecd96d63a0b057,2640b78a1d1d440e2b5b79dcb55b5d7bd62750d9b4b7c10086bc439d40c16ef6,2a426d902e184b5b7eac531a0ad03aca3d46dc09d767db528c1c37a65a2d4efe,ba3069434e829a22afad0c6ed3b2749b6582b02d1849b495477fcdd36cd202b5,9a3fcdb12aa219f93c7bdd7505b715fb1db07751b9819c7da9aea70ad5eb4bb5,15a73ecb914c5a3ecba5b9749bfa19441640a0eb9eb5abf8487336158767e338,b0589e09f05581f5fb302f117c2ecb315e9d5cccdcf2a0a4f1711f86cfc2c3bf,a2ece2e3043565cafb71332200a28c61dbf79ad884eb16fd91abf6562f7c81bb,1318e850d97849e0885646fc643ffae0aa660d9f5188811f4ff48748e52e4096,d3d425e18cae5375af36f6ff2d8acb443d0b4d8adfbcbf6325ec2a0ea6fdc899,fe0a389cbcffb2d61fa15b34a38bbede5fa3f3fa3b856a2870c54be21bc503b5,6cab57ca04f36a39f5ecf1acfa9ac1f27a91395b19439b88d45760229e61748f
"20001","0","0","20001101","1","bgm_M32","0","0","塔爾格姆地區","bgm_M32","201","0","1","0"
"20001","0","0","20001201","0","bgm_M32","0","0","塔爾格姆地區","bgm_M32","201","0","1","0"
"20002","0","0","20002101","0","bgm_M98","0","0","馬席納地區","bgm_M98_2","201","0","1","0"
"20002","0","0","20002201","0","bgm_M98","0","0","馬席納地區","bgm_M98_2","201","0","1","0"
"20003","0","0","20003101","0","bgm_M106","0","0","蘭德索爾郊外","bgm_M106","201","0","1","0"
"20003","0","0","20003201","0","bgm_M106","0","0","蘭德索爾郊外","bgm_M106","201","0","1","0"
"20004","0","0","20004101","0","bgm_M112","0","0","塔帕斯海灘 周邊","bgm_M112","201","0","1","0"
"20004","0","0","20004201","0","bgm_M112","0","0","塔帕斯海灘 周邊","bgm_M112","201","0","1","0"
"20005","0","0","20005101","0","bgm_M121","0","0","伊爾席翁的孤島","bgm_M121","201","0","1","0"
"20005","0","0","20005201","0","bgm_M121","0","0","伊爾席翁的孤島","bgm_M121","201","0","1","0"
"20006","0","85","20006101","0","bgm_M128","0","0","王城蘭德索爾","bgm_M128","201","0","1","0"
"20006","0","0","20006201","0","bgm_M128","0","0","王城蘭德索爾","bgm_M128","201","0","1","0"
"20007","0","0","20007101","1","bgm_M135","0","0","蘭德索爾郊外","bgm_M135","201","0","1","0"
"20007","208","0","20007102","2","bgm_M29","80","202","靈界","bgm_M29","201","1","1","0"
"20007","209","0","20007103","3","bgm_M135","0","202","蘭德索爾中央地區","bgm_M135","201","1","1","1"
"20007","0","0","20007201","1","bgm_M135","0","0","蘭德索爾郊外","bgm_M135","201","0","1","31"
"20008","0","35","20008101","0","bgm_M162","0","0","蘭德索爾近郊","bgm_M162","201","0","1","0"
"20008","0","0","20008201","0","bgm_M162","0","0","蘭德索爾近郊","bgm_M162","201","0","1","0"
"20009","0","110","20009101","1","bgm_M171","0","0","咲戀育幼院","bgm_M171","201","0","1","11"
"20009","0","0","20009201","1","bgm_M171","0","0","王城蘭德索爾","bgm_M171","201","0","1","0"
"20010","0","1","20010101","1","bgm_M182","180","0","往神殿的參道","bgm_M182","201","0","1","0"
"20010","0","0","20010201","1","bgm_M182","0","0","往神殿的參道","bgm_M182","201","0","1","0"
"20011","0","0","20011101","1","bgm_M189","0","0","王城蘭德索爾","bgm_M189","201","0","1","0"
"20011","0","110","20011102","2","bgm_M189","0","0","廚房競技場","bgm_M189","201","0","1","0"
"20011","0","0","20011201","1","bgm_M189","0","0","廚房競技場","bgm_M189","201","0","1","0"
"20012","0","115","20012101","1","bgm_M206","0","0","王城蘭德索爾","bgm_M206","201","0","1","0"
