e30d7c59fa0c3cc8cf7ab84b9492bbcd3dbd86b874862b211998e4f1832a0856,8ed92f813cb37ea9d744c25ee164a0a0888ccc4c8be9413c1ecd873010382495,ab58ee6ed12ff38a5848e665acfc36ea87c5b3dbfe618382c2358b3a3dc92bb9,c332d603af9def05cfe198823d68390067ea4c825c5c08072bc0e348655ec060,79c4b17415275bbf76022673f68118e093a008a0f73a0cc0aaaf5b1807fe467e,238bd544773ab3a78076f6f97660936bf9f833a2cdb46578a146b88ff695f7c6,fe0ca3b75096bba6b4d9804c25f4a50c528f0d69bc18107ce9c6005be065737a,556af41ae83024d298687be3ccd41d94611a644b2859d13e4d63e36016c7c047,961471151746ec60fb0ac64d387cda542008625a6ba9df8cb5b3d861abaad89d
"1","1","320010106","1","11","502001102","0.7","0","43.5"
"2","3","320010106","2","67","502001103","0.65","0","13"
"3","2","320010106","3","49","0","0.65","0","-74"
"1","1","320010107","4","13","502001108","0.7","0","-49"
"2","3","320010107","5","62","502001109","0.85","0","-4"
"3","2","320010107","6","50","0","0.65","0","59"
"1","1","320010108","7","-10","0","1.05","0","0"
"1","1","320010109","8","-10","0","1.05","0","-15"
"1","1","320010110","9","-45","0","0.43","0","-85"
"2","2","320010110","10","-45","0","0.43","0","85"
"1","1","320010206","11","11","502001202","0.7","0","43.5"
"2","3","320010206","12","67","502001203","0.65","0","13"
"3","2","320010206","13","49","0","0.65","0","-74"
"1","1","320010207","14","13","502001208","0.7","0","-49"
"2","3","320010207","15","62","502001209","0.85","0","-4"
"3","2","320010207","16","50","0","0.65","0","59"
"1","1","320010208","17","-10","0","1.05","0","0"
"1","1","320010209","18","-10","0","1.05","0","-15"
"1","1","320010210","19","-45","0","0.43","0","-85"
"2","2","320010210","20","-45","0","0.43","0","85"
"1","1","320010306","21","11","502001302","0.7","0","43.5"
"2","3","320010306","22","67","502001303","0.65","0","13"
"3","2","320010306","23","49","0","0.65","0","-74"
"1","1","320010307","24","13","502001308","0.7","0","-49"
"2","3","320010307","25","62","502001309","0.85","0","-4"
"3","2","320010307","26","50","0","0.65","0","59"
"1","1","320010308","27","-10","0","1.05","0","0"
"1","1","320010309","28","-10","0","1.05","0","-15"
"1","1","320010310","29","-45","0","0.43","0","-85"
"2","2","320010310","30","-45","0","0.43","0","85"
"1","1","320010406","31","11","502001402","0.7","0","43.5"
"2","3","320010406","32","67","502001403","0.65","0","13"
"3","2","320010406","33","49","0","0.65","0","-74"
"1","1","320010407","34","13","502001408","0.7","0","-49"
"2","3","320010407","35","62","502001409","0.85","0","-4"
"3","2","320010407","36","50","0","0.65","0","59"
"1","1","320010408","37","-10","0","1.05","0","0"
"1","1","320010409","38","-10","0","1.05","0","-15"
"1","1","320010410","39","-45","0","0.43","0","-85"
"2","2","320010410","40","-45","0","0.43","0","85"
"1","1","320010506","41","11","502001502","0.7","0","43.5"
"2","3","320010506","42","67","502001503","0.65","0","13"
"3","2","320010506","43","49","0","0.65","0","-74"
"1","1","320010507","44","13","502001508","0.7","0","-49"
"2","3","320010507","45","62","502001509","0.85","0","-4"
"3","2","320010507","46","50","0","0.65","0","59"
"1","1","320010508","47","-10","0","1.05","0","0"
"1","1","320010509","48","-10","0","1.05","0","-15"
"1","1","320010510","49","-45","0","0.43","0","-85"
"2","2","320010510","50","-45","0","0.43","0","85"
"1","1","320020106","51","11","502002102","0.7","0","43.5"
"2","3","320020106","52","67","502002103","0.65","0","13"
"3","2","320020106","53","49","0","0.65","0","-74"
"1","1","320020107","54","13","502002108","0.7","0","-49"
"2","3","320020107","55","62","502002109","0.85","0","-4"
"3","2","320020107","56","50","0","0.65","0","59"
"1","1","320020108","57","-10","0","1.05","0","0"
"1","1","320020109","58","-10","0","1.05","0","-15"
"1","1","320020110","59","-45","0","0.43","0","-85"
"2","2","320020110","60","-45","0","0.43","0","85"
"1","1","320020206","61","11","502002202","0.7","0","43.5"
"2","3","320020206","62","67","502002203","0.65","0","13"
"3","2","320020206","63","49","0","0.65","0","-74"
"1","1","320020207","64","13","502002208","0.7","0","-49"
"2","3","320020207","65","62","502002209","0.85","0","-4"
"3","2","320020207","66","50","0","0.65","0","59"
"1","1","320020208","67","-10","0","1.05","0","0"
"1","1","320020209","68","-10","0","1.05","0","-15"
"1","1","320020210","69","-45","0","0.43","0","-85"
"2","2","320020210","70","-45","0","0.43","0","85"
"1","1","320020306","71","11","502002302","0.7","0","43.5"
"2","3","320020306","72","67","502002303","0.65","0","13"
"3","2","320020306","73","49","0","0.65","0","-74"
"1","1","320020307","74","13","502002308","0.7","0","-49"
"2","3","320020307","75","62","502002309","0.85","0","-4"
"3","2","320020307","76","50","0","0.65","0","59"
"1","1","320020308","77","-10","0","1.05","0","0"
"1","1","320020309","78","-10","0","1.05","0","-15"
"1","1","320020310","79","-45","0","0.43","0","-85"
"2","2","320020310","80","-45","0","0.43","0","85"
"1","1","320020406","81","11","502002402","0.7","0","43.5"
"2","3","320020406","82","67","502002403","0.65","0","13"
"3","2","320020406","83","49","0","0.65","0","-74"
"1","1","320020407","84","13","502002408","0.7","0","-49"
"2","3","320020407","85","62","502002409","0.85","0","-4"
"3","2","320020407","86","50","0","0.65","0","59"
"1","1","320020408","87","-10","0","1.05","0","0"
"1","1","320020409","88","-10","0","1.05","0","-15"
"1","1","320020410","89","-45","0","0.43","0","-85"
"2","2","320020410","90","-45","0","0.43","0","85"
"1","1","320020506","91","11","502002502","0.7","0","43.5"
"2","3","320020506","92","67","502002503","0.65","0","13"
"3","2","320020506","93","49","0","0.65","0","-74"
"1","1","320020507","94","13","502002508","0.7","0","-49"
"2","3","320020507","95","62","502002509","0.85","0","-4"
"3","2","320020507","96","50","0","0.65","0","59"
"1","1","320020508","97","-10","0","1.05","0","0"
"1","1","320020509","98","-10","0","1.05","0","-15"
"1","1","320020510","99","-45","0","0.43","0","-85"
"2","2","320020510","100","-45","0","0.43","0","85"
"1","1","320030106","101","11","502003102","0.7","0","43.5"
"2","2","320030106","102","67","502003103","0.65","0","13"
"3","3","320030106","103","49","0","0.65","0","-74"
"1","1","320030107","104","13","502003108","0.7","0","-49"
"2","3","320030107","105","62","502003109","0.85","0","-4"
"3","2","320030107","106","50","0","0.65","0","59"
"1","1","320030108","107","-10","0","1.05","0","0"
"1","1","320030109","108","-10","0","1.05","0","-15"
"1","1","320030110","109","-45","0","0.43","0","-85"
"2","2","320030110","110","-45","0","0.43","0","85"
"1","1","320030206","111","11","502003202","0.7","0","43.5"
"2","2","320030206","112","67","502003203","0.65","0","13"
"3","3","320030206","113","49","0","0.65","0","-74"
"1","1","320030207","114","13","502003208","0.7","0","-49"
"2","3","320030207","115","62","502003209","0.85","0","-4"
"3","2","320030207","116","50","0","0.65","0","59"
"1","1","320030208","117","-10","0","1.05","0","0"
"1","1","320030209","118","-10","0","1.05","0","-15"
"1","1","320030210","119","-45","0","0.43","0","-85"
"2","2","320030210","120","-45","0","0.43","0","85"
"1","1","320030306","121","11","502003302","0.7","0","43.5"
"2","2","320030306","122","67","502003303","0.65","0","13"
"3","3","320030306","123","49","0","0.65","0","-74"
"1","1","320030307","124","13","502003308","0.7","0","-49"
"2","3","320030307","125","62","502003309","0.85","0","-4"
"3","2","320030307","126","50","0","0.65","0","59"
"1","1","320030308","127","-10","0","1.05","0","0"
"1","1","320030309","128","-10","0","1.05","0","-15"
"1","1","320030310","129","-45","0","0.43","0","-85"
"2","2","320030310","130","-45","0","0.43","0","85"
"1","1","320030406","131","11","502003402","0.7","0","43.5"
"2","2","320030406","132","67","502003403","0.65","0","13"
"3","3","320030406","133","49","0","0.65","0","-74"
"1","1","320030407","134","13","502003408","0.7","0","-49"
"2","3","320030407","135","62","502003409","0.85","0","-4"
"3","2","320030407","136","50","0","0.65","0","59"
"1","1","320030408","137","-10","0","1.05","0","0"
"1","1","320030409","138","-10","0","1.05","0","-15"
"1","1","320030410","139","-45","0","0.43","0","-85"
"2","2","320030410","140","-45","0","0.43","0","85"
"1","1","320030506","141","11","502003502","0.7","0","43.5"
"2","2","320030506","142","67","502003503","0.65","0","13"
"3","3","320030506","143","49","0","0.65","0","-74"
"1","1","320030507","144","13","502003508","0.7","0","-49"
"2","3","320030507","145","62","502003509","0.85","0","-4"
