8e0c669b0aeec9a1464dba7be5e391a05c236e659a6d4ef38bbd19002a329bab,100ebe493fd21ede7f250d6dfc228d8af005c75742bf58a91c6787648ad0526d,aa4b784d3ee6376db575fcb74e19b017afc97e15755840746c05c0eb4334b622,29eb9c28d9814d9038b2f09bbd5bb3d4fe45f9b45ae16455f9d18c451f0b37da,0eab909e41b03d2a5439541bb7eb82c91319ee9da15dfdbceaa691115a88cb37,dcc9d071d87644dba43980b6bb4bb7b8f4bd5e99f7383c6f227c9863b7824b16,972b3c392e748612262b4c7d0b2c33654f76020696ee0ef203e126719eaff332,9b804d93c40226c432b74fea6dd125fe50b4cecfa80e954c134f61bbf38e9189,485d8e622f8c9e35c5fe71cb53380aece5971b18721b088d96e68e5359d0b28e,d8322f8b0b3692e0d6311c09fd4df28417284c039fcca210039489bdbe7242a9,494539665aee815e867cef3f787ba75c6b06e50d568f720f66bdc78cb4271074,a5a5866fe674aa57b2cd457e349323b98091aa0ecb45196872a1c73535e224c1,f8b60feb5868582ec82d6771428bea044c8a684d4de523f28ca704551492a365,a784ff43a1f74fe37508cfa451ab36686371df1956bd6fb50604fcd20c25ccb5,e5d996c300c21dbbe1f20b7719eebf950a6e19dfa3ef85ff7948d68fcfb0cdce,3a130cb8c49a76c453c6f68479ef86adf8633826ecbc3ff60fe5eb85ebc307a8,3f8825e99f2c2051d0d43bdc02b342afc207590708185cdddf993713d5558ffa,1cd88dc1f5eeb253199ad1ffe22c0235021105274e5efc4d75d8391211097b06
"150000","2","150","22003","2","20","1","94002","20003","5","5","12","0","0","91002","0","1","8"
"100000","2","145","22003","2","15","6","94002","20003","9","2","12","0","0","91002","0","2","8"
"80000","2","140","22002","2","11","10","94002","20003","19","5","12","0","0","91002","0","3","8"
"80000","2","130","22002","2","10","20","94002","20003","29","5","12","0","0","91002","0","4","8"
"70000","2","120","22002","2","9","30","94002","20003","39","4","12","0","0","91002","0","5","8"
"70000","2","110","22002","2","8","40","94002","20003","49","4","12","0","0","91002","0","6","8"
"60000","2","100","22002","2","7","50","94002","20003","99","3","12","0","0","91002","0","7","8"
"40000","2","80","22002","2","2","100","94002","20003","499","2","12","0","0","91002","0","8","8"
"20000","2","50","22002","2","7","500","94002","20002","999","1","12","0","0","91002","0","9","8"
"16000","2","20","22001","2","4","1000","94002","20002","4999","3","12","0","0","91002","0","10","8"
"9000","2","15","22001","2","3","5000","94002","20002","9999","2","12","0","0","91002","0","11","8"
"4000","2","10","22001","2","8","10000","94002","20001","11999","1","12","0","0","91002","0","12","8"
"3000","2","5","22001","2","7","12000","94002","20001","13999","1","12","0","0","91002","0","13","8"
"2000","2","4","22001","2","6","14000","94002","20001","14999","1","12","0","0","91002","0","14","8"
"1800","2","3","22001","2","5","15000","94002","20001","30000","1","12","0","0","91002","0","15","8"
