df1753b666af1752f6ce5341db2088d0ab9e0292619d02ac5edbdb87da82b608,595bdfbee39be65a136149cc8d3201e02b90676181ead2ec24fc3e042630af66,2bdaebc86ea5ff1f75864bf30c2c5b729e537c3b7ed2e89fc5587f910ad2f588,c7c9a4379620df48cd7ed68bb4c41521d2880f3fd60e7c416884cab425b5823e,a4fb23803662fa5550bf5a3e10b8492d13b4bd8e48bd35c7a6276b30f99a752c,8ef86f99014c82017c895bce88fe36d7f9c01b262e6826021fe0b5da18b92fa2,7edff343ef52da7ac0d9d936daaf7e1d6d7fd26944ccacf33ea015bdc61d3762,4518e1c2034e882f4cb0b6c80102a0935cd1c877906b89a256fa5c21505ac158,1636245d54427d837cbeba0cbca550b2341f7eef476927272baef1bb3042cb75,08efe10d18941add714fbba9cd4a9fd8fe69448384909493464303fb5cb3e5f0,8bb9ce37fca57dfe70d6a09da3c898bafab894a355e09e52520c4165da3bf68a,4a1dbd8c4699a05cdda81ab429550c013e02a1a34dd99e015389896125d39074,7b5f46208e416f781330328cda0a7c24d3ed06e5a388db188112c60b2eb8ddb9,abe01df8ff2c78525f5a8e83b28e9154b5f1105f74b21600530d90629882b277,62cc791759eb7c32fcf24441b977c2c499fd92d429b00eb8eaec74dade698898,ed69ff6dfda77ca92e14af844fe01546a5cd9e7126cb60f36bea040052ca3bf9,358ba9c8abaa1a94479d216b742d70fbb15b8dd4c13444ddaa8dd87cde94ddff,3ed06e1c0b31f4c68098a5bf6533aebeb7fdb1575a75d6f81560611146ff5a96,0f5181c6dda593787565a79d2eb93466cabd5eb4f68184aaf1bd646a80a777d9,fc499eb6a8b22807e099f2f26a24e42d4a58d8b67e4c8bc43dbf05cbc62b157f,aa32006fb8ab553b7965d964754986a97c4e94233212fb7c7703316d784c1060,39026f38876419cb88a11493795a83b91e2c811a10c2c66a548b702fa2efe36b,e74c8540edbf39c5c648f649134427dc8e6a32d83ff59a5e5b13e70d9c00dc9c,0a4bbed13b82390a8fb19af0ab498e38162ba03a635510709bd26c51638eb93c,51463b084aefee86fc32fb9b084b109ce2de122e323c88b2503684dbaab001ee,2a2fbe74b65e25f4f94cafac332b763239d095ece8e2f99995af1393881f3a0a,1b4239e8d4bc163ec76a08daa0c0a20abc1a7e7d2d97d3f245896e4d63c25f29,928f826234cfcbea7bd26855a530eba3ad66d2a1a6058335e9f8facc22e360e8,ef37dcc3cd9e3144e4f92bc9b9f45c0659b55479ec212b0a022ed3ebfc0170da,7fea1fd226f6282ab9c721c67247d76c09cc6406623ac231468c9b99232658ad,65f2723fa6663cfbae2131826fa538448b08f28ce60433398f0014895c4a837e,23eae564bff2a279b101ae4009a7354590c14e294341cbb7d8d56caa7653836f,4ec316003f9d2033199f25776dd9ef48125298b885c2a5a46b0be183116a77e6,f87258bd3b7ec2a6bca475ec06795bc06334d9c94b13e97d989679ff13953dd8,9a16584ef9445fe9f92a0350c200c3cf86f8422cd1fead82a2362d0d78916158,8ef59b66d95f5eb8f8dae9f13653b74aa2a3c92c1ea7c20ff169106c76b54a1c,73e964dd43fe97e833b2fadf9febe0b2807cb68bc8a8476246c63c83d5b321bb,460b7c6774aaa8758839058f2947f2ad95bcb62ffdd550ba624284086bb0f43a,b4e8b0876ffd7abc8fcb64fd01a6f45a468368ab7cfa6a0b3eef03b8f7231285
"1","1001201","1001104","1001105","401010041","1001205","100000","401010031","401010051","1001101","1","10010105","1.2","0","1001202","1.1","10010103","1","0.03","0","10010101","710011","1","10010104","1","1","401010011","1001204","1001","401010021","10010102","1","1","1","1001103","1.1","1001203","1001102","1001301"
"2","1001206","1001109","1001110","401010041","1001210","100000","401010031","401010051","1001106","2","10010105","2","0","1001207","1.7","10010103","1","0.06","0","10010101","710011","1.2","10010104","1","-1","401010011","1001209","1001","401010021","10010102","1","2","1.2","1001108","1.5","1001208","1001107","1001303"
"3","1002201","1002104","1002105","401020041","1002205","100000","401020031","401020051","1002101","1","10020105","1.2","0","1002202","1.1","10020103","1","0.03","0","10020101","710021","1","10020104","1","1","401020011","1002204","1002","401020021","10020102","1","1","1","1002103","1.1","1002203","1002102","1001301"
"4","1002206","1002109","1002110","401020091","1002210","100000","401020081","401020101","1002106","2","10020105","2","0","1002207","1.7","10020103","1","0.06","0","10020101","710021","1.2","10020104","1","-1","401020061","1002209","1002","401020071","10020102","1","2","1.2","1002108","1.5","1002208","1002107","1001303"
"5","1003201","1003104","1003105","401030041","1003205","100000","401030031","401030051","1003101","1","10030105","1.2","0","1003202","1.1","10030103","1","0.03","0","10030101","710031","1","10030104","1","1","401030011","1003204","1003","401030021","10030102","1","1","1","1003103","1.1","1003203","1003102","1001301"
"6","1003206","1003109","1003110","401030091","1003210","100000","401030081","401030101","1003106","2","10030105","2","0","1003207","1.7","10030103","1","0.06","0","10030101","710031","1.2","10030104","1","-1","401030061","1003209","1003","401030071","10030102","1","2","1.2","1003108","1.5","1003208","1003107","1001303"
"7","1004201","1004104","1004105","401040041","1004205","100000","401040031","401040051","1004101","1","10040105","1.2","0","1004202","1.1","10040103","1","0.03","0","10040101","710041","1","10040104","1","1","401040011","1004204","1004","401040021","10040102","1","1","1","1004103","1.1","1004203","1004102","1001301"
"8","1004206","1004109","1004110","401040091","1004210","100000","401040081","401040101","1004106","2","10040105","2","0","1004207","1.7","10040103","1","0.06","0","10040101","710041","1.2","10040104","1","-1","401040061","1004209","1004","401040071","10040102","1","2","1.2","1004108","1.5","1004208","1004107","1001303"
"9","1004201","1004104","1004105","401040141","1004205","100000","401040131","401040151","1004101","1","10050105","1.2","0","1004202","1.1","10050103","1","0.03","0","10050101","710051","1","10050104","1","1","401040111","1004204","1005","401040121","10050102","1","1","1","1004103","1.1","1004203","1004102","1001301"
"10","1004206","1004109","1004110","401040191","1004210","100000","401040181","401040201","1004106","2","10050105","2","0","1004207","1.7","10050103","1","0.06","0","10050101","710051","1.2","10050104","1","-1","401040161","1004209","1005","401040171","10050102","1","2","1.2","1004108","1.5","1004208","1004107","1001303"
"11","1004201","1004104","1004105","401040241","1004205","100000","401040231","401040251","1004101","1","10060105","1.5","0","1004202","1.3","10060103","1","0.03","0","10060101","710061","1","10060104","1","1","401040211","1004204","1006","401040221","10060102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"12","1004206","1004109","1004110","401040291","1004210","100000","401040281","401040301","1004106","2","10060105","2","0","1004207","1.8","10060103","1","0.06","0","10060101","710061","1.3","10060104","1","-1","401040261","1004209","1006","401040271","10060102","1","2","1.3","1004108","1.8","1004208","1004107","1001303"
"13","1004201","1004104","1004105","401040341","1004205","100000","401040331","401040351","1004101","1","10070105","1.5","0","1004202","1.3","10070103","1","0.03","0","10070101","710071","1","10070104","1","1","401040311","1004204","1007","401040321","10070102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"14","1004206","1004109","1004110","401040391","1004210","100000","401040381","401040401","1004106","2","10070105","2","0","1004207","1.8","10070103","1","0.06","0","10070101","710071","1.3","10070104","1","-1","401040361","1004209","1007","401040371","10070102","1","2","1.3","1004108","1.8","1004208","1004107","1001303"
"15","1004201","1004104","1004105","401040441","1004205","100000","401040431","401040451","1004101","1","10080105","1.5","0","1004202","1.3","10080103","1","0.03","0","10080101","710081","1","10080104","1","1","401040411","1004204","1008","401040421","10080102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"16","1004206","1004109","1004110","401040491","1004210","100000","401040481","401040501","1004106","2","10080105","2","0","1004207","1.8","10080103","1","0.06","0","10080101","710081","1.3","10080104","1","-1","401040461","1004209","1008","401040471","10080102","1","2","1.3","1004108","1.8","1004208","1004107","1001303"
"17","1004201","1004104","1004105","401040541","1004205","100000","401040531","401040551","1004101","1","10090105","1.5","0","1004202","1.3","10090103","1","0.03","0","10090101","710091","1","10090104","1","1","401040511","1004204","1009","401040521","10090102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"18","1004206","1004109","1004110","401040591","1004210","100000","401040581","401040601","1004106","2","10090105","2","0","1004207","1.8","10090103","1","0.06","0","10090101","710091","1.4","10090104","1","5","401040561","1004209","1009","401040571","10090102","1","2","1.4","1004108","1.8","1004208","1004107","1001303"
"19","1004201","1004104","1004105","401040641","1004205","100000","401040631","401040651","1004101","2","10090105","3","0","1004202","2.5","10090103","1","0.06","0","10090101","710091","2","10090104","1","-1","401040611","1004204","1009","401040621","10090102","1","6","2","1004103","2.5","1004203","1004102","1001303"
"20","1004206","1004109","1004110","401011004","1004210","100000","401011003","401011005","1004106","1","10100105","1.5","0","1004207","1.3","10100103","1","0.03","0","10100101","710101","1","10100104","1","3","401011001","1004209","1010","401011002","10100102","1","1","1","1004108","1.3","1004208","1004107","1001301"
"21","1004201","1004104","1004105","401021004","1004205","100000","401021003","401021005","1004101","2","10100105","2","0","1004202","1.8","10100103","1","0.06","0","10100101","710101","1.4","10100104","1","10","401021001","1004204","1010","401021002","10100102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"22","1004206","1004109","1004110","401031004","1004210","100000","401031003","401031005","1004106","2","10100105","3","0","1004207","2.5","10100103","1","0.06","0","10100101","710101","2","10100104","1","-1","401031001","1004209","1010","401031002","10100102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"23","1004201","1004104","1004105","401040691","1004205","100000","401040681","401040701","1004101","1","10110105","1.5","0","1004202","1.3","10110103","2","0.03","0","10110101","710111","1","10110104","1","1","401040661","1004204","1011","401040671","10110102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"24","1004206","1004109","1004110","401040691","1004210","100000","401040681","401040701","1004106","1","10110105","1.5","0","1004207","1.3","10110103","2","0.03","0","10110101","710111","1","10110104","1","3","401040661","1004209","1011","401040671","10110102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"25","1004201","1004104","1004105","401040741","1004205","100000","401040731","401040751","1004101","2","10110105","2","0","1004202","1.8","10110103","5","0.06","0","10110101","710111","1.4","10110104","2","10","401040711","1004204","1011","401040721","10110102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"26","1004206","1004109","1004110","401040791","1004210","100000","401040781","401040801","1004106","2","10110105","3","0","1004207","2.5","10110103","12","0.06","0","10110101","710111","2","10110104","3","-1","401040761","1004209","1011","401040771","10110102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"27","1004201","1004104","1004105","401040841","1004205","100000","401040831","401040851","1004101","1","10120105","1.5","0","1004202","1.3","10120103","2","0.03","0","10120101","710121","1","10120104","1","1","401040811","1004204","1012","401040821","10120102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"28","1004206","1004109","1004110","401040841","1004210","100000","401040831","401040851","1004106","1","10120105","1.5","0","1004207","1.3","10120103","2","0.03","0","10120101","710121","1","10120104","1","3","401040811","1004209","1012","401040821","10120102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"29","1004201","1004104","1004105","401040891","1004205","100000","401040881","401040901","1004101","2","10120105","2","0","1004202","1.8","10120103","5","0.06","0","10120101","710121","1.4","10120104","2","10","401040861","1004204","1012","401040871","10120102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"30","1004206","1004109","1004110","401040941","1004210","100000","401040931","401040951","1004106","2","10120105","3","0","1004207","2.5","10120103","12","0.06","0","10120101","710121","2","10120104","3","-1","401040911","1004209","1012","401040921","10120102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"31","1004201","1004104","1004105","401040991","1004205","100000","401040981","401041001","1004101","1","10130105","1.5","0","1004202","1.3","10130103","2","0.03","0","10130101","710011","1","10130104","1","1","401040961","1004204","1013","401040971","10130102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"32","1004206","1004109","1004110","401040991","1004210","100000","401040981","401041001","1004106","1","10130105","1.5","0","1004207","1.3","10130103","2","0.03","0","10130101","710011","1","10130104","1","3","401040961","1004209","1013","401040971","10130102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"33","1004201","1004104","1004105","401041041","1004205","100000","401041031","401041051","1004101","2","10130105","2","0","1004202","1.8","10130103","5","0.06","0","10130101","710011","1.4","10130104","2","10","401041011","1004204","1013","401041021","10130102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"34","1004206","1004109","1004110","401041091","1004210","100000","401041081","401041101","1004106","2","10130105","3","0","1004207","2.5","10130103","12","0.06","0","10130101","710011","2","10130104","3","-1","401041061","1004209","1013","401041071","10130102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"35","1004201","1004104","1004105","401041141","1004205","100000","401041131","401041151","1004101","1","10140105","1.5","0","1004202","1.3","10140103","2","0.03","0","10140101","710021","1","10140104","1","1","401041111","1004204","1014","401041121","10140102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"36","1004206","1004109","1004110","401041141","1004210","100000","401041131","401041151","1004106","1","10140105","1.5","0","1004207","1.3","10140103","2","0.03","0","10140101","710021","1","10140104","1","3","401041111","1004209","1014","401041121","10140102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"37","1004201","1004104","1004105","401041191","1004205","100000","401041181","401041201","1004101","2","10140105","2","0","1004202","1.8","10140103","5","0.06","0","10140101","710021","1.4","10140104","2","10","401041161","1004204","1014","401041171","10140102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"38","1004206","1004109","1004110","401041241","1004210","100000","401041231","401041251","1004106","2","10140105","3","0","1004207","2.5","10140103","12","0.06","0","10140101","710021","2","10140104","3","-1","401041211","1004209","1014","401041221","10140102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"39","1004201","1004104","1004105","401041291","1004205","100000","401041281","401041301","1004101","1","10150105","1.5","0","1004202","1.3","10150103","2","0.03","0","10150101","710031","1","10150104","1","1","401041261","1004204","1015","401041271","10150102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"40","1004206","1004109","1004110","401041291","1004210","100000","401041281","401041301","1004106","1","10150105","1.5","0","1004207","1.3","10150103","2","0.03","0","10150101","710031","1","10150104","1","3","401041261","1004209","1015","401041271","10150102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"41","1004201","1004104","1004105","401041341","1004205","100000","401041331","401041351","1004101","2","10150105","2","0","1004202","1.8","10150103","5","0.06","0","10150101","710031","1.4","10150104","2","10","401041311","1004204","1015","401041321","10150102","1","4","1.4","1004103","1.8","1004203","1004102","1001303"
"42","1004206","1004109","1004110","401041391","1004210","100000","401041381","401041401","1004106","2","10150105","3","0","1004207","2.5","10150103","12","0.06","0","10150101","710031","2","10150104","3","-1","401041361","1004209","1015","401041371","10150102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"43","1004201","1004104","1004105","401041441","1004205","100000","401041431","401041451","1004101","1","10160105","1.5","0","1004202","1.3","10160103","2","0.03","0","10160101","710041","1","10160104","1","1","401041411","1004204","1016","401041421","10160102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"44","1004206","1004109","1004110","401041441","1004210","100000","401041431","401041451","1004106","1","10160105","1.5","0","1004207","1.3","10160103","2","0.03","0","10160101","710041","1","10160104","1","3","401041411","1004209","1016","401041421","10160102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"45","1004206","1004109","1004110","401041491","1004210","100000","401041481","401041501","1004106","2","10160105","2","0","1004207","1.8","10160103","5","0.06","0","10160101","710041","1.4","10160104","2","10","401041461","1004209","1016","401041471","10160102","1","4","1.4","1004108","1.8","1004208","1004107","1001303"
"46","1004206","1004109","1004110","401041541","1004210","100000","401041531","401041551","1004106","2","10160105","3","0","1004207","2.5","10160103","12","0.06","0","10160101","710041","2","10160104","3","-1","401041511","1004209","1016","401041521","10160102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"47","1004201","1004104","1004105","401041741","1004205","100000","401041731","401041751","1004101","1","10170105","1.5","0","1004202","1.3","10170103","2","0.03","0","10170101","710051","1","10170104","1","1","401041711","1004204","1017","401041721","10170102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"48","1004206","1004109","1004110","401041741","1004210","100000","401041731","401041751","1004106","1","10170105","1.5","0","1004207","1.3","10170103","2","0.03","0","10170101","710051","1","10170104","1","3","401041711","1004209","1017","401041721","10170102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"49","1004206","1004109","1004110","401041791","1004210","100000","401041781","401041801","1004106","2","10170105","2","0","1004207","1.8","10170103","5","0.06","0","10170101","710051","1.4","10170104","2","10","401041761","1004209","1017","401041771","10170102","1","4","1.4","1004108","1.8","1004208","1004107","1001303"
"50","1004206","1004109","1004110","401041841","1004210","100000","401041831","401041851","1004106","2","10170105","3","0","1004207","2.5","10170103","12","0.06","0","10170101","710051","2","10170104","3","-1","401041811","1004209","1017","401041821","10170102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"51","1004201","1004104","1004105","401041891","1004205","100000","401041881","401041901","1004101","1","10180105","1.5","0","1004202","1.3","10180103","2","0.03","0","10180101","710061","1","10180104","1","1","401041861","1004204","1018","401041871","10180102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"52","1004206","1004109","1004110","401041891","1004210","100000","401041881","401041901","1004106","1","10180105","1.5","0","1004207","1.3","10180103","2","0.03","0","10180101","710061","1","10180104","1","3","401041861","1004209","1018","401041871","10180102","1","2","1","1004108","1.3","1004208","1004107","1001303"
"53","1004206","1004109","1004110","401041941","1004210","100000","401041931","401041951","1004106","2","10180105","2","0","1004207","1.8","10180103","5","0.06","0","10180101","710061","1.4","10180104","2","10","401041911","1004209","1018","401041921","10180102","1","4","1.4","1004108","1.8","1004208","1004107","1001303"
"54","1004206","1004109","1004110","401041991","1004210","100000","401041981","401042001","1004106","2","10180105","3","0","1004207","2.5","10180103","12","0.06","0","10180101","710061","2","10180104","3","-1","401041961","1004209","1018","401041971","10180102","1","11","2","1004108","2.5","1004208","1004107","1001303"
"55","1004201","1004104","1004105","401042191","1004205","1000000","401042181","401042201","1004101","1","10190105","1.5","0","1004202","1.3","10190103","2","0.03","0","10190101","710071","1","10190104","1","1","401042161","1004204","1019","401042171","10190102","1","1","1","1004103","1.3","1004203","1004102","1001301"
"56","1004206","1004109","1004110","401042191","1004210","1000000","401042181","401042201","1004106","1","10190105","1.5","0","1004207","1.3","10190103","2","0.03","0","10190101","710071","1","10190104","1","3","401042161","1004209","1019","401042171","10190102","1","2","1","1004108","1.3","1004208","1004107","1001303"
