39924527a18b514a31bdda84f3d820f02a375dbc9a8f3bf72963604a9f2bab6e,da676b69d579fa1f27febfa518c7c0713d1547cfc4cb6c3c59894b2a655f2905,404f6981a6be6fe9c2cc3f625417bf433186db52f0e11d147a1cc70377cab010,04d517cbe6342bbcda680188ad4a479cccf2784f6c946ed439ffb26cbb787cd7,b754ef9912f9f7f821f4187d5a3009cf83076fbaa32490bf1f13c7a84a540553
"12","94002","150000","31000101","310001011"
"2","22003","10","31000101","310001012"
"12","94002","500000","31000102","310001021"
"2","22003","10","31000102","310001022"
"12","94002","500000","31000103","310001031"
"4","140001","5","31000103","310001032"
"2","25001","5","31000103","310001033"
"12","94002","500000","31000104","310001041"
"2","22003","10","31000104","310001042"
"12","94002","500000","31000105","310001051"
"4","140001","5","31000105","310001052"
"2","25001","5","31000105","310001053"
"12","94002","500000","31000106","310001061"
"2","22003","10","31000106","310001062"
"12","94002","500000","31000107","310001071"
"4","140001","5","31000107","310001072"
"2","25001","5","31000107","310001073"
"12","94002","500000","31000108","310001081"
"2","22003","10","31000108","310001082"
"12","94002","500000","31000109","310001091"
"4","140001","5","31000109","310001092"
"2","25001","5","31000109","310001093"
"12","94002","150000","31001101","310011011"
"2","22003","5","31001101","310011012"
"12","94002","150000","31001102","310011021"
"2","22003","5","31001102","310011022"
"12","94002","150000","31001103","310011031"
"2","22003","5","31001103","310011032"
"12","94002","150000","31001111","310011111"
"2","22003","5","31001111","310011112"
"12","94002","200000","31001112","310011121"
"2","22003","5","31001112","310011122"
"12","94002","150000","31001201","310012011"
"2","22003","5","31001201","310012012"
"12","94002","150000","31001202","310012021"
"2","22003","5","31001202","310012022"
"12","94002","150000","31001203","310012031"
"2","22003","5","31001203","310012032"
"12","94002","150000","31001211","310012111"
"2","22003","5","31001211","310012112"
"12","94002","200000","31001212","310012121"
"2","22003","5","31001212","310012122"
"12","94002","150000","31001301","310013011"
"2","22003","5","31001301","310013012"
"12","94002","150000","31001302","310013021"
"2","22003","5","31001302","310013022"
"12","94002","150000","31001303","310013031"
"2","22003","5","31001303","310013032"
"12","94002","150000","31001311","310013111"
"2","22003","5","31001311","310013112"
"12","94002","200000","31001312","310013121"
"2","22003","5","31001312","310013122"
"12","94002","150000","31001401","310014011"
"2","22003","5","31001401","310014012"
"12","94002","150000","31001402","310014021"
"2","22003","5","31001402","310014022"
"12","94002","150000","31001403","310014031"
"2","22003","5","31001403","310014032"
"12","94002","150000","31001411","310014111"
"2","22003","5","31001411","310014112"
"12","94002","200000","31001412","310014121"
"2","22003","5","31001412","310014122"
"12","94002","150000","31002101","310021011"
"2","22003","5","31002101","310021012"
"12","94002","150000","31002102","310021021"
"2","22003","5","31002102","310021022"
"12","94002","150000","31002103","310021031"
"2","22003","5","31002103","310021032"
"8","91002","50","31002104","310021041"
"12","94002","150000","31002111","310021111"
"2","22003","5","31002111","310021112"
"12","94002","200000","31002112","310021121"
"2","22003","5","31002112","310021122"
"8","91002","100","31002113","310021131"
"12","94002","150000","31003101","310031011"
"2","22003","5","31003101","310031012"
"12","94002","150000","31003102","310031021"
"2","22003","5","31003102","310031022"
"12","94002","150000","31003103","310031031"
"2","22003","5","31003103","310031032"
"8","91002","50","31003104","310031041"
"12","94002","150000","31003111","310031111"
"2","22003","5","31003111","310031112"
"12","94002","200000","31003112","310031121"
"2","22003","5","31003112","310031122"
"8","91002","100","31003113","310031131"
"12","94002","150000","31003201","310032011"
"2","22003","5","31003201","310032012"
"12","94002","150000","31003202","310032021"
"2","22003","5","31003202","310032022"
"12","94002","150000","31003203","310032031"
"2","22003","5","31003203","310032032"
"8","91002","50","31003204","310032041"
"12","94002","150000","31003211","310032111"
"2","22003","5","31003211","310032112"
"12","94002","200000","31003212","310032121"
"2","22003","5","31003212","310032122"
"8","91002","100","31003213","310032131"
