e14ffddbf981d5066e7ae725c7081329a9d0f0fa7fd8452f51b5323894a85896,8ac8cdda73504f2c23438ecc665a1f2476b8e6f548c68ccc4720ce140ba54117,9ce41deff14ef728e945253fd81878be6f5a034c8a52c979f9e0f79d04c677fa,035619598ce4a77b0fcc9956e0ce99ca43c151704ce84654e050eea644e2f809,8bd6a76608a757a29ea6f6d9cd73ecb727f14e059daf82ed02ced32380f9cc48,51b6d0ccb1edc9b110a3c7d342bbb0885aed4dc05e925d89eca61ff42ca1c744
"10036","0","5035004","0","5035005","0"
"10059","0","5058004","0","5058005","0"
"10063","1006201","0","10062115","0","10062"
"10085","1008401","0","10084115","0","10084"
"10087","1008601","0","10086115","0","10086"
"10111","1011001","0","10110115","0","10110"
"10113","1011201","0","10112115","0","10112"
"10137","1013601","0","10136110","0","10136"
"10139","1013801","0","10138115","0","10138"
"10165","1016401","0","10164110","0","10164"
"10175","1017401","0","10174107","0","10174"
"20034","2003301","0","20033115","0","20033"
"20047","2004601","0","20046115","0","20046"
"20060","2005901","0","20059115","0","20059"
"20068","2006701","0","20067110","0","20067"
