054ba24b2595b37ec0623d2e402251b54393db3b0fa14580b1fe3c249ec6b10b,8fa67156d4323f936c2213fc82fd3f619a18352f3db0fd7ba237c0277da6c378,df06ce64a741081d65bced23010c1ff40d2d64171ca55cb9e1639d483829371a,0b9e5ae72282c7014d06b9aae98cb6023f16044246f1cc1e7cc0507635c8e767,cacfb81c9be554545fda705f4024ca8afb39a1e1c7d39f26c6c395192112005e
"1","1","0","111011101","3"
"1","1","0","111021101","3"
"1","1","0","133011101","3"
"1","1","0","133011201","5"
"1","1","0","133020101","3"
"1","1","1","133020201","3"
"1","1","0","133030101","3"
"2","1","0","133030201","3"
"3","1","0","133030301","3"
"1","1","1","133030401","3"
"2","1","1","133030501","3"
"3","1","1","133030601","3"
"1","1","0","133040101","3"
"1","1","1","133040201","3"
"1","1","2","133040301","3"
"1","1","3","133040401","3"
"1","1","0","133051101","3"
"1","1","0","133051201","5"
"1","2","0","134010101","3"
"3","2","0","134010201","3"
"1","1","0","134021101","3"
"1","1","0","134021201","5"
"1","2","0","140010101","4"
"1","2","1","140010201","1"
"1","2","0","140010301","1"
"3","1","0","140020101","1"
