3b4e072dd85b6b0e235a52277b7b7b2d8be1b1cc142fbe5a9b874e33467d7939,7acdaeca1e3a8c7327736bdc7d104f4f17beea1cc2b79aba2e3660b2a54dc960,9f064c9d9bab18d991e45a0908ce75ac65b6ab14bfe4ee1b9ac07d70e01c2fda,f3c091452a8b9f24b5e6291cb0982fcd4ca6094ccbb293a320a693da40a06522,e758bb86075f09a5584df5efc34b067f80329afe54360f07edb5ef9e24170a0b,8f90962a0883e230fcebf921955c2a023154cfd5c507bb876103115e6219a377,bfedfc645f5d9ef8437b7a43e82301032c5cccdd2363260cd7b9ed98bc9d1ddd,61fc417a613b3b3ced4cac952ba3ad71350d0277ee7a175bc9be8cfa022b01e7,3475afd6f841e9f153c8ff926e54fba74471945f1f894ed3dbba6911fc1002d7,d228dda5b2ed2a76469371ec5c7b0d4b690d1ed95669fbdfda435a476a88e9dc,8bd3efc2931e915fc26a8e90672947689e0530cb026cb7d20f53142446b8952a,86bff5785e214f196deb51a3309a4fad808bd9b80d34d1c0c983a55ab730fa12
"0","0","0","1","2","1010001","vo_10020900_0001","0","vo_10020900","1","0","0"
"1","0","180","2","1","1010002","0","0.818181818181818","0","1","0","0"
"1","0.818181818181818","0","3","4","1010003","0","0","0","1","0","1"
"2","0","226","4","1","1010004","0","0.634285714285714","0","1","0","0"
"2","1.03428571428571","0","5","4","1010005","0","0","0","1","0","1"
"2","0","460","6","1","1010006","0","1.33714285714286","0","1","226","0"
"2","2.13714285714286","0","7","4","1010007","0","0","0","1","0","1"
"0","0","0","8","2","1010008","vo_10020900_0002","0","vo_10020900","1","0","0"
"3","0","132","9","1","1010009","0","1.12948051948052","0","1","0","0"
"3","2.12948051948052","0","10","4","1010010","0","0","0","1","0","1"
"0","0","0","11","2","1010011","vo_10020900_0003","0","vo_10020900","1","0","0"
"3","0","271","12","1","1010012","0","0.545454545454545","0","1","132","0"
"3","1.04545454545455","0","13","4","1010013","0","0","0","1","0","1"
"3","0","700","14","1","1010014","0","1.71545454545455","0","1","271","0"
"3","2.71545454545455","0","15","4","1010015","0","0","0","1","0","1"
"0","0","0","16","2","1010016","vo_10020900_0004","0","vo_10020900","1","0","0"
"4","0","244","17","1","1010017","0","1.67857142857143","0","1","0","0"
"4","2.17857142857143","0","18","4","1010018","0","0","0","1","0","1"
"0","0","0","19","2","1010019","vo_10020900_0005","0","vo_10020900","1","0","0"
"4","0","715","20","1","1010020","0","1.28311688311688","0","1","244","0"
"4","1.98311688311688","0","21","4","1010021","0","0","0","1","0","1"
"5","0","214","22","1","1010022","0","1.2987012987013","0","1","0","0"
"5","1.9987012987013","0","23","4","1010023","0","0","0","1","0","1"
"5","0","603","24","1","1010024","0","2.07792207792208","0","1","214","0"
"5","3.07792207792208","0","25","4","1010025","0","0","0","1","0","1"
"0","0","0","26","2","1010026","vo_10020900_0006","0","vo_10020900","1","0","0"
"6","0","241","27","1","1010027","0","1.06363636363636","0","1","0","0"
"6","1.56363636363636","0","28","4","1010028","0","0","0","1","0","1"
"6","0","750","29","1","1010029","0","2.96","0","1","241","0"
"6","3.96","0","30","4","1010030","0","0","0","1","0","1"
"0","0","0","31","2","1010031","vo_10020900_0007","0","vo_10020900","1","0","0"
"7","0","85","32","1","1010032","0","0.386363636363636","0","1","0","0"
"7","0.886363636363636","0","33","4","1010033","0","0","0","1","0","1"
"7","0","750","34","1","1010034","0","3.54090909090909","0","1","85","0"
"7","4.54090909090909","0","35","4","1010035","0","0","0","1","0","1"
"0","0","0","36","2","1010036","vo_10020900_0008","0","vo_10020900","1","0","0"
"8","0","138","37","1","1010037","0","0.431818181818182","0","1","0","0"
"8","1.03181818181818","0","38","4","1010038","0","0","0","1","0","1"
"0","0","0","39","2","1010039","vo_10020900_0009","0","vo_10020900","1","0","0"
"8","0","349","40","1","1010040","0","0.709090909090909","0","1","138","0"
"8","1.30909090909091","0","41","4","1010041","0","0","0","1","0","1"
"0","0","0","42","2","1010042","vo_10020900_0010","0","vo_10020900","1","0","0"
"8","0","750","43","1","1010043","0","3.07662337662338","0","1","349","0"
"8","4.07662337662338","0","44","4","1010044","0","0","0","1","0","1"
"0","0","0","45","2","1010045","vo_10020900_0011","0","vo_10020900","1","0","0"
"9","0","242","46","1","1010046","0","1.43506493506493","0","1","0","0"
"9","2.43506493506493","0","47","4","1010047","0","0","0","1","0","1"
"0","0","0","48","2","1010048","vo_10020900_0012","0","vo_10020900","1","0","0"
"9","0","754","49","1","1010049","0","2.75","0","1","242","0"
"9","3.95","0","50","4","1010050","0","0","0","1","0","1"
"0","0","0","51","2","1010051","vo_10020900_0013","0","vo_10020900","1","0","0"
"10","0","556","52","1","1010052","0","1.67792207792208","0","1","313","0"
"10","2.27792207792208","0","53","4","1010053","0","0","0","1","0","1"
"10","0","750","54","1","1010054","0","0.9","0","1","556","0"
