e27d45209d98c13252b4dc0de0d3116dfca9bf3a03eba9049d22289c2ee6af54,5c829d16cec84e1440e19f03aefce2ef1baf787628102f532b0d51d0bf6ac1a8,e5556a7dc7127ca5c22efbdddfc2c192a9b21099c9bfaa5fe63cd4ab4a5fa940,235794151f7c26a4ae2dbe44b34bd7b086b02085e184535033a5c88958379735,656db71b3f740c06c8445eb904d00001a87950ab6d6a76e244a8b1b7fac5ad2d,bbaa6e47009cfa66d37571e8bc9f42efb81e8e81eddb1009bb9e4a824617126b,c605491e073841cad7b7d54c93f44ad7fdb8eb607624542d1db893dbcd13b5c7,da1075a770cb9be35fc7f9ceef1b409b23cee3f2d45cbbfd1b819a37740a7512,f9ca22687eb95e3a442914a9ec254066cb7a2048f9958f65b4e58ef47b1ecfe1,e30d751b709077b406705df40e19f358d74db96eb83ef0000b15ea4e29413695,415a7b71753e5d75590071a10692429264b8865f10a35808a5148020c6be1273
"-250","1","2.2","talk_sad","30","5","1","52","12","0","12001"
"0","1","0","","1","6","1","1","12","0","12002"
"0","0","1","black","50","5","0","29","12","0","12003"
"0","0","0","","1","6","1","1","12","0","12004"
"","0","","","","91","","","12","","12005"
"1","1","0.2","","1","6","1","1","12","0","12006"
"1","0","0.2","","1","6","1","1","12","0","12007"
"2","1","","","0.3","2","-20","-250","12","","12008"
"2","0","","","0.3","2","0","0","12","","12009"
"","0.6","","","","93","0","","12","","12010"
"","vo_asb","","","0","21","vo_asb_0121","0","12","","12011"
"1","1","0","0","1","11","回想起來，\n我甚至連伴手禮都沒帶……","10","12","0","12012"
"","0","","","0","91","","0","12","","12013"
"","1","0.2","","","3","guts2_talk_shy","1","12","","12014"
"","vo_asb","","","0","21","vo_asb_0122","0","12","","12015"
"1","1","0","0","1","11","下次拜訪的時候必定……！","10","12","0","12016"
"","0","","","0","91","","0","12","","12017"
"","1","0.2","","","3","sad_talk_surprise","1","12","","12018"
"","vo_asb","","","0","21","vo_asb_0123","0","12","","12019"
"1","1","0","0","1","11","……不過，帶什麼才好呢？\n要是選了不適合的東西，\n反倒讓對方感到困擾也不行……","10","12","0","12020"
"","0","","","0","91","","0","12","","12021"
"","1","0.3","","","3","surprise_talk_dere","1","12","","12022"
"","vo_asb","","","0","21","vo_asb_0124","0","12","","12023"
"1","1","0","0","1","11","畢竟是跟兄長大人有關的地方……\n果然還是跟兄長大人商量，\n再一起去挑比較好吧……","10","12","0","12024"
"","0","","","0","91","","0","12","","12025"
"1","1","0.4","","sad_idle_red_riri","3","sad_talk_riri_in","0","12","0","12026"
"","vo_asb","","","0","21","vo_asb_0125","0","12","","12027"
"1","1","0","0","1","11","……一起……挑伴手禮……\n……臉紅。","10","12","0","12028"
"","0","","","0","91","","0","12","","12029"
"","12031","","","","101","","","12","","12030"
"0","1","0.3","","1","6","1","1","12","0","12031"
"0","0","0.3","","1","6","1","1","12","0","12032"
"1","1","","","0.3","2","-120","-250","12","","12033"
"1","0","","","0.3","2","-100","0","12","","12034"
"","0","","","","22","0","","12","","12035"
"","0.4","","","","93","0","","12","","12036"
"-230","1","2.2","riri_idle_look_shy","20","5","1","17","13","0","13001"
"-255","2","2.2","clear_idle_look_shy","-140","5","2","19","13","0","13002"
"-245","3","2.2","idle_look_precia","270","5","3","18","13","1","13003"
"0","1","0","","1","6","1","1","13","0","13004"
"0","2","0","","1","6","1","1","13","0","13005"
"0","3","0","","1","6","1","1","13","0","13006"
"1","1","0","","0","31","100","0","13","","13007"
"","100","","","","35","0","","13","","13008"
"0","0","1","black","50","5","0","16","13","0","13009"
"0","0","0","","1","6","1","1","13","0","13010"
"","0","","","","91","","","13","","13011"
"","0.1","","","","93","0","","13","","13012"
"1","1","0.2","","1","6","1","1","13","0","13013"
"1","2","0.2","","1","6","1","1","13","0","13014"
"1","3","0.2","","1","6","1","1","13","0","13015"
"1","0","0.2","","1","6","1","1","13","0","13016"
"2","1","","","0.3","2","-30","-230","13","","13017"
"2","2","","","0.3","2","-190","-255","13","","13018"
"2","3","","","0.3","2","220","-245","13","","13019"
"2","0","","","0.3","2","0","0","13","","13020"
"","100","","","","32","1","","13","","13021"
"","0.6","","","","93","0","","13","","13022"
"","1","0.2","","","3","sad_talk_look_shy_riri","1","13","","13023"
"","vo_asb","","","0","21","vo_asb_1521","0","13","","13024"
"1","1","0","0","1","11","其實我們……\n要讓兄長大人看這本\n學習的剪貼簿，\n會覺得有點害羞。","10","13","0","13025"
"","0","","","0","91","","0","13","","13026"
"","1","0.2","","","3","sad_idle_normal_look_shy_riri","1","13","","13027"
"","2","0.2","","","3","clear_talk_look_shy","1","13","","13028"
"","vo_asb","","","0","21","vo_asb_1522","0","13","","13029"
"1","2","0","0","1","11","因為，雖然有很多快樂的回憶，\n但也同樣搞砸了許多事或力不從心。\n這些事要特地讓哥哥看一遍，\n是很需要勇氣的……","10","13","0","13030"
"","0","","","0","91","","0","13","","13031"
"","2","0.3","","","3","clear_idle_look_shy","1","13","","13032"
"","3","0.2","","","3","sad_talk_look_precia","1","13","","13033"
"","vo_asb","","","0","21","vo_asb_1523","0","13","","13034"
"1","3","0","0","1","11","赤裸裸的，\n冒險記。","10","13","0","13035"
"","0","","","0","91","","0","13","","13036"
"","3","0.2","","","3","idle_look_precia","1","13","","13037"
"","1","0.3","","","3","talk_look_shy_riri","1","13","","13038"
"","vo_asb","","","0","21","vo_asb_1524","0","13","","13039"
"1","1","0","0","1","11","但是……這也是種學習。\n兄長大人，能請您務必告訴我們，\n您看完之後的感想嗎？","10","13","0","13040"
"","0","","","0","91","","0","13","","13041"
"","1","0.2","","","3","wish_talk_look_shy_riri","1","13","","13042"
"","vo_asb","","","0","21","vo_asb_1525","0","13","","13043"
"1","1","0","0","1","11","無論是多嚴厲的斥責或指教，\n我們都會虛心接受的──\n呃…………咦？","10","13","0","13044"
"","0","","","0","91","","0","13","","13045"
"","2","0.2","","","3","idle_look_shy","1","13","","13046"
"","3","0.3","","","3","joy_idle_look_shy_precia","1","13","","13047"
"","1","0.2","","","3","wish_talk_Ex4","1","13","","13048"
"","vo_asb","","","0","21","vo_asb_1526","0","13","","13049"
"1","1","0","0","1","11","…………\n沒、沒想到……\n竟然能像這樣被稱讚……","10","13","0","13050"
"","0","","","0","91","","0","13","","13051"
"","1","0.2","","","3","idle_look_shy_riri","1","13","","13052"
"","3","0.4","","","3","surprise_idle_lookR_precia","1","13","","13053"
"","vo_asb","","","0","21","vo_asb_1527","0","13","","13054"
"1","3","0","0","1","11","哥……","10","13","0","13055"
"","0","","","0","91","","0","13","","13056"
"","3","0.4","","","3","joy_idle_look_shy_precia2","1","13","","13057"
"","2","0.2","","","3","clear_talk2_look","1","13","","13058"
"","vo_asb","","","0","21","vo_asb_1528","0","13","","13059"
"1","2","0","0","1","11","哥哥你，\n並不是針對結果，\n而是看到我們努力的過程，\n稱讚了我們的付出……","10","13","0","13060"
"","0","","","0","91","","0","13","","13061"
"","1","0.2","","","3","wish_talk_Ex3","1","13","","13062"
"","3","0.3","","","3","joy_idle_look_shy_precia","1","13","","13063"
"1","2","0.2","","clear_wish_talk_joy_look","3","talk2ToWish_look","0","13","0","13064"
"","vo_asb","","","0","21","vo_asb_1529","0","13","","13065"
"1","1","0","0","1","11","……謝謝！","10","13","0","13066"
"","0","","","0","91","","0","13","","13067"
"","1","0.2","","","3","idle_look_shy_riri","1","13","","13068"
"","2","0.2","","","3","idle_look_shy","1","13","","13069"
"1","3","0.2","","doya_talk_precia","3","doya_in_precia","0","13","0","13070"
"","vo_asb","","","0","21","vo_asb_1530","0","13","","13071"
"1","3","0","0","1","11","自信滿滿的，\n冒險記。","10","13","0","13072"
"","0","","","0","91","","0","13","","13073"
"","3","0.4","","","3","idle_look_normal_precia","1","13","","13074"
"","1","0.2","","","3","riri_talk_look_shy","1","13","","13075"
"","vo_asb","","","0","21","vo_asb_1531","0","13","","13076"
"1","1","0","0","1","11","誠如您看到的，\n我們還是如此的笨拙不成熟……","10","13","0","13077"
"","0","","","0","91","","0","13","","13078"
"","1","0.2","","","3","riri_idle_look_normal_shy","1","13","","13079"
"","2","0.2","","","3","clear_talk3_look","1","13","","13080"
"","vo_asb","","","0","21","vo_asb_1532","0","13","","13081"
