84ab98b55da24636d56e60431734998e9963c59dcd356bcb8b1de6d7c56ce232,7264bee7a520a14cc9a66881fffe183cc50e14ed00411cbef32a70907d6ea327,b682421d1cd0f6c4f017f873ed6900fff907308b7ac67440e457866c2c981a58,05067b70a63a06a1f6d1595cfefa908cd7c2dc0ae0c1655738ff06ec14287eaf,e85b378aab77dccbfaca8b2a22a07c6b3db3982cfbc7a2bd6888df316673360c
"1","1025","1037","1045","1048"
"2","1003","1062","1006","1004"
"3","1003","1029","1006","1007"
"4","1047","1025","1062","1045"
"5","1043","1003","1022","1013"
"6","1006","1048","1019","1004"
"7","1062","1037","1003","1033"
"8","1056","1050","1059","1053"
"9","1001","1030","1034","1011"
"10","1063","1046","1026","1023"
"11","1020","1014","1044","1038"
"12","1017","1008","1040","1049"
"13","1023","1017","1020","1044"
"14","1017","1001","1020","1038"
"15","1030","1036","1008","1048"
"16","1044","1004","1011","1038"
"17","1043","1005","1022","1011"
"18","1046","1042","1047","1016"
"19","1014","1041","1063","1028"
"20","1052","1061","1058","1055"
"21","1025","1031","1024","1001"
"22","1024","1064","1005","1063"
"23","1040","1066","1044","1000"
"24","1000","1076","1010","1038"
"25","1003","1077","1043","1019"
"26","1070","1071","1068","1069"
"27","1092","1089","1090","1091"
"28","1098","1097","1099","1100"
"29","1102","1101","1103","1104"
"30","1106","1105","1107","1108"
"31","1089","1088","1090","1091"
