d23a79f5ad4c809a8257e369406dc276d0d600cbd34394ea4d39e29229065ddb,1c8b31b3067a1b773ea1f58daf02e78d2f4d8ca2ecc4e842483b895cb3634335,65e2807061133affe6342f5f774df96ee7229bd0709563e3b4cb16edfe94adc6,6f0ca23f194191755456ab3bf50e150612360d9956911dda6d8602ef6eb0413d,647471051100d873932c855cb71a4b8bec540447409fd4e6ccecf06bb5a1014b,8616469751de98e0aa50da87e6941a7f13244765d6a52ddb2b4e4130bb7d771b,3dc4b9f4abcd1357d4b2747339cdeaf6124d161b265f0b1d55a18c0eaf42cbf2,2d3d07bb2bb8d7ae9c1fefbc630cce8ceeaec3857225cc1dd322f1aea38c7941,a370a41964b1df7145060be6d4aa4bfb387adf3231d0191bd2f5af768901a444,53f31608ad4f119802b35afb7a3b3c0d825acbf0cecdeb6da124357e19277e61,14bbf05faa930cc6b515b18e54967a723e2772a3c7f177ca898634da042a3825,03893362df3550131c846e71aab53ad2233e462f2888e2c70987d7e2bd7a2ad9
"8","1007401","91002","0","0","100201","2022/01/03 12:00:00","優衣的病歷　其一","年輕與低燒","20041106","10074","20"
"8","1007402","91002","1007401","0","100201","2022/01/03 12:00:00","優衣的病歷　其二","感受內心的激烈鼓動","20041112","10074","20"
"8","1007403","91002","1007402","0","100201","2022/01/05 05:00:00","優衣的病歷　其三","心煩意亂的病名是","20041115","10074","30"
"8","1007404","91002","0","0","111001","2022/01/03 12:00:00","優妮的病歷　其一","預料之外的訪客","20041106","10074","20"
"8","1007405","91002","1007404","0","111001","2022/01/03 12:00:00","優妮的病歷　其二","服藥的時間","20041112","10074","20"
"8","1007406","91002","1007405","0","111001","2022/01/06 05:00:00","優妮的病歷　其三","致親愛的你","20041115","10074","30"
"8","1007407","91002","0","0","102501","2022/01/03 12:00:00","鈴莓的病歷　其一","奇妙的外來患者","20041108","10074","20"
"8","1007408","91002","1007407","0","102501","2022/01/03 12:00:00","鈴莓的病歷　其二","可怕的病症","20041114","10074","20"
"8","1007409","91002","1007408","0","102501","2022/01/07 05:00:00","鈴莓的病歷　其三","現代醫學的極限","20041115","10074","30"
"8","1007410","91002","0","0","104401","2022/01/03 12:00:00","伊莉亞的病歷　其一","統御黑夜之人的苦難","20041108","10074","20"
"8","1007411","91002","1007410","0","104401","2022/01/03 12:00:00","伊莉亞的病歷　其二","美麗計畫","20041114","10074","20"
"8","1007412","91002","1007411","0","104401","2022/01/08 05:00:00","伊莉亞的病歷　其三","華麗課程","20041115","10074","30"
"8","1007413","91002","0","0","100901","2022/01/03 12:00:00","杏奈的病歷　其一","不可視之敵","20041110","10074","20"
"8","1007414","91002","1007413","2004101","100901","2022/01/03 12:00:00","杏奈的病歷　其二","被封印的魔法","0","10074","20"
"8","1007415","91002","1007414","2004101","100901","2022/01/09 05:00:00","杏奈的病歷　其三","獨眼惡魔的特別治療","0","10074","30"
"8","1007416","91002","0","0","103101","2022/01/03 12:00:00","忍的病歷　其一","骷髏驚喜","20041110","10074","20"
"8","1007417","91002","1007416","2004101","103101","2022/01/05 05:00:00","忍的病歷　其二","向迷惘少女伸出援手","0","10074","30"
