a3056a6cc120cc586b382a7f712c09a7b180e29de9431849a4e57a9300ee0f72,7628c9663194923e92cde3aa401cf0afdea734c17026c5c99581eca2a82fa920,e96722373463ad994d617ad676bee5918b467bc9e0b7a30db0b07e04b0aef9e5,e922eb31bb46b73953ddf52d5addec27e10e45f0178129ea3d8d30f8d0f63003,d78732edada078a288249edbf2c25f124db987ebe645fa9a0aa10050247aacf1,2ff0e6893d2645908a5b3f2a3c4ec588de2c386c3ac70d43465b96ddc3553cc9
"0","1101","0","20025","1","1"
"0","1102","0","20025","1","1"
"5042002","1103","1","20025","1","0"
"0","1104","0","20025","1","1"
"5042003","1105","1","20025","1","0"
"0","1106","0","20025","1","1"
"5042005","1107","2","20025","1","0"
"5042007","1201","1","20025","2","0"
"5042007","1202","2","20025","2","0"
"0","1203","0","20025","2","1"
"0","1204","0","20025","2","1"
"0","1301","0","20025","1","0"
