783a01a4c2ce08b1432daa458d0aa146855a305d14fc2519493ccdcd512448d2,c309018ad40c4221e8aa2e5b8bd607dbec698e6890e7757f5b70782ccb568c44,d17d7b419029c4c7f56d8e210c234bbec7fa6b0b6e51f50efed0b07f757368c0,80380df658fc93aba0c80e0917e0df3f03874b4f2293489d4be3db5866e09942,6dd7ae7995b1ff1a65df56f1b56f6379bafc9f13c2bfe0f505cfce6dc131ec0c,41968dd375d65ac131587a0db32a796e29f725a0a63fbad20c3561303d7eaa44,d091a1a4f2c14c616562195e2d1bb5274e9ea9df61024b853aabef57b81adbd8,884dbd430040952c187e383c2cf04d6a8951564d7dceb8e6f6b81720bfbb78f9,7dc723e23731a46271937b00c710f5f807c5d73d47597a8037f3b6aa416ba904,6a32816782b8f5305991f5ea1fc699ca186de3e6a6eb84cd01fb2506bf34630f,9201cb050f3eb7c4ffdab99a002f717d61b41150711d501c664c3c9604847946,afbc78f0022bb56173eaa1493aecdcd11445085a6782d730109999f160341674,d29e9c51797c2c86ddceb8bbd2eecc5f2479c2b94476f471f29fda6ef289877b,051480c5389f89ea6b49a9616330c139da244488dd86645df6eb7f6a8013ccb4
"160","0","1","122601","1","101","0.029","1.5","1","在海邊與夥伴享受夏日的夏海魔法師。以想改變自己的堅定決心，將障礙物無效化並持續奔跑。","105","110","1","0"
"120","1","2","122401","2","102","0.014","2.5","0","比太陽還耀眼的夏海活力女孩。能以與生俱來的身體能力，靈活地應對、跑過各種路線。","111","105","3","0"
"350","0","3","122501","3","103","0.017","2.5","0","在海灘上閃耀的夏海劍士。有著日復一日鍛鍊出來的雙腿，即使長距離也能速度不減地跑到最後。","105","110","2","1"
"130","1","4","107501","4","104","0.016","1.5","0","最喜歡美味海產的海岸公主。能解放「皇家裝備」的力量，不把障礙物放在眼裡地往前邁進。","105","110","3","0"
"160","0","5","107601","5","105","0.014","2.5","1","在海邊也要照顧主人的白色沙灘巫女。以精靈之力使自身加速，用比任何人都快的速度朝終點前進。","105","110","1","0"
"255","0","6","107801","6","106","0.029","3.5","0","對穿泳裝感到害羞的傲嬌貓女。以擅長的魔法妨礙對戰對手跑步，使自己處在有利的情況。","103","120","2","1"
"160","0","7","110601","7","107","0.013","3.5","1","優雅地在沙灘上奔馳，盛夏的真步公主。優雅優雅地以高雅的身姿跳過障礙物。","103","120","1","0"
"350","0","8","110401","8","108","0.014","2.5","0","守護沙灘和平的盛夏狼女。以獸人強健的體力在競賽後半進行衝刺。","103","110","2","1"
"130","1","9","110501","9","109","0.012","1.5","0","在海灘上賣力舞動的盛夏南國少女。即使在競賽的喧囂中精神也不會受擾亂，能展現驚人的中後段加速。","100","105","3","0"
"200","0","10","115701","10","110","0.014","2.5","1","察覺海灘事件徵兆的盛夏名偵探。以高度的推理力與魔法，確實地擾亂對戰對手奔跑。","103","105","1","0"
"350","0","11","113601","11","111","0.071","2.5","0","再次脫下鎧甲的灼熱騎士團長。以實戰中培養出的判斷力，能在一瞬間展開護盾使障礙物無效。","103","105","2","1"
"130","1","12","107901","12","112","0.014","1.5","0","在海邊隨心所欲的怕水貓女。在海灘上現身的美少女義賊，將奪取對戰對手的速度。","103","120","3","0"
"200","0","13","108001","13","113","0.022","1.5","1","即使度假還是效率第一的海之傭兵。就算是競賽也尋求最高效率，無論什麼狀況都能毫無破綻地奔跑。","105","110","2","0"
"160","0","14","110301","14","114","0.031","2.5","1","非常適合盛夏太陽，海邊的咲戀媽媽。多才又靈巧，無論什麼障礙物都能優雅地越過。","108","110","1","0"
"130","1","15","107701","15","115","0.036","0.5","0","於海邊喚來暴風雨的夏日女僕。平時已習慣多災多難，因此即使遇到一點困境也不會動搖。","105","110","1","0"
"350","0","16","113101","16","116","0.048","3.5","0","享受風雅夏日的若夏大姐頭。運用瀟灑的身姿，將始、繼、終的刀法與UB融合，一口氣加速。","95","110","2","1"
"130","1","17","113301","17","117","0.043","1.5","0","接觸到夏日悸動的宅宅魔法少女。操縱多彩的魔法，持續使其他跑者的速度逐漸變慢。","105","105","3","0"
"130","1","18","113201","18","118","0.018","1.5","0","降臨於海獄的盛夏冥姬。在競賽後半解放所有魔力，化為蒼藍疾風奔馳於沙灘。","95","105","2","0"
"160","0","19","117001","19","119","0.021","2.5","1","以煙火為夏日傍晚增添色彩，海岸邊的破壞者。以「破壞者」稱號與過剩的情感，朝對戰對手施加壓力。","108","110","2","0"
"255","0","20","113501","20","120","0.036","2.5","0","引導青春少年少女的夏日老師。在朝夢想邁進的聖母加護下，守護其身所遇到的所有困難。","105","110","1","1"
"350","0","21","113401","21","121","0.02","2.5","0","擁有耀眼的聲援笑容，夏日的超能力女孩。運用超能力，無論什麼障礙物都一飛就能越過。","105","105","3","1"
"130","1","22","110101","22","122","0.018","2.5","0","在海邊釋放大人的魅力，夏日的性感老師。受其魅力俘虜的對戰對手，奔跑步調將被打亂。","105","110","1","0"
"160","0","23","110001","23","123","0.03","3.5","1","泳裝也命中紅心，夏日的超級名模。跑步的情緒超嗨，速度讚到不行。","111","105","3","0"
"130","1","24","117201","24","124","0.027","1.5","0","讓南島也嗨起來的盛夏偶像。即使天氣惡劣依然能保持著笑容，在後半加快節奏跑完全程。","103","110","1","0"
"160","0","25","117301","25","125","0.02","3.5","1","美聲響徹海洋的海岸邊歌姬。在守護頌歌與精靈加護下，保護自己不受障礙物傷害。","108","105","2","0"
"350","0","26","117401","26","126","0.04","2.5","0","在夏天依然彆扭，風平浪靜夕陽下的裁縫師。以遍布的魔法之線，奪走其他跑者的自由。","105","110","3","1"
"350","0","27","117101","27","127","0.009","3.5","0","非常適合向日葵的海邊姐姐。是祕密結社的一員，卓越的身體能力是其最強的武器。","105","110","1","1"
"255","0","28","122901","28","128","0.022","3.5","0","在海岸邊的乖巧小兔兔女孩。小兔子之力全開，在路線中活蹦亂跳。","105","120","1","1"
"130","1","29","122801","29","129","0.028","2.5","0","天真爛漫的夏色淘氣女孩。就算在沙灘也做好了要惡作劇的萬全準備！將在競賽中引起大騷動！？","105","110","3","0"
"130","0","30","122701","30","130","0.023","3.5","1","即使在海邊也很認真的夏色優等生。解放提高的魔力，在一瞬間甩開其他跑者。","108","105","2","0"
