fcb37a72a35e8315963a2c44fa9bb586db21e8334e20f6c063029e3f89b1434c,8456873090e0a141b320c07925cfc6a97773f2f3749fcead68f810d281a0f1dd,750f74a0c8acf53cab3e0c3f1768f94821e8089c288632ad66ea8030008b7fad,8647b023e57dfee526d6770acf60aebdc75b75c94c6729bea7a42033d64e36a7,34df11c490b687e71addd1801b9aee41b6a438e1645253bcbfe63904bc9db851,095a28ea09ed362ab26743f35a92ab6d6040d2a09177fc54bd197735eac0dd07,bf84b8abb7dab2a315705a8f8a6c42e26edf4a9da693ab85db5f27cb29f0aebe,31f454b9235c3f0089e3f7b577a0df7798a452c289badcc0b0eaa868fb4f5455,31f74e18c42714519fdc580af430bede9b08e862840986db6eaaebefac9cc160,c2d618e3e6d09b82ddd05bf9b4db887c84281812f89668f49e34a99b709592d2,fbf003238cf407e7499e6eff580740bb5911e154a3aca06365a4ce29bae87b78,eecc5cf54d5805cc9e158e282e7fdf7dccbf29d810ec89d87a9194f041026b17,19850d03a9510aab93fe63b56995969b23db3cafab3289954b4404b4c082d79a,0c7b797931152ca71968a346dc360629469555033198cc1183330bde18d60ad3,5e9420cd213f2faefbb2597910d563818a6ec80e88d7208154c98fffc6cbcad7
"1","540","2023/02/15 05:00:00","111","0","100","0","1","0","11","0","113","2816","112","0"
"1","493","2023/02/16 05:00:00","211","0","100","0","2","0","21","0","213","2816","212","0"
"1","458","2023/02/17 05:00:00","311","0","100","0","3","0","31","0","313","2816","312","0"
"1","420","2023/02/18 05:00:00","411","0","100","0","4","0","41","0","413","2816","412","0"
"1","380","2023/02/19 05:00:00","511","0","100","0","5","0","51","0","513","2816","512","0"
"1","340","2023/02/20 05:00:00","611","0","100","0","6","0","61","0","613","2816","612","0"
"1","430","2023/02/21 05:00:00","711","0","100","0","7","1","71","0","713","2816","712","0"
"1","402","2023/02/22 05:00:00","811","0","100","0","8","1","81","0","813","2816","812","0"
"1","302","2023/02/23 05:00:00","911","0","100","0","9","1","91","0","913","2816","912","0"
"1","264","2023/02/24 05:00:00","1011","0","100","0","10","1","101","0","1013","2816","1012","0"
"1","225","2023/02/25 05:00:00","1111","0","100","0","11","1","111","0","1113","2816","1112","0"
"1","328","2023/02/26 05:00:00","1211","0","100","0","12","1","121","0","1213","2816","1212","0"
"1","280","2023/02/27 05:00:00","1311","0","100","0","13","1","131","0","1313","2816","1312","0"
